msci_index,last,day,previous_price
USA,38993.834,-0.0016,39056.32411858975
CANADA,23784.581,-0.001,23808.389389389387
SWITZERLAND,43629.098,0.008199999999999999,43274.24915691331
UNITED KINGDOM,22686.074,0.0022,22636.274196767114
JAPAN,23284.214,0.008,23099.41865079365
PACIFIC ex JAPAN,19168.852,0.005600000000000001,19062.104216388223
GERMANY,18738.4,0.0072,18604.447974583003
NORDIC COUNTRIES,65034.956,0.0062,64634.22381236334
FRANCE,20019.454,0.0085,19850.72285572633
ITALY,4182.3,0.0096,4142.531695721078
SPAIN,15815.063,0.0052,15733.250099482688
EUROPE,23794.05,0.0066,23638.038942976356
WORLD,28150.922,0.0005,28136.853573213393
EM (EMERGING MARKETS),1037.19,0.0066,1030.3894297635607
WORLD SMALL CAP,1071.908,0.0018,1069.9820323417846
WORLD ENHANCED VALUE,3985.862,-0.0013,3991.050365475118
WORLD MOMENTUM,7644.558,0.0048,7608.039410828026
WORLD SECTOR NEUTRAL QUALITY,4412.866,-0.0012,4418.167801361634
EUROPE SECTOR NEUTRAL QUALITY,2652.527,0.0069,2634.349985102791
USA SECTOR NEUTRAL QUALITY,12307.287,-0.0036,12351.753311922923
WORLD MINIMUM VOLATILITY (GBP),6597.705,-0.0018,6609.602284111401
