msci_index,last,day,previous_price
USA,38909.483,-0.0105,39322.36786255684
CANADA,24164.009,-0.0008,24183.355684547638
SWITZERLAND,45690.8,0.0006,45663.40195882471
UNITED KINGDOM,22800.845,0.0012,22773.516779864163
JAPAN,22485.008,0.008199999999999999,22302.130529656817
PACIFIC ex JAPAN,19438.544,-0.001,19458.002002002002
GERMANY,19003.817,-0.003,19061.0
NORDIC COUNTRIES,65560.94,0.0001,65554.38456154385
FRANCE,20783.715,-0.0052,20892.355247285886
ITALY,4247.291,0.0018,4239.659612697145
SPAIN,15833.789,-0.0012,15852.81237484982
EUROPE,24284.034,-0.0009,24305.909318386548
WORLD,28162.712,-0.0073,28369.811624861486
EM (EMERGING MARKETS),1030.079,0.0172,1012.6612268973652
WORLD SMALL CAP,1093.408,-0.0067,1100.7832477599918
WORLD ENHANCED VALUE,3938.372,0.0040999999999999995,3922.290608505129
WORLD MOMENTUM,7678.938,0.0002,7677.402519496101
WORLD SECTOR NEUTRAL QUALITY,4452.097,-0.0074,4485.288132178118
EUROPE SECTOR NEUTRAL QUALITY,2724.86,-0.0004,2725.950380152061
USA SECTOR NEUTRAL QUALITY,12395.083,-0.011000000000000001,12532.945399393328
WORLD MINIMUM VOLATILITY (GBP),6604.117,-0.0043,6632.637340564427
