Name,Capi. USD,Change,5d. change,Varia. Jan 1.,Timestamp
SAP SE,228B,-0.97%,-0.22%,-20.58%,2026-03-03T20:28:03.743Z
SIEMENS AG,216B,-4.93%,-5.45%,-5.31%,2026-03-03T20:28:03.743Z
DEUTSCHE TELEKOM AG,187B,-1.78%,-2.10%,+17.93%,2026-03-03T20:28:03.743Z
AIRBUS SE,166B,-2.70%,-4.06%,-11.58%,2026-03-03T20:28:03.743Z
ALLIANZ SE,164B,-4.05%,-6.10%,-8.99%,2026-03-03T20:28:03.743Z
SIEMENS ENERGY AG,162B,-4.28%,-6.39%,+29.07%,2026-03-03T20:28:03.743Z
RHEINMETALL AG,87.21B,-2.92%,-8.38%,+1.22%,2026-03-03T20:28:03.743Z
MUNICH RE,82.07B,-4.93%,-4.41%,-6.69%,2026-03-03T20:28:03.743Z
INFINEON TECHNOLOGIES AG,67.53B,-6.16%,-10.71%,+10.47%,2026-03-03T20:28:03.743Z
DEUTSCHE BANK AG,65B,-4.31%,-7.13%,-15.46%,2026-03-03T20:28:03.743Z
MERCK KGAA,64.11B,-3.88%,-3.31%,-1.02%,2026-03-03T20:28:03.743Z
MERCEDES-BENZ GROUP AG,62.91B,-1.57%,-5.41%,-7.21%,2026-03-03T20:28:03.743Z
BMW AG,61.13B,-2.92%,-6.74%,-11.40%,2026-03-03T20:28:03.743Z
DHL GROUP,60.77B,-3.94%,-4.81%,+0.04%,2026-03-03T20:28:03.743Z
EON SE,59.33B,-3.94%,-0.35%,+15.81%,2026-03-03T20:28:03.743Z
VOLKSWAGEN AG,56.76B,-3.27%,-7.89%,-9.63%,2026-03-03T20:28:03.743Z
SIEMENS HEALTHINEERS AG,53.91B,-3.14%,-4.60%,-10.80%,2026-03-03T20:28:03.743Z
DEUTSCHE B&Ouml;RSE AG,49.94B,+2.10%,+8.13%,+6.48%,2026-03-03T20:28:03.743Z
BASF SE,48.61B,-4.01%,-7.04%,+2.25%,2026-03-03T20:28:03.743Z
BAYER AG,46.6B,-5.66%,-9.52%,+3.51%,2026-03-03T20:28:03.743Z
RWE AG,45.59B,-3.10%,+0.99%,+17.54%,2026-03-03T20:28:03.743Z
COMMERZBANK AG,42.39B,-4.90%,-7.56%,-12.30%,2026-03-03T20:28:03.743Z
HEIDELBERG MATERIALS AG,37.83B,-1.82%,-10.23%,-19.17%,2026-03-03T20:28:03.743Z
DAIMLER TRUCK HOLDING AG,37.59B,-5.28%,-6.28%,+6.70%,2026-03-03T20:28:03.743Z
HENKEL AG & CO. KGAA,36.43B,-4.45%,-8.05%,+10.98%,2026-03-03T20:28:03.743Z
HANNOVER RE,36.08B,-3.51%,-2.14%,-7.14%,2026-03-03T20:28:03.743Z
FRESENIUS SE & CO. KGAA,33.08B,-4.12%,-4.27%,-1.57%,2026-03-03T20:28:03.743Z
ADIDAS AG,31.27B,-2.81%,-8.18%,-12.98%,2026-03-03T20:28:03.743Z
VONOVIA SE,27.59B,-4.06%,-3.88%,+8.88%,2026-03-03T20:28:03.743Z
BEIERSDORF,26.74B,-20.13%,-23.74%,-10.70%,2026-03-03T20:28:03.743Z
MTU AERO ENGINES AG,22.35B,-2.36%,-6.39%,-2.22%,2026-03-03T20:28:03.743Z
CONTINENTAL AG,16.49B,-4.73%,-9.98%,-1.03%,2026-03-03T20:28:03.743Z
FRESENIUS MEDICAL CARE AG,12.8B,-0.83%,+3.21%,-3.07%,2026-03-03T20:28:03.743Z
PORSCHE AUTOMOBIL HOLDING SE,12.51B,-3.12%,-6.49%,-15.13%,2026-03-03T20:28:03.743Z
SYMRISE AG,12.45B,-4.31%,-6.20%,+6.27%,2026-03-03T20:28:03.743Z
GEA GROUP AG,12.24B,-3.19%,-5.32%,+7.79%,2026-03-03T20:28:03.743Z
QIAGEN N.V.,10.06B,-2.05%,-1.35%,+1.07%,2026-03-03T20:28:03.743Z
BRENNTAG SE,8.6B,-3.57%,-7.59%,-0.77%,2026-03-03T20:28:03.743Z
ZALANDO SE,5.91B,-3.38%,-5.99%,-24.39%,2026-03-03T20:28:03.743Z
SCOUT24 SE,5.81B,-1.92%,-1.00%,-19.58%,2026-03-03T20:28:03.743Z
