Name,Bid/Ask,Last,% Change,Date/Time,Turnover,Market Cap,YTD%,Timestamp
ACCOR,-,EUR43.57,-2.92%,17:38 CET,"87,914,430.75","10,226M",-6.93%,2026-03-03T22:00:23.660Z
AIR LIQUIDE,172.50/174.00,EUR173.70,-1.13%,17:39 CET,"284,614,406.98","100,623M",9.62%,2026-03-03T22:00:23.660Z
AIRBUS,175.00/176.00,EUR175.42,-2.70%,17:37 CET,"299,147,471.60","138,982M",-9.13%,2026-03-03T22:00:23.660Z
ARCELORMITTAL SA,50.00/50.80,EUR50.38,-7.63%,17:36 CET,"203,016,081.63","39,045M",39.52%,2026-03-03T22:00:23.660Z
AXA,38.72/39.20,EUR38.96,-3.87%,17:37 CET,"369,173,301.10","81,451M",-1.05%,2026-03-03T22:00:23.660Z
BNP PARIBAS ACT.A,88.00/88.40,EUR88.31,-4.09%,17:39 CET,"404,913,937.09","97,282M",13.97%,2026-03-03T22:00:23.660Z
BOUYGUES,50.52/51.06,EUR51.00,-2.00%,17:37 CET,"40,144,847.64","19,652M",17.34%,2026-03-03T22:00:23.660Z
BUREAU VERITAS,28.00/29.20,EUR28.40,-3.66%,17:35 CET,"29,149,789.98","12,890M",8.46%,2026-03-03T22:00:23.660Z
CAPGEMINI,106.60/107.50,EUR106.80,2.84%,17:37 CET,"148,032,249.95","18,148M",-26.99%,2026-03-03T22:00:23.660Z
CARREFOUR,15.25/15.30,EUR15.28,-3.87%,17:37 CET,"47,085,866.52","11,251M",11.70%,2026-03-03T22:00:23.660Z
CREDIT AGRICOLE,17.58/17.60,EUR17.58,-4.41%,17:38 CET,"161,261,818.51","53,195M",4.79%,2026-03-03T22:00:23.660Z
DANONE,-,EUR69.94,-1.80%,17:37 CET,"106,974,367.83","47,657M",-7.24%,2026-03-03T22:00:23.660Z
DASSAULT SYSTEMES,18.28/18.40,EUR18.34,-0.73%,17:37 CET,"75,179,553.02","24,596M",-22.53%,2026-03-03T22:00:23.660Z
EIFFAGE,138.30/141.90,EUR139.85,-3.95%,17:37 CET,"45,983,962.45","13,705M",18.95%,2026-03-03T22:00:23.660Z
ENGIE,27.00/27.13,EUR27.01,-5.56%,17:37 CET,"308,614,249.35","68,671M",27.62%,2026-03-03T22:00:23.660Z
ESSILORLUXOTTICA,214.20/220.50,EUR214.40,-2.23%,17:39 CET,"228,959,356.30","99,329M",-18.75%,2026-03-03T22:00:23.660Z
EUROFINS SCIENT.,65.40/66.90,EUR66.12,-2.65%,17:37 CET,"28,939,312.00","12,045M",8.85%,2026-03-03T22:00:23.660Z
EURONEXT,135.80/139.70,EUR137.80,-1.64%,17:35 CET,"62,050,469.50","14,288M",9.45%,2026-03-03T22:00:23.660Z
HERMES INTL,"1,891.00/1,926.00","EUR1,897.50",-3.53%,17:39 CET,"178,034,643.50","200,318M",-7.30%,2026-03-03T22:00:23.660Z
KERING,254.00/260.00,EUR254.25,-6.35%,17:38 CET,"92,686,779.00","31,380M",-9.80%,2026-03-03T22:00:23.660Z
L'OREAL,363.50/366.30,EUR363.75,-4.52%,17:39 CET,"196,434,722.55","194,164M",3.91%,2026-03-03T22:00:23.660Z
LEGRAND,-,EUR141.60,-6.04%,17:38 CET,"127,196,753.55","37,134M",18.43%,2026-03-03T22:00:23.660Z
LVMH,500.00/502.80,EUR502.20,-3.52%,17:39 CET,"408,703,944.88","249,938M",-19.30%,2026-03-03T22:00:23.660Z
MICHELIN,31.48/32.00,EUR31.64,-3.89%,17:37 CET,"74,802,060.76","21,756M",16.28%,2026-03-03T22:00:23.660Z
ORANGE,-,EUR17.81,-0.34%,17:39 CET,"101,361,795.50","47,376M",25.85%,2026-03-03T22:00:23.660Z
PERNOD RICARD,74.90/76.00,EUR74.92,-3.18%,17:36 CET,"58,642,132.65","18,900M",5.86%,2026-03-03T22:00:23.660Z
PUBLICIS GROUPE SA,72.50/73.56,EUR73.42,-1.26%,17:37 CET,"65,036,429.95","18,672M",-16.09%,2026-03-03T22:00:23.660Z
RENAULT,29.20/29.40,EUR29.37,-3.67%,17:37 CET,"77,710,766.65","8,685M",-13.92%,2026-03-03T22:00:23.660Z
SAFRAN,321.00/323.20,EUR321.50,-4.34%,17:35 CET,"220,551,800.30","134,498M",13.01%,2026-03-03T22:00:23.660Z
SAINT GOBAIN,78.04/78.24,EUR78.08,-5.68%,17:37 CET,"159,054,379.47","38,636M",-4.81%,2026-03-03T22:00:23.660Z
SANOFI,79.76/79.90,EUR79.86,-1.95%,17:39 CET,"230,565,238.51","97,389M",-1.54%,2026-03-03T22:00:23.660Z
SCHNEIDER ELECTRIC,253.50/255.00,EUR253.55,-5.30%,17:35 CET,"318,636,726.00","146,329M",13.98%,2026-03-03T22:00:23.660Z
SOCIETE GENERALE,67.02/67.90,EUR67.78,-4.86%,17:37 CET,"267,364,861.05","50,952M",3.67%,2026-03-03T22:00:23.660Z
STELLANTIS NV,6.15/6.24,EUR6.19,-3.88%,18:20 CET,"50,652,711.72","17,980M",-31.47%,2026-03-03T22:00:23.660Z
STMICROELECTRONICS,26.60/27.20,EUR27.12,-3.73%,17:36 CET,"89,331,947.83","24,714M",25.53%,2026-03-03T22:00:23.660Z
THALES,248.00/251.40,EUR249.60,-2.46%,17:37 CET,"127,852,136.30","51,403M",11.36%,2026-03-03T22:00:23.660Z
TOTALENERGIES,-,EUR68.10,-1.82%,17:37 CET,"673,124,982.40","149,030M",24.77%,2026-03-03T22:00:23.660Z
UNIBAIL-RODAMCO-WE,97.28/99.90,EUR98.16,-4.65%,17:38 CET,"58,027,430.28","14,070M",10.99%,2026-03-03T22:00:23.660Z
VEOLIA ENVIRON.,33.02/33.50,EUR33.25,-4.12%,17:36 CET,"114,944,656.25","24,662M",16.69%,2026-03-03T22:00:23.660Z
VINCI,133.10/134.00,EUR133.25,-3.72%,17:39 CET,"156,563,687.70","77,586M",15.29%,2026-03-03T22:00:23.660Z
