Code,Name,Currency,Market cap (m),Price,Change,Change %,Timestamp
SN.,SMITH & NEPHEW PLC ORD USD0.20,GBX,"11,158.03","1,360.00",47.00,3.58%,2026-03-03T20:28:29.725Z
BP.,BP PLC $0.25,GBX,"76,619.54",493.00,5.15,1.06%,2026-03-03T20:28:29.725Z
SGE,THE SAGE GROUP PLC ORD 1 4/77P,GBX,"7,885.40",847.40,7.40,0.88%,2026-03-03T20:28:29.725Z
REL,RELX PLC ORD 14 51/116P,GBX,"46,451.28","2,596.00",21.00,0.82%,2026-03-03T20:28:29.725Z
PSON,PEARSON PLC ORD 25P,GBX,"6,016.67",958.60,4.20,0.44%,2026-03-03T20:28:29.725Z
BAB,BABCOCK INTERNATIONAL GROUP PLC ORD 60P,GBX,"6,865.93","1,380.00",5.00,0.36%,2026-03-03T20:28:29.725Z
IHG,INTERCONTINENTAL HOTELS GROUP PLC ORD 20 340/399P,USD,"14,878.82",132.20,0.40,0.30%,2026-03-03T20:28:29.725Z
BEZ,BEAZLEY PLC ORD 5P,GBX,"7,739.67","1,290.00",-1.00,-0.08%,2026-03-03T20:28:29.725Z
HIK,HIKMA PHARMACEUTICALS PLC ORD SHS 10P,GBX,"2,767.86","1,247.00",-2.00,-0.16%,2026-03-03T20:28:29.725Z
SBRY,SAINSBURY(J) PLC ORD 28 4/7P,GBX,"7,786.85",343.20,-0.80,-0.23%,2026-03-03T20:28:29.725Z
SDR,SCHRODERS PLC ORD 20P,GBX,"9,446.82",585.00,-1.50,-0.26%,2026-03-03T20:28:29.725Z
ABF,ASSOCIATED BRITISH FOODS PLC ORD 5 15/22P,GBX,"13,580.39","1,905.50",-9.00,-0.47%,2026-03-03T20:28:29.725Z
SHEL,SHELL PLC ORD EUR0.07,GBX,"177,362.10","3,113.00",-19.00,-0.61%,2026-03-03T20:28:29.725Z
BA.,BAE SYSTEMS PLC ORD 2.5P,GBX,"67,202.93","2,220.00",-21.00,-0.94%,2026-03-03T20:28:29.725Z
TSCO,TESCO PLC ORD 6 1/3P,GBX,"30,438.17",472.10,-4.60,-0.96%,2026-03-03T20:28:29.725Z
CPG,COMPASS GROUP PLC ORD 11 1/20P,GBX,"38,310.70","2,229.00",-24.00,-1.07%,2026-03-03T20:28:29.725Z
