Name,Last Price,% Diff,Date,Time,Timestamp
ACCIONA,217.4000,-11.77%,03/03/2026,Close,2026-03-03T20:27:44.795Z
ACCIONA ENER,19.8600,-8.73%,03/03/2026,Close,2026-03-03T20:27:44.795Z
ACERINOX,12.1600,-9.46%,03/03/2026,Close,2026-03-03T20:27:44.795Z
ACS,104.9000,-4.29%,03/03/2026,Close,2026-03-03T20:27:44.795Z
AENA,25.4500,-3.49%,03/03/2026,Close,2026-03-03T20:27:44.795Z
AMADEUS,49.9800,-2.72%,03/03/2026,Close,2026-03-03T20:27:44.795Z
ARCELORMIT.,50.3800,-7.66%,03/03/2026,Close,2026-03-03T20:27:44.795Z
B.SANTANDER,9.6090,-6.22%,03/03/2026,Close,2026-03-03T20:27:44.795Z
BA.SABADELL,3.0160,-3.55%,03/03/2026,Close,2026-03-03T20:27:44.795Z
BANKINTER,13.4550,-3.24%,03/03/2026,Close,2026-03-03T20:27:44.795Z
BBVA,18.0650,-4.85%,03/03/2026,Close,2026-03-03T20:27:44.795Z
CAIXABANK,9.9840,-2.97%,03/03/2026,Close,2026-03-03T20:27:44.795Z
CELLNEX,30.3100,-6.54%,03/03/2026,Close,2026-03-03T20:27:44.795Z
COLONIAL SFL,5.2500,-4.46%,03/03/2026,Close,2026-03-03T20:27:44.795Z
ENAGAS,14.6800,-4.68%,03/03/2026,Close,2026-03-03T20:27:44.795Z
ENDESA,32.6200,-4.95%,03/03/2026,Close,2026-03-03T20:27:44.795Z
FERROVIAL SE,59.5600,-4.49%,03/03/2026,Close,2026-03-03T20:27:44.795Z
FLUIDRA,21.6800,-2.34%,03/03/2026,Close,2026-03-03T20:27:44.795Z
GRIFOLS CL.A,9.9720,-5.25%,03/03/2026,Close,2026-03-03T20:27:44.795Z
IAG,4.2550,-7.24%,03/03/2026,Close,2026-03-03T20:27:44.795Z
IBERDROLA,19.0650,-3.74%,03/03/2026,Close,2026-03-03T20:27:44.795Z
INDITEX,51.7000,-4.44%,03/03/2026,Close,2026-03-03T20:27:44.795Z
INDRA A,61.3000,-1.84%,03/03/2026,Close,2026-03-03T20:27:44.795Z
LOGISTA,30.5600,-4.56%,03/03/2026,Close,2026-03-03T20:27:44.795Z
MAPFRE,3.6920,-4.80%,03/03/2026,Close,2026-03-03T20:27:44.795Z
MERLIN,14.1300,-4.07%,03/03/2026,Close,2026-03-03T20:27:44.795Z
NATURGY,24.7800,-7.40%,03/03/2026,Close,2026-03-03T20:27:44.795Z
PUIG BRANDS,14.9000,-5.04%,03/03/2026,Close,2026-03-03T20:27:44.795Z
REDEIA,14.8500,-4.07%,03/03/2026,Close,2026-03-03T20:27:44.795Z
REPSOL,20.7000,3.29%,03/03/2026,Close,2026-03-03T20:27:44.795Z
ROVI,81.5000,-1.93%,03/03/2026,Close,2026-03-03T20:27:44.795Z
SACYR,4.1800,-6.53%,03/03/2026,Close,2026-03-03T20:27:44.795Z
SOLARIA,18.8850,-10.46%,03/03/2026,Close,2026-03-03T20:27:44.795Z
TELEFONICA,3.5630,-4.19%,03/03/2026,Close,2026-03-03T20:27:44.795Z
UNICAJA,2.4860,-4.16%,03/03/2026,Close,2026-03-03T20:27:44.795Z
