Ticker,Name,Price,Change,% Change,Volume,Time,Timestamp
LMP:LN,LondonMetric Property PLC,207.2,-5.40,-2.54%,9.386 M,11:36 AM,2026-03-03T20:58:53.349Z
IMB:LN,Imperial Brands PLC,3197,-99.00,-3.00%,3.321 M,11:36 AM,2026-03-03T20:58:53.349Z
LAND:LN,Land Securities Group PLC,614,-26.00,-4.06%,3.198 M,11:37 AM,2026-03-03T20:58:53.349Z
PRU:LN,Prudential PLC,1079,-37.50,-3.36%,5.28 M,11:36 AM,2026-03-03T20:58:53.349Z
ITRK:LN,Intertek Group PLC,3882,-860.00,-18.14%,1.761 M,11:38 AM,2026-03-03T20:58:53.349Z
LLOY:LN,Lloyds Banking Group PLC,96.94,-2.98,-2.98%,210.591 M,11:37 AM,2026-03-03T20:58:53.349Z
PSON:LN,Pearson PLC,958.6,+4.20,+0.44%,2.698 M,11:37 AM,2026-03-03T20:58:53.349Z
MNG:LN,M&G PLC,302.6,-11.80,-3.75%,6.652 M,11:37 AM,2026-03-03T20:58:53.349Z
LGEN:LN,Legal & General Group PLC,255.8,-11.10,-4.16%,24.898 M,11:36 AM,2026-03-03T20:58:53.349Z
IMI:LN,IMI PLC,2744,-92.00,-3.24%,775.365 K,11:38 AM,2026-03-03T20:58:53.349Z
PSN:LN,Persimmon PLC,1374,-87.00,-5.95%,1.472 M,11:37 AM,2026-03-03T20:58:53.349Z
NXT:LN,Next PLC,12960,-275.00,-2.08%,282.666 K,11:35 AM,2026-03-03T20:58:53.349Z
PSH:LN,Pershing Square Holdings Ltd/Fund,4150,-70.00,-1.66%,176.612 K,11:35 AM,2026-03-03T20:58:53.349Z
JD/:LN,JD Sports Fashion PLC,74.42,-3.46,-4.44%,13.18 M,11:37 AM,2026-03-03T20:58:53.349Z
MKS:LN,Marks & Spencer Group PLC,372.2,-9.80,-2.57%,6.028 M,11:37 AM,2026-03-03T20:58:53.349Z
MTLN:LN,Metlen Energy & Metals PLC,33.6,-1.90,-5.35%,345.636 K,11:36 AM,2026-03-03T20:58:53.349Z
NWG:LN,NatWest Group PLC,586.2,-14.80,-2.46%,17.235 M,11:35 AM,2026-03-03T20:58:53.349Z
INF:LN,Informa PLC,779,-22.20,-2.77%,5.206 M,11:37 AM,2026-03-03T20:58:53.349Z
PCT:LN,Polar Capital Technology Trust PLC,490,-19.00,-3.73%,3.509 M,11:37 AM,2026-03-03T20:58:53.349Z
REL:LN,RELX PLC,2596,+21.00,+0.82%,11.915 M,11:43 AM,2026-03-03T20:58:53.349Z
KGF:LN,Kingfisher PLC,344.1,-17.70,-4.89%,5.993 M,11:37 AM,2026-03-03T20:58:53.349Z
LSEG:LN,London Stock Exchange Group PLC,8552,-224.00,-2.55%,1.829 M,11:37 AM,2026-03-03T20:58:53.349Z
MNDI:LN,Mondi PLC,828.4,-22.60,-2.66%,1.9 M,11:37 AM,2026-03-03T20:58:53.349Z
NG/:LN,National Grid PLC,1345.5,-54.50,-3.89%,20.017 M,11:39 AM,2026-03-03T20:58:53.349Z
SDR:LN,Schroders PLC,585,-1.50,-0.26%,6.235 M,11:35 AM,2026-03-03T20:58:53.349Z
SGRO:LN,Segro PLC,796,-31.20,-3.77%,3.177 M,11:37 AM,2026-03-03T20:58:53.349Z
SHEL:LN,Shell PLC,3113,-19.00,-0.61%,11.437 M,11:38 AM,2026-03-03T20:58:53.349Z
SPX:LN,Spirax Group PLC,7490,-290.00,-3.73%,187.775 K,11:38 AM,2026-03-03T20:58:53.349Z
RTO:LN,Rentokil Initial PLC,427,-24.00,-5.32%,8.505 M,11:35 AM,2026-03-03T20:58:53.349Z
VOD:LN,Vodafone Group PLC,110.8,-1.95,-1.73%,63.369 M,11:37 AM,2026-03-03T20:58:53.349Z
RMV:LN,Rightmove PLC,434.1,-10.40,-2.34%,3.349 M,11:37 AM,2026-03-03T20:58:53.349Z
RR/:LN,Rolls-Royce Holdings PLC,1303,-51.00,-3.77%,25.016 M,11:39 AM,2026-03-03T20:58:53.349Z
SGE:LN,Sage Group PLC/The,847.4,+7.40,+0.88%,4.52 M,11:35 AM,2026-03-03T20:58:53.349Z
WTB:LN,Whitbread PLC,2498,-43.00,-1.69%,550.756 K,11:35 AM,2026-03-03T20:58:53.349Z
WEIR:LN,Weir Group PLC/The,3402,-106.00,-3.02%,921.621 K,11:36 AM,2026-03-03T20:58:53.349Z
STAN:LN,Standard Chartered PLC,1681,-54.00,-3.11%,5.196 M,11:37 AM,2026-03-03T20:58:53.349Z
SDLF:LN,Standard Life PLC,713,-31.00,-4.17%,2.508 M,11:35 AM,2026-03-03T20:58:53.349Z
RKT:LN,Reckitt Benckiser Group PLC,6130,-230.00,-3.62%,892.32 K,11:40 AM,2026-03-03T20:58:53.349Z
STJ:LN,St James's Place PLC,1268,-51.00,-3.87%,2.176 M,11:35 AM,2026-03-03T20:58:53.349Z
SVT:LN,Severn Trent PLC,3169,-104.00,-3.18%,687.662 K,11:38 AM,2026-03-03T20:58:53.349Z
SMT:LN,Scottish Mortgage Investment Trust PLC,1172.5,-36.50,-3.02%,2.079 M,11:36 AM,2026-03-03T20:58:53.349Z
TSCO:LN,Tesco PLC,472.1,-4.60,-0.96%,14.098 M,11:37 AM,2026-03-03T20:58:53.349Z
SMIN:LN,Smiths Group PLC,2632,-72.00,-2.66%,966.617 K,11:35 AM,2026-03-03T20:58:53.349Z
SSE:LN,SSE PLC,2617,-76.00,-2.82%,2.947 M,11:35 AM,2026-03-03T20:58:53.349Z
SN/:LN,Smith & Nephew PLC,1360,+47.00,+3.58%,3.325 M,11:39 AM,2026-03-03T20:58:53.349Z
SBRY:LN,J Sainsbury PLC,343.2,-0.80,-0.23%,8.478 M,11:35 AM,2026-03-03T20:58:53.349Z
RIO:LN,Rio Tinto PLC,7100,-236.00,-3.22%,2.405 M,11:36 AM,2026-03-03T20:58:53.349Z
UU/:LN,United Utilities Group PLC,1345,-46.00,-3.31%,1.875 M,11:37 AM,2026-03-03T20:58:53.349Z
ULVR:LN,Unilever PLC,5134,-192.00,-3.60%,3.549 M,11:39 AM,2026-03-03T20:58:53.349Z
