msci_index,last,day,previous_price
USA,38445.354,-0.0013,38495.398017422645
CANADA,23255.232,-0.011899999999999999,23535.302094929662
SWITZERLAND,45302.337,-0.009399999999999999,45732.21986674742
UNITED KINGDOM,22163.622,-0.0074,22328.85553092887
JAPAN,21501.402,0.0001,21499.25207479252
PACIFIC ex JAPAN,18877.45,0.0031,18819.11075665437
GERMANY,18028.089,-0.0008,18042.523018414733
NORDIC COUNTRIES,63799.134,-0.004699999999999999,64100.4059077665
FRANCE,20302.492,-0.0023,20349.295379372554
ITALY,4097.966,-0.0017000000000000001,4104.944405489332
SPAIN,15138.493,-0.0023,15173.391801142629
EUROPE,23606.685,-0.0048,23720.54360932476
WORLD,27665.217,-0.0021,27723.436216053713
EM (EMERGING MARKETS),992.583,-0.0014000000000000002,993.9745643901462
WORLD SMALL CAP,1065.687,-0.004,1069.9668674698794
WORLD ENHANCED VALUE,3753.523,-0.0004,3755.0250100040016
WORLD MOMENTUM,7535.111,0.0003,7532.8511446566035
WORLD SECTOR NEUTRAL QUALITY,4400.313,-0.004,4417.984939759036
EUROPE SECTOR NEUTRAL QUALITY,2661.246,-0.0069,2679.7361796395126
USA SECTOR NEUTRAL QUALITY,12281.448,-0.0037,12327.058115025595
WORLD MINIMUM VOLATILITY (GBP),6421.876,-0.0022,6436.035277610744
