Name,Symbol,Price,Change,PctChange,PrevClose,QuoteTimestamp,DateUK,Timestamp,Source,Method,Open,High,Low,Volume,QuoteDate,QuoteTime,Index
CAC 40 ETF (UK),CACX.L,7072.89990234375,10.89990234375,0.1543458275807137,7062.0,2026-09-24T14:18:11+00:00,2026-09-24,2026-09-24T14:57:14.123728+00:00,yahoo/yfinance,fast_info,,,,,,,
DAX ETF (UK),CG1.L,38589.8984375,-20.1015625,-0.052063098938098934,38610.0,2026-09-24T14:07:28+00:00,2026-09-24,2026-09-24T14:57:14.123728+00:00,yahoo/yfinance,fast_info,,,,,,,
FTSE 100 ETF (UK),ISF.L,1042.199951171875,0.199951171875,0.019189171964971212,1042.0,2026-09-24T14:41:34+00:00,2026-09-24,2026-09-24T14:57:14.123728+00:00,yahoo/yfinance,fast_info,,,,,,,
IBEX 35 ETF (UK),CS1.L,43710.0,65.0,0.1489288578302211,43645.0,2026-09-24T14:40:36+00:00,2026-09-24,2026-09-24T14:57:14.123728+00:00,yahoo/yfinance,fast_info,,,,,,,
S&P 500 ETF (UK),IUSA.L,5790.0498046875,-6.9501953125,-0.11989296726755219,5797.0,2026-09-24T14:41:48+00:00,2026-09-24,2026-09-24T14:57:14.123728+00:00,yahoo/yfinance,fast_info,,,,,,,
Nasdaq 100 ETF (UK),EQQQ.L,56073.0,-116.0,-0.2064461015501255,56189.0,2026-09-24T14:42:07+00:00,2026-09-24,2026-09-24T14:57:14.123728+00:00,yahoo/yfinance,fast_info,,,,,,,
TSX / Canada ETF (UK),CSCA.L,23305.6796875,-163.8203125,-0.6980136453695222,23469.5,2026-09-24T14:35:11+00:00,2026-09-24,2026-09-24T14:57:14.123728+00:00,yahoo/yfinance,fast_info,,,,,,,
MSCI World ETF (UK),SWDA.L,11072.0,-21.0,-0.18930857297394754,11093.0,2026-09-24T14:42:08+00:00,2026-09-24,2026-09-24T14:57:14.123728+00:00,yahoo/yfinance,fast_info,,,,,,,
