Code,Name,Currency,Market cap (m),Price,Change,Change %,Timestamp
BA.,BAE SYSTEMS PLC ORD 2.5P,GBX,"63,323.21","2,241.00",129.00,6.11%,2026-03-02T22:22:18.554Z
AAF,AIRTEL AFRICA PLC ORD USD0.50,GBX,"12,723.01",360.20,11.20,3.21%,2026-03-02T22:22:18.554Z
BNZL,BUNZL PLC ORD 32 1/7P,GBX,"7,113.20","2,246.00",52.00,2.37%,2026-03-02T22:22:18.554Z
SGE,THE SAGE GROUP PLC ORD 1 4/77P,GBX,"7,753.08",840.00,18.20,2.21%,2026-03-02T22:22:18.554Z
BP.,BP PLC $0.25,GBX,"75,017.57",487.85,10.20,2.14%,2026-03-02T22:22:18.554Z
SHEL,SHELL PLC ORD EUR0.07,GBX,"174,077.93","3,132.00",58.50,1.90%,2026-03-02T22:22:18.554Z
BEZ,BEAZLEY PLC ORD 5P,GBX,"7,595.79","1,291.00",24.00,1.89%,2026-03-02T22:22:18.554Z
BAB,BABCOCK INTERNATIONAL GROUP PLC ORD 60P,GBX,"6,751.17","1,375.00",23.00,1.70%,2026-03-02T22:22:18.554Z
RR.,ROLLS-ROYCE HOLDINGS PLC ORD SHS 20P,GBX,"112,372.77","1,354.00",20.50,1.54%,2026-03-02T22:22:18.554Z
NG.,NATIONAL GRID PLC ORD 12 204/473P,GBX,"69,150.66","1,400.00",9.00,0.65%,2026-03-02T22:22:18.554Z
ITRK,INTERTEK GROUP PLC ORD 1P,GBX,"7,268.66","4,742.00",20.00,0.42%,2026-03-02T22:22:18.554Z
ADM,ADMIRAL GROUP PLC ORD 0.1P,GBX,"9,078.87","2,972.00",8.00,0.27%,2026-03-02T22:22:18.554Z
SSE,SSE PLC ORD 50P,GBX,"32,594.56","2,693.00",4.00,0.15%,2026-03-02T22:22:18.554Z
SDR,SCHRODERS PLC ORD 20P,GBX,"9,438.77",586.50,0.50,0.09%,2026-03-02T22:22:18.554Z
GLEN,GLENCORE PLC ORD USD0.01,GBX,"62,666.80",534.40,0.40,0.07%,2026-03-02T22:22:18.554Z
RIO,RIO TINTO PLC ORD 10P,GBX,"92,015.78","7,336.00",1.00,0.01%,2026-03-02T22:22:18.554Z
MTLN,METLEN ENERGY & METALS PLC ORD EUR1.00,EUR,"4,465.19",35.50,-0.05,-0.14%,2026-03-02T22:22:18.554Z
UU.,UNITED UTILITIES GROUP PLC ORD 5P,GBX,"9,498.71","1,391.00",-2.00,-0.14%,2026-03-02T22:22:18.554Z
SVT,SEVERN TRENT PLC ORD 97 17/19P,GBX,"9,875.68","3,273.00",-7.00,-0.21%,2026-03-02T22:22:18.554Z
REL,RELX PLC ORD 14 51/116P,GBX,"46,626.41","2,575.00",-9.00,-0.35%,2026-03-02T22:22:18.554Z
DCC,DCC PLC ORD EUR0.25 (CDI),GBX,"4,429.19","5,165.00",-20.00,-0.39%,2026-03-02T22:22:18.554Z
PCT,POLAR CAPITAL TECHNOLOGY TRUST PLC ORD 2.5P,GBX,"5,703.29",509.00,-2.00,-0.39%,2026-03-02T22:22:18.554Z
WEIR,WEIR GROUP PLC ORD 12.5P,GBX,"9,143.54","3,508.00",-14.00,-0.40%,2026-03-02T22:22:18.554Z
ALW,ALLIANCE WITAN PLC ORD 2.5P,GBX,"4,877.59","1,278.00",-6.00,-0.47%,2026-03-02T22:22:18.554Z
BATS,BRITISH AMERICAN TOBACCO PLC ORD 25P,GBX,"100,912.06","4,618.00",-22.00,-0.47%,2026-03-02T22:22:18.554Z
PSON,PEARSON PLC ORD 25P,GBX,"6,052.05",954.40,-5.40,-0.56%,2026-03-02T22:22:18.554Z
RMV,RIGHTMOVE PLC ORD 0.1P,GBX,"3,411.55",444.50,-2.90,-0.65%,2026-03-02T22:22:18.554Z
HSX,HISCOX LD ORD 6.5P (DI),GBX,"5,027.14","1,537.00",-11.00,-0.71%,2026-03-02T22:22:18.554Z
AV.,AVIVA PLC ORD 32 17/19P,GBX,"20,976.08",681.00,-5.00,-0.73%,2026-03-02T22:22:18.554Z
CCEP,COCA-COLA EUROPACIFIC PARTNERS PLC ORD EUR0.01 (DI),GBX,"36,780.56","8,130.00",-60.00,-0.73%,2026-03-02T22:22:18.554Z
TSCO,TESCO PLC ORD 6 1/3P,GBX,"30,687.19",476.70,-3.90,-0.81%,2026-03-02T22:22:18.554Z
IMB,IMPERIAL BRANDS PLC ORD 10P,GBX,"26,214.43","3,296.00",-29.00,-0.87%,2026-03-02T22:22:18.554Z
LSEG,LONDON STOCK EXCHANGE GROUP PLC ORD SHS 6 79/86P,GBX,"44,772.46","8,776.00",-84.00,-0.95%,2026-03-02T22:22:18.554Z
GSK,GSK PLC ORD 31 1/4P,GBX,"89,636.94","2,180.00",-21.00,-0.95%,2026-03-02T22:22:18.554Z
LAND,LAND SECURITIES GROUP PLC ORD 10 2/3P,GBX,"4,816.63",640.00,-6.50,-1.01%,2026-03-02T22:22:18.554Z
MNG,M&G PLC ORD £0.05,GBX,"7,654.37",314.40,-3.30,-1.04%,2026-03-02T22:22:18.554Z
CPG,COMPASS GROUP PLC ORD 11 1/20P,GBX,"38,735.81","2,253.00",-25.00,-1.10%,2026-03-02T22:22:18.554Z
LMP,LONDONMETRIC PROPERTY PLC ORD 10P,GBX,"5,040.47",212.60,-2.40,-1.12%,2026-03-02T22:22:18.554Z
RTO,RENTOKIL INITIAL PLC ORD 1P,GBX,"11,523.79",451.00,-5.20,-1.14%,2026-03-02T22:22:18.554Z
BKG,BERKELEY GROUP HOLDINGS (THE) PLC ORD 5.6110477936P,GBX,"4,086.96","4,274.00",-50.00,-1.16%,2026-03-02T22:22:18.554Z
MRO,MELROSE INDUSTRIES PLC ORD GBP0.001,GBX,"7,086.43",559.20,-6.60,-1.17%,2026-03-02T22:22:18.554Z
GAW,GAMES WORKSHOP GROUP PLC ORD 5P,GBX,"5,911.51","17,670.00",-220.00,-1.23%,2026-03-02T22:22:18.554Z
CNA,CENTRICA PLC ORD 6 14/81P,GBX,"9,170.58",196.70,-2.45,-1.23%,2026-03-02T22:22:18.554Z
FCIT,F&C INVESTMENT TRUST PLC ORD 25P,GBX,"6,106.21","1,273.00",-16.00,-1.24%,2026-03-02T22:22:18.554Z
CCH,COCA-COLA HBC AG ORD CHF6.70 (CDI),GBX,"17,485.64","4,748.00",-62.00,-1.29%,2026-03-02T22:22:18.554Z
DPLM,DIPLOMA PLC ORD 5P,GBX,"7,622.51","5,595.00",-80.00,-1.41%,2026-03-02T22:22:18.554Z
HLN,HALEON PLC ORD GBP0.01,GBX,"36,134.87",399.90,-5.80,-1.43%,2026-03-02T22:22:18.554Z
SBRY,SAINSBURY(J) PLC ORD 28 4/7P,GBX,"7,900.03",344.00,-5.00,-1.43%,2026-03-02T22:22:18.554Z
HLMA,HALMA PLC ORD 10P,GBX,"15,884.36","4,122.00",-62.00,-1.48%,2026-03-02T22:22:18.554Z
IMI,IMI PLC ORD 28 4/7P,GBX,"7,113.83","2,836.00",-44.00,-1.53%,2026-03-02T22:22:18.554Z
VOD,VODAFONE GROUP PLC ORD USD0.20 20/21,GBX,"26,506.18",112.75,-1.75,-1.53%,2026-03-02T22:22:18.554Z
SMIN,SMITHS GROUP PLC ORD 37.5P,GBX,"8,613.27","2,704.00",-42.00,-1.53%,2026-03-02T22:22:18.554Z
SPX,SPIRAX GROUP PLC ORD 26 12/13P,GBX,"5,832.00","7,780.00",-125.00,-1.58%,2026-03-02T22:22:18.554Z
LGEN,LEGAL & GENERAL GROUP PLC ORD 2 1/2P,GBX,"15,457.81",266.90,-4.40,-1.62%,2026-03-02T22:22:18.554Z
SGRO,SEGRO PLC ORD 10P,GBX,"11,385.60",827.20,-14.00,-1.66%,2026-03-02T22:22:18.554Z
BLND,BRITISH LAND CO PLC ORD 25P,GBX,"4,079.57",401.20,-6.80,-1.67%,2026-03-02T22:22:18.554Z
AUTO,AUTOTRADER GROUP PLC ORD 1P,GBX,"4,096.19",484.60,-8.30,-1.68%,2026-03-02T22:22:18.554Z
PRU,PRUDENTIAL PLC ORD 5P,GBX,"28,842.22","1,116.50",-21.00,-1.85%,2026-03-02T22:22:18.554Z
AZN,ASTRAZENECA PLC ORD SHS $0.25,GBX,"241,047.81","15,252.00",-290.00,-1.87%,2026-03-02T22:22:18.554Z
HWDN,HOWDEN JOINERY GROUP PLC ORD 10P,GBX,"5,228.66",951.00,-19.00,-1.96%,2026-03-02T22:22:18.554Z
EDV,ENDEAVOUR MINING PLC ORD USD0.01,GBX,"12,760.33","5,185.00",-105.00,-1.98%,2026-03-02T22:22:18.554Z
NXT,NEXT PLC ORD 10P,GBX,"16,489.74","13,235.00",-285.00,-2.11%,2026-03-02T22:22:18.554Z
EXPN,EXPERIAN PLC ORD USD0.10,GBX,"25,356.87","2,727.00",-59.00,-2.12%,2026-03-02T22:22:18.554Z
ENT,ENTAIN PLC ORD EUR0.01,GBX,"3,677.72",562.80,-12.20,-2.12%,2026-03-02T22:22:18.554Z
ICG,ICG PLC ORD 26 1/4P,GBX,"4,878.23","1,642.00",-37.00,-2.20%,2026-03-02T22:22:18.554Z
WTB,WHITBREAD PLC ORD 76 122/153P,GBX,"4,361.28","2,541.00",-59.00,-2.27%,2026-03-02T22:22:18.554Z
STJ,ST.JAMES'S PLACE PLC ORD 15P,GBX,"7,116.74","1,319.00",-31.00,-2.30%,2026-03-02T22:22:18.554Z
SMT,SCOTTISH MORTGAGE INV TST PLC ORD 5P,GBX,"13,372.98","1,209.00",-28.50,-2.30%,2026-03-02T22:22:18.554Z
RKT,RECKITT BENCKISER GROUP PLC ORD 10 5/12P,GBX,"41,986.34","6,360.00",-152.00,-2.33%,2026-03-02T22:22:18.554Z
KGF,KINGFISHER PLC ORD 15 5/7P,GBX,"6,276.46",361.80,-8.70,-2.35%,2026-03-02T22:22:18.554Z
PSH,PERSHING SQUARE HOLDINGS LTD ORD NPV,GBX,"7,587.97","4,220.00",-102.00,-2.36%,2026-03-02T22:22:18.554Z
LLOY,LLOYDS BANKING GROUP PLC ORD 10P,GBX,"60,256.32",99.92,-2.53,-2.47%,2026-03-02T22:22:18.554Z
BT.A,BT GROUP PLC ORD 5P,GBX,"21,609.84",211.40,-5.40,-2.49%,2026-03-02T22:22:18.554Z
ANTO,ANTOFAGASTA PLC ORD 5P,GBX,"42,076.36","4,158.00",-110.00,-2.58%,2026-03-02T22:22:18.554Z
ULVR,UNILEVER PLC ORD 3.5P,GBX,"119,218.34","5,326.00",-141.00,-2.58%,2026-03-02T22:22:18.554Z
III,3I GROUP PLC ORD 73 19/22P,GBX,"34,040.52","3,233.00",-89.00,-2.68%,2026-03-02T22:22:18.554Z
FRES,FRESNILLO PLC ORD USD0.50,GBX,"31,244.29","4,120.00",-120.00,-2.83%,2026-03-02T22:22:18.554Z
NWG,NATWEST GROUP PLC ORD 107.69P,GBX,"49,374.63",601.00,-18.00,-2.91%,2026-03-02T22:22:18.554Z
BTRW,BARRATT REDROW PLC ORD 10P,GBX,"5,188.72",354.20,-10.90,-2.99%,2026-03-02T22:22:18.554Z
PSN,PERSIMMON PLC ORD 10P,GBX,"4,830.34","1,461.00",-45.00,-2.99%,2026-03-02T22:22:18.554Z
SDLF,STANDARD LIFE PLC ORD 10P,GBX,"7,718.18",744.00,-23.00,-3.00%,2026-03-02T22:22:18.554Z
AAL,ANGLO AMERICAN PLC ORD USD0.623855311355311,GBX,"43,599.64","3,590.00",-111.00,-3.00%,2026-03-02T22:22:18.554Z
EZJ,EASYJET PLC ORD 27 2/7P,GBX,"3,517.17",450.00,-14.00,-3.02%,2026-03-02T22:22:18.554Z
ABF,ASSOCIATED BRITISH FOODS PLC ORD 5 15/22P,GBX,"14,029.55","1,914.50",-62.50,-3.16%,2026-03-02T22:22:18.554Z
DGE,DIAGEO PLC ORD 28 101/108P,GBX,"37,014.54","1,609.00",-53.50,-3.22%,2026-03-02T22:22:18.554Z
BARC,BARCLAYS PLC ORD 25P,GBX,"62,494.45",437.35,-15.50,-3.42%,2026-03-02T22:22:18.554Z
CRDA,CRODA INTERNATIONAL PLC ORD 10.609756P,GBX,"4,320.32","2,985.00",-109.00,-3.52%,2026-03-02T22:22:18.554Z
MKS,MARKS & SPENCER GROUP PLC ORD 1P,GBX,"8,156.84",382.00,-14.50,-3.66%,2026-03-02T22:22:18.554Z
CTEC,CONVATEC GROUP PLC ORD 10P,GBX,"5,012.24",246.20,-10.20,-3.98%,2026-03-02T22:22:18.554Z
MNDI,MONDI PLC ORD EUR 0.22,GBX,"3,916.21",851.00,-36.20,-4.08%,2026-03-02T22:22:18.554Z
IHG,INTERCONTINENTAL HOTELS GROUP PLC ORD 20 340/399P,USD,"15,441.08",131.80,-5.70,-4.15%,2026-03-02T22:22:18.554Z
SN.,SMITH & NEPHEW PLC ORD USD0.20,GBX,"11,655.17","1,313.00",-58.50,-4.27%,2026-03-02T22:22:18.554Z
INF,INFORMA PLC ORD 0.1P,GBX,"10,739.48",801.20,-37.00,-4.41%,2026-03-02T22:22:18.554Z
HSBA,HSBC HLDGS PLC ORD $0.50 (UK REG),GBX,"239,354.14","1,332.00",-61.60,-4.42%,2026-03-02T22:22:18.554Z
BRBY,BURBERRY GROUP PLC ORD 0.05P,GBX,"4,198.36","1,108.50",-54.50,-4.69%,2026-03-02T22:22:18.554Z
HIK,HIKMA PHARMACEUTICALS PLC ORD SHS 10P,GBX,"3,083.07","1,249.00",-65.00,-4.95%,2026-03-02T22:22:18.554Z
JD.,JD SPORTS FASHION PLC ORD 0.05P,GBX,"4,047.59",77.88,-4.10,-5.00%,2026-03-02T22:22:18.554Z
STAN,STANDARD CHARTERED PLC ORD USD0.50,GBX,"41,266.48","1,735.00",-97.00,-5.29%,2026-03-02T22:22:18.554Z
IAG,INTL CONSOLIDATED AIRLINES GROUP SA ORD EUR0.10 (CDI),GBX,"19,342.45",400.50,-23.20,-5.48%,2026-03-02T22:22:18.554Z
