Ticker,Name,Price,Change,% Change,Volume,Time,Timestamp
AV/:LN,Aviva PLC,681,5.00,0.73%,6.903 M,11:38 AM,2026-03-02T21:27:55.836Z
BATS:LN,British American Tobacco PLC,4618,22.00,0.47%,2.449 M,11:39 AM,2026-03-02T21:27:55.836Z
CNA:LN,Centrica PLC,196.7,2.45,1.23%,7.352 M,11:35 AM,2026-03-02T21:27:55.836Z
BBOX:LN,Tritax Big Box REIT PLC,172.2,0.10,0.06%,8.662 M,11:38 AM,2026-03-02T21:27:55.836Z
AZN:LN,AstraZeneca PLC,15252,290.00,1.87%,1.063 M,11:39 AM,2026-03-02T21:27:55.836Z
BNZL:LN,Bunzl PLC,2246,52.00,2.37%,1.499 M,11:35 AM,2026-03-02T21:27:55.836Z
BT/A:LN,BT Group PLC,211.4,5.40,2.49%,13.124 M,11:36 AM,2026-03-02T21:27:55.836Z
BRBY:LN,Burberry Group PLC,1108.5,54.50,4.69%,860.103 K,11:35 AM,2026-03-02T21:27:55.836Z
ADM:LN,Admiral Group PLC,2972,8.00,0.27%,572.704 K,11:35 AM,2026-03-02T21:27:55.836Z
BEZ:LN,Beazley PLC,1291,24.00,1.89%,13.421 M,11:38 AM,2026-03-02T21:27:55.836Z
BAB:LN,Babcock International Group PLC,1375,23.00,1.70%,1.752 M,11:37 AM,2026-03-02T21:27:55.836Z
BARC:LN,Barclays PLC,437.35,15.50,3.42%,60.134 M,11:38 AM,2026-03-02T21:27:55.836Z
BA/:LN,BAE Systems PLC,2241,129.00,6.11%,8.971 M,11:38 AM,2026-03-02T21:27:55.836Z
CCH:LN,Coca-Cola HBC AG,4748,62.00,1.29%,367.271 K,11:35 AM,2026-03-02T21:27:55.836Z
AUTO:LN,Autotrader Group PLC,484.6,8.30,1.68%,3.204 M,11:38 AM,2026-03-02T21:27:55.836Z
BLND:LN,British Land Co PLC/The,401.2,6.80,1.67%,3.501 M,11:35 AM,2026-03-02T21:27:55.836Z
ANTO:LN,Antofagasta PLC,4158,110.00,2.58%,922.601 K,11:35 AM,2026-03-02T21:27:55.836Z
AAF:LN,Airtel Africa PLC,360.2,11.20,3.21%,3.972 M,11:37 AM,2026-03-02T21:27:55.836Z
ALW:LN,Alliance Witan PLC,1278,6.00,0.47%,996.824 K,11:38 AM,2026-03-02T21:27:55.836Z
AAL:LN,Anglo American PLC,3590,111.00,3.00%,3.267 M,11:35 AM,2026-03-02T21:27:55.836Z
ABF:LN,Associated British Foods PLC,1914.5,62.50,3.16%,1.588 M,11:39 AM,2026-03-02T21:27:55.836Z
BKG:LN,Berkeley Group Holdings PLC,4274,50.00,1.16%,181.612 K,11:35 AM,2026-03-02T21:27:55.836Z
BP/:LN,BP PLC,487.85,10.20,2.14%,73.882 M,11:37 AM,2026-03-02T21:27:55.836Z
CCEP:LN,Coca-Cola Europacific Partners PLC,8130,60.00,0.73%,151.578 K,11:35 AM,2026-03-02T21:27:55.836Z
BTRW:LN,Barratt Redrow PLC,354.2,10.90,2.99%,4.145 M,11:38 AM,2026-03-02T21:27:55.836Z
GAW:LN,Games Workshop Group PLC,17670,220.00,1.23%,51.337 K,11:35 AM,2026-03-02T21:27:55.836Z
FCIT:LN,F&C Investment Trust PLC,1273,16.00,1.24%,526.655 K,11:37 AM,2026-03-02T21:27:55.836Z
III:LN,3i Group PLC,3233,89.00,2.68%,859.098 K,11:39 AM,2026-03-02T21:27:55.836Z
ICG:LN,ICG PLC,1642,37.00,2.20%,878.667 K,11:39 AM,2026-03-02T21:27:55.836Z
CRDA:LN,Croda International PLC,2985,109.00,3.52%,708.932 K,11:35 AM,2026-03-02T21:27:55.836Z
HLN:LN,Haleon PLC,399.9,5.80,1.43%,13.297 M,11:39 AM,2026-03-02T21:27:55.836Z
DCC:LN,DCC PLC,5165,20.00,0.39%,326.251 K,11:36 AM,2026-03-02T21:27:55.836Z
ENT:LN,Entain PLC,562.8,12.20,2.12%,1.771 M,11:39 AM,2026-03-02T21:27:55.836Z
CTEC:LN,Convatec Group PLC,246.2,10.20,3.98%,7.95 M,11:35 AM,2026-03-02T21:27:55.836Z
IAG:LN,International Consolidated Airlines Group SA,400.5,23.20,5.48%,35.087 M,11:39 AM,2026-03-02T21:27:55.836Z
GSK:LN,GSK PLC,2180,21.00,0.95%,4.679 M,11:39 AM,2026-03-02T21:27:55.836Z
DGE:LN,Diageo PLC,1609,53.50,3.22%,6.503 M,11:38 AM,2026-03-02T21:27:55.836Z
HIK:LN,Hikma Pharmaceuticals PLC,1249,65.00,4.95%,1.654 M,11:36 AM,2026-03-02T21:27:55.836Z
HSX:LN,Hiscox Ltd,1537,11.00,0.71%,789.525 K,11:35 AM,2026-03-02T21:27:55.836Z
EDV:LN,Endeavour Mining PLC,5185,105.00,1.98%,572.077 K,11:39 AM,2026-03-02T21:27:55.836Z
