Name,Last Price,% Diff,Date,Time,Timestamp
ACCIONA,246.4000,-0.16%,02/03/2026,Close,2026-03-02T18:17:55.624Z
ACCIONA ENER,21.7600,-1.54%,02/03/2026,Close,2026-03-02T18:17:55.624Z
ACERINOX,13.4300,-0.74%,02/03/2026,Close,2026-03-02T18:17:55.624Z
ACS,109.6000,0.00%,02/03/2026,Close,2026-03-02T18:17:55.624Z
AENA,26.3700,-1.12%,02/03/2026,Close,2026-03-02T18:17:55.624Z
AMADEUS,51.3800,-2.58%,02/03/2026,Close,2026-03-02T18:17:55.624Z
ARCELORMIT.,54.5600,-1.59%,02/03/2026,Close,2026-03-02T18:17:55.624Z
B.SANTANDER,10.2460,-5.04%,02/03/2026,Close,2026-03-02T18:17:55.624Z
BA.SABADELL,3.1270,-2.52%,02/03/2026,Close,2026-03-02T18:17:55.624Z
BANKINTER,13.9050,-1.90%,02/03/2026,Close,2026-03-02T18:17:55.624Z
BBVA,18.9850,-3.87%,02/03/2026,Close,2026-03-02T18:17:55.624Z
CAIXABANK,10.2900,-2.19%,02/03/2026,Close,2026-03-02T18:17:55.624Z
CELLNEX,32.4300,0.90%,02/03/2026,Close,2026-03-02T18:17:55.624Z
COLONIAL SFL,5.4950,-3.60%,02/03/2026,Close,2026-03-02T18:17:55.624Z
ENAGAS,15.4000,0.36%,02/03/2026,Close,2026-03-02T18:17:55.624Z
ENDESA,34.3200,-0.72%,02/03/2026,Close,2026-03-02T18:17:55.624Z
FERROVIAL SE,62.3600,-1.27%,02/03/2026,Close,2026-03-02T18:17:55.624Z
FLUIDRA,22.2000,-2.12%,02/03/2026,Close,2026-03-02T18:17:55.624Z
GRIFOLS CL.A,10.5250,-0.99%,02/03/2026,Close,2026-03-02T18:17:55.624Z
IAG,4.5870,-4.95%,02/03/2026,Close,2026-03-02T18:17:55.624Z
IBERDROLA,19.8050,-1.22%,02/03/2026,Close,2026-03-02T18:17:55.624Z
INDITEX,54.1000,-4.79%,02/03/2026,Close,2026-03-02T18:17:55.624Z
INDRA A,62.4500,-0.48%,02/03/2026,Close,2026-03-02T18:17:55.624Z
LOGISTA,32.0200,-0.74%,02/03/2026,Close,2026-03-02T18:17:55.624Z
MAPFRE,3.8780,-1.82%,02/03/2026,Close,2026-03-02T18:17:55.624Z
MERLIN,14.7300,-1.87%,02/03/2026,Close,2026-03-02T18:17:55.624Z
NATURGY,26.7600,1.59%,02/03/2026,Close,2026-03-02T18:17:55.624Z
PUIG BRANDS,15.6900,-4.10%,02/03/2026,Close,2026-03-02T18:17:55.624Z
REDEIA,15.4800,-1.59%,02/03/2026,Close,2026-03-02T18:17:55.624Z
REPSOL,20.0400,5.39%,02/03/2026,Close,2026-03-02T18:17:55.624Z
ROVI,83.1000,-1.95%,02/03/2026,Close,2026-03-02T18:17:55.624Z
SACYR,4.4720,-1.41%,02/03/2026,Close,2026-03-02T18:17:55.624Z
SOLARIA,21.0900,-4.01%,02/03/2026,Close,2026-03-02T18:17:55.624Z
TELEFONICA,3.7190,-3.40%,02/03/2026,Close,2026-03-02T18:17:55.624Z
UNICAJA,2.5940,-3.93%,02/03/2026,Close,2026-03-02T18:17:55.624Z
