Name,Capi. USD,Change,5d. change,Varia. Jan 1.,Timestamp
SAP SE,236B,-2.26%,-0.45%,-19.80%,2026-03-02T18:22:47.642Z
SIEMENS AG,227B,-3.72%,-1.02%,-0.40%,2026-03-02T18:22:47.642Z
DEUTSCHE TELEKOM AG,195B,-2.58%,-0.12%,+20.07%,2026-03-02T18:22:47.642Z
ALLIANZ SE,172B,-3.09%,-2.22%,-5.15%,2026-03-02T18:22:47.642Z
AIRBUS SE,171B,-2.15%,-1.56%,-9.13%,2026-03-02T18:22:47.642Z
SIEMENS ENERGY AG,168B,-2.46%,-2.02%,+34.84%,2026-03-02T18:22:47.642Z
RHEINMETALL AG,90.18B,-2.16%,-4.35%,+4.26%,2026-03-02T18:22:47.642Z
MUNICH RE,83.6B,-0.68%,+1.66%,-1.85%,2026-03-02T18:22:47.642Z
INFINEON TECHNOLOGIES AG,70.49B,-3.08%,-3.21%,+17.72%,2026-03-02T18:22:47.642Z
DEUTSCHE BANK AG,68.11B,-3.45%,-4.65%,-11.66%,2026-03-02T18:22:47.642Z
MERCEDES-BENZ GROUP AG,66.31B,-4.02%,-2.86%,-5.73%,2026-03-02T18:22:47.642Z
MERCK KGAA,65.91B,-1.60%,+0.28%,+2.98%,2026-03-02T18:22:47.642Z
BMW AG,65.06B,-4.99%,-3.08%,-8.74%,2026-03-02T18:22:47.642Z
DHL GROUP,63.29B,-2.85%,-1.68%,+4.15%,2026-03-02T18:22:47.642Z
EON SE,60.76B,-1.22%,+5.22%,+20.56%,2026-03-02T18:22:47.642Z
VOLKSWAGEN AG,60.15B,-4.41%,-3.16%,-6.58%,2026-03-02T18:22:47.642Z
SIEMENS HEALTHINEERS AG,55.56B,-1.83%,-0.43%,-7.90%,2026-03-02T18:22:47.642Z
BASF SE,50.6B,-2.81%,-3.15%,+6.53%,2026-03-02T18:22:47.642Z
DEUTSCHE B&Ouml;RSE AG,50.33B,+0.39%,+6.19%,+4.29%,2026-03-02T18:22:47.642Z
BAYER AG,48.77B,-3.33%,-5.12%,+9.73%,2026-03-02T18:22:47.642Z
RWE AG,45.81B,+0.66%,+6.23%,+21.30%,2026-03-02T18:22:47.642Z
COMMERZBANK AG,44.64B,-3.92%,-3.25%,-7.78%,2026-03-02T18:22:47.642Z
HEIDELBERG MATERIALS AG,39.51B,-3.14%,-9.78%,-17.67%,2026-03-02T18:22:47.642Z
DAIMLER TRUCK HOLDING AG,38.93B,-2.30%,-0.05%,+12.65%,2026-03-02T18:22:47.642Z
HENKEL AG & CO. KGAA,37.98B,-2.84%,-3.30%,+16.15%,2026-03-02T18:22:47.642Z
HANNOVER RE,36.73B,-0.62%,+2.81%,-3.76%,2026-03-02T18:22:47.642Z
FRESENIUS SE & CO. KGAA,33.88B,-1.22%,-2.78%,+2.65%,2026-03-02T18:22:47.642Z
ADIDAS AG,33.21B,-4.33%,-4.57%,-10.47%,2026-03-02T18:22:47.642Z
VONOVIA SE,28.75B,-2.93%,+1.09%,+13.49%,2026-03-02T18:22:47.642Z
BEIERSDORF,27.8B,-2.69%,-2.83%,+11.82%,2026-03-02T18:22:47.642Z
MTU AERO ENGINES AG,23.22B,-2.63%,-10.49%,+0.14%,2026-03-02T18:22:47.642Z
CONTINENTAL AG,17.28B,-3.45%,-2.16%,+3.88%,2026-03-02T18:22:47.642Z
PORSCHE AUTOMOBIL HOLDING SE,13.04B,-2.94%,-2.75%,-12.40%,2026-03-02T18:22:47.642Z
FRESENIUS MEDICAL CARE AG,12.82B,+0.99%,-3.74%,-2.26%,2026-03-02T18:22:47.642Z
SYMRISE AG,12.77B,-1.39%,+0.92%,+11.06%,2026-03-02T18:22:47.642Z
GEA GROUP AG,12.68B,-2.35%,-1.38%,+11.33%,2026-03-02T18:22:47.642Z
QIAGEN N.V.,10.26B,-2.11%,+2.79%,+3.04%,2026-03-02T18:22:47.642Z
BRENNTAG SE,8.92B,-2.49%,-4.32%,+2.91%,2026-03-02T18:22:47.642Z
ZALANDO SE,6.25B,-4.43%,-1.69%,-21.74%,2026-03-02T18:22:47.642Z
SCOUT24 SE,6.04B,-2.63%,+1.01%,-18.01%,2026-03-02T18:22:47.642Z
