Name,Last Price,Volume,+/-,Timestamp
Rheinmetall AG,"1,647.00",582.49 m,1.20,02/03/26 19:05
SAP SE,168.52,464.66 m,0.85,02/03/26 19:05
Siemens Energy AG,163.05,359.85 m,0.43,02/03/26 19:02
Allianz SE,371.70,340.57 m,0.35,02/03/26 19:03
Siemens AG,239.65,340.13 m,0.61,02/03/26 19:03
Deutsche Telekom AG,33.19,276.49 m,-2.64,02/03/26 17:55
Deutsche Bank AG,29.44,256.22 m,0.65,02/03/26 18:53
BASF SE,47.49,236.80 m,0.34,02/03/26 19:05
Münchener Rück AG,551.80,195.81 m,0.00,02/03/26 18:51
Infineon Technologies AG,44.71,189.21 m,-2.45,02/03/26 18:22
Mercedes Benz Group AG (former Daimler),57.08,179.23 m,0.79,02/03/26 18:46
Deutsche Börse AG,233.80,164.66 m,0.60,02/03/26 18:28
Volkswagen AG Vz,97.36,160.13 m,-3.79,02/03/26 18:28
Bayer AG,40.55,146.72 m,-0.15,02/03/26 19:06
adidas AG,152.00,145.20 m,0.43,02/03/26 18:47
Vonovia SE,27.85,135.64 m,-2.93,02/03/26 17:52
RWE AG St,54.96,135.21 m,0.11,02/03/26 18:31
BMW AG St,85.58,134.28 m,-4.34,02/03/26 18:07
Commerzbank AG,33.39,131.84 m,-3.64,02/03/26 18:22
DHL Aktie (Deutsche Post),48.68,127.91 m,-2.83,02/03/26 17:48
Heidelberg Materials AG,184.90,127.91 m,0.71,02/03/26 18:43
E.ON SE,19.47,107.40 m,0.15,02/03/26 18:35
Airbus SE,181.46,70.28 m,0.63,02/03/26 18:43
MTU Aero Engines AG,357.30,65.12 m,-2.22,02/03/26 18:29
Siemens Healthineers AG,41.37,63.71 m,-1.83,02/03/26 17:35
DAIMLER TRUCK HLDG NA ON (EN),42.04,58.95 m,-2.30,02/03/26 17:35
Symrise AG,76.18,52.56 m,-1.80,02/03/26 17:41
Fresenius SE & Co. KGaA,50.78,46.94 m,-0.24,02/03/26 18:10
Zalando SE (EN),19.89,43.38 m,0.28,02/03/26 18:48
Beiersdorf AG,104.75,42.85 m,-2.69,02/03/26 17:35
Hannover Rück SE,255.80,42.70 m,-0.16,02/03/26 18:50
Henkel AG & Co. KGaA Vz,81.18,42.17 m,-2.40,02/03/26 17:49
Fresenius Medical Care AG,39.84,38.81 m,0.99,02/03/26 17:35
Merck KGaA,126.25,31.61 m,0.00,02/03/26 19:01
Continental AG,70.60,29.78 m,-3.45,02/03/26 17:35
Porsche Automobil Holding SE,35.15,23.56 m,-2.44,02/03/26 18:17
GEA Group Aktiengesellschaft,64.35,22.23 m,-2.35,02/03/26 17:35
Scout24 SE,70.35,21.44 m,-2.63,02/03/26 17:35
Brenntag SE,51.00,19.94 m,-2.49,02/03/26 17:35
Qiagen NV Registered Shs,41.30,17.94 m,-1.58,02/03/26 17:35
