Ticker,Name,Price,Change,% Change,Volume,Time,Timestamp
AV/:LN,Aviva PLC,645.6,-21.80,-3.27%,10.653 M,11:38 AM,2026-03-05T20:58:05.025Z
BATS:LN,British American Tobacco PLC,4388,-139.00,-3.07%,2.599 M,11:37 AM,2026-03-05T20:58:05.025Z
CNA:LN,Centrica PLC,193.15,+0.10,+0.05%,13.868 M,11:35 AM,2026-03-05T20:58:05.025Z
BBOX:LN,Tritax Big Box REIT PLC,162.7,-5.50,-3.27%,10.405 M,11:35 AM,2026-03-05T20:58:05.025Z
AZN:LN,AstraZeneca PLC,14774,-314.00,-2.08%,1.599 M,11:38 AM,2026-03-05T20:58:05.025Z
BNZL:LN,Bunzl PLC,2234,+50.00,+2.29%,1.143 M,11:37 AM,2026-03-05T20:58:05.025Z
BT/A:LN,BT Group PLC,207.4,+0.90,+0.44%,11.143 M,11:37 AM,2026-03-05T20:58:05.025Z
BRBY:LN,Burberry Group PLC,1101.5,+11.50,+1.05%,608.878 K,11:38 AM,2026-03-05T20:58:05.025Z
ADM:LN,Admiral Group PLC,3078,+218.00,+7.62%,1.435 M,11:37 AM,2026-03-05T20:58:05.025Z
BEZ:LN,Beazley PLC,1288,-1.00,-0.08%,2.615 M,11:39 AM,2026-03-05T20:58:05.025Z
BAB:LN,Babcock International Group PLC,1354,-46.00,-3.29%,1.371 M,11:38 AM,2026-03-05T20:58:05.025Z
BARC:LN,Barclays PLC,417,-13.60,-3.16%,45.194 M,11:38 AM,2026-03-05T20:58:05.025Z
BA/:LN,BAE Systems PLC,2150,-119.00,-5.24%,5.552 M,11:39 AM,2026-03-05T20:58:05.025Z
CCH:LN,Coca-Cola HBC AG,4542,-24.00,-0.53%,432.267 K,11:39 AM,2026-03-05T20:58:05.025Z
AUTO:LN,Autotrader Group PLC,472.7,+0.60,+0.13%,6.25 M,11:35 AM,2026-03-05T20:58:05.025Z
BLND:LN,British Land Co PLC/The,385.8,-3.20,-0.82%,5.099 M,11:38 AM,2026-03-05T20:58:05.025Z
ANTO:LN,Antofagasta PLC,3857,-188.00,-4.65%,1.068 M,11:35 AM,2026-03-05T20:58:05.025Z
AAF:LN,Airtel Africa PLC,357,-3.00,-0.83%,3.574 M,11:38 AM,2026-03-05T20:58:05.025Z
ALW:LN,Alliance Witan PLC,1260,-2.00,-0.16%,822.062 K,11:36 AM,2026-03-05T20:58:05.025Z
AAL:LN,Anglo American PLC,3379,-139.00,-3.95%,2.853 M,11:38 AM,2026-03-05T20:58:05.025Z
ABF:LN,Associated British Foods PLC,1887,-39.50,-2.05%,814.565 K,11:35 AM,2026-03-05T20:58:05.025Z
BKG:LN,Berkeley Group Holdings PLC,4020,-100.00,-2.43%,279.166 K,11:37 AM,2026-03-05T20:58:05.025Z
BP/:LN,BP PLC,491.95,+10.70,+2.22%,36.155 M,11:38 AM,2026-03-05T20:58:05.025Z
CCEP:LN,Coca-Cola Europacific Partners PLC,7680,-80.00,-1.03%,150.125 K,11:37 AM,2026-03-05T20:58:05.025Z
BTRW:LN,Barratt Redrow PLC,322.3,-6.80,-2.07%,7.603 M,11:36 AM,2026-03-05T20:58:05.025Z
GAW:LN,Games Workshop Group PLC,17270,-70.00,-0.40%,42.053 K,11:36 AM,2026-03-05T20:58:05.025Z
FCIT:LN,F&C Investment Trust PLC,1240,-20.00,-1.59%,406.257 K,11:35 AM,2026-03-05T20:58:05.025Z
