Code,Name,Currency,Market cap (m),Price,Change,Change %,Timestamp
RTO,RENTOKIL INITIAL PLC ORD 1P,GBX,"10,748.30",471.20,45.70,10.74%,2026-03-05T22:00:34.360Z
ADM,ADMIRAL GROUP PLC ORD 0.1P,GBX,"8,760.31","3,078.00",218.00,7.62%,2026-03-05T22:00:34.360Z
CPG,COMPASS GROUP PLC ORD 11 1/20P,GBX,"38,004.62","2,306.00",71.00,3.18%,2026-03-05T22:00:34.360Z
REL,RELX PLC ORD 14 51/116P,GBX,"46,029.00","2,623.00",70.00,2.74%,2026-03-05T22:00:34.360Z
EXPN,EXPERIAN PLC ORD USD0.10,GBX,"24,415.38","2,755.00",70.00,2.61%,2026-03-05T22:00:34.360Z
BNZL,BUNZL PLC ORD 32 1/7P,GBX,"7,080.78","2,234.00",50.00,2.29%,2026-03-05T22:00:34.360Z
BP.,BP PLC $0.25,GBX,"75,582.97",491.95,10.70,2.22%,2026-03-05T22:00:34.360Z
CTEC,CONVATEC GROUP PLC ORD 10P,GBX,"4,754.20",248.60,5.40,2.22%,2026-03-05T22:00:34.360Z
WEIR,WEIR GROUP PLC ORD 12.5P,GBX,"7,892.21","3,094.00",54.00,1.78%,2026-03-05T22:00:34.360Z
JD.,JD SPORTS FASHION PLC ORD 0.05P,GBX,"3,729.46",76.98,1.34,1.77%,2026-03-05T22:00:34.360Z
DGE,DIAGEO PLC ORD 28 101/108P,GBX,"33,842.07","1,544.00",24.00,1.58%,2026-03-05T22:00:34.360Z
SHEL,SHELL PLC ORD EUR0.07,GBX,"173,415.20","3,108.00",44.50,1.45%,2026-03-05T22:00:34.360Z
MNDI,MONDI PLC ORD EUR 0.22,GBX,"3,721.11",855.00,12.00,1.42%,2026-03-05T22:00:34.360Z
RMV,RIGHTMOVE PLC ORD 0.1P,GBX,"3,323.01",441.60,5.60,1.28%,2026-03-05T22:00:34.360Z
ENT,ENTAIN PLC ORD EUR0.01,GBX,"3,698.19",584.80,6.60,1.14%,2026-03-05T22:00:34.360Z
BRBY,BURBERRY GROUP PLC ORD 0.05P,GBX,"3,934.85","1,101.50",11.50,1.06%,2026-03-05T22:00:34.360Z
LSEG,LONDON STOCK EXCHANGE GROUP PLC ORD SHS 6 79/86P,GBX,"43,709.18","8,744.00",84.00,0.97%,2026-03-05T22:00:34.360Z
NG.,NATIONAL GRID PLC ORD 12 204/473P,GBX,"66,864.11","1,352.00",7.00,0.52%,2026-03-05T22:00:34.360Z
WTB,WHITBREAD PLC ORD 76 122/153P,GBX,"4,263.99","2,554.00",12.00,0.47%,2026-03-05T22:00:34.360Z
BT.A,BT GROUP PLC ORD 5P,GBX,"20,583.18",207.40,0.90,0.44%,2026-03-05T22:00:34.360Z
ITRK,INTERTEK GROUP PLC ORD 1P,GBX,"6,209.61","4,044.00",10.00,0.25%,2026-03-05T22:00:34.360Z
DCC,DCC PLC ORD EUR0.25 (CDI),GBX,"4,113.98","4,824.00",8.00,0.17%,2026-03-05T22:00:34.360Z
AUTO,AUTOTRADER GROUP PLC ORD 1P,GBX,"3,914.95",472.70,0.60,0.13%,2026-03-05T22:00:34.360Z
UU.,UNITED UTILITIES GROUP PLC ORD 5P,GBX,"9,280.50","1,362.50",1.50,0.11%,2026-03-05T22:00:34.360Z
