Name,Last Price,Volume,+/-,Timestamp
SAP SE,170.98,502.88 m,2.15,05/03/26 17:35
Rheinmetall AG,"1,547.00",432.85 m,-5.58,05/03/26 17:37
Siemens AG,224.80,414.48 m,-3.48,05/03/26 17:36
Allianz SE,353.20,400.94 m,-1.62,05/03/26 17:36
Siemens Energy AG,153.10,372.59 m,-5.93,05/03/26 17:36
Deutsche Telekom AG,33.06,237.52 m,0.18,05/03/26 17:35
DHL Aktie (Deutsche Post),45.89,224.84 m,-4.63,05/03/26 17:35
adidas AG,145.10,217.95 m,2.33,05/03/26 17:35
Deutsche Bank AG,27.92,212.11 m,-2.43,05/03/26 17:37
Münchener Rück AG,532.00,209.00 m,-0.49,05/03/26 17:35
Bayer AG,37.78,193.27 m,1.00,05/03/26 17:35
Infineon Technologies AG,42.30,191.36 m,-3.75,05/03/26 17:35
BASF SE,46.43,159.38 m,0.61,05/03/26 17:35
Deutsche Börse AG,241.80,129.16 m,0.46,05/03/26 17:35
Mercedes Benz Group AG (former Daimler),55.65,121.48 m,-1.54,05/03/26 17:35
Vonovia SE,25.93,120.71 m,-1.74,05/03/26 17:35
Heidelberg Materials AG,180.05,114.45 m,-1.34,05/03/26 17:35
Merck KGaA,113.20,112.98 m,-8.00,05/03/26 17:37
Commerzbank AG,31.24,111.57 m,-2.68,05/03/26 17:36
Volkswagen AG Vz,92.80,101.75 m,-1.74,05/03/26 17:36
BMW AG St,81.42,96.11 m,-1.48,05/03/26 17:35
Fresenius SE & Co. KGaA,46.40,89.51 m,-3.69,05/03/26 17:35
RWE AG St,52.60,83.07 m,-1.39,05/03/26 17:35
E.ON SE,18.92,74.65 m,0.21,05/03/26 17:35
Airbus SE,175.98,72.89 m,-0.71,05/03/26 17:36
MTU Aero Engines AG,348.30,67.89 m,-2.14,05/03/26 17:35
Siemens Healthineers AG,40.50,57.35 m,-2.20,05/03/26 17:35
Beiersdorf AG,82.54,56.57 m,-1.41,05/03/26 17:35
Zalando SE (EN),20.38,50.18 m,3.61,05/03/26 17:35
Henkel AG & Co. KGaA Vz,75.70,47.78 m,-1.97,05/03/26 17:35
DAIMLER TRUCK HLDG NA ON (EN),41.25,47.61 m,-1.83,05/03/26 17:35
Fresenius Medical Care AG,39.70,45.71 m,1.40,05/03/26 17:35
Symrise AG,72.68,34.71 m,2.45,05/03/26 17:35
Continental AG,65.66,33.71 m,-1.94,05/03/26 17:35
Hannover Rück SE,252.00,31.41 m,0.24,05/03/26 17:35
Scout24 SE,72.45,29.72 m,1.97,05/03/26 17:35
Brenntag SE,46.27,28.61 m,-1.66,05/03/26 17:36
GEA Group Aktiengesellschaft,61.30,26.20 m,-2.47,05/03/26 17:35
Qiagen NV Registered Shs,40.55,24.94 m,-0.81,05/03/26 17:35
Porsche Automobil Holding SE,34.09,14.83 m,-0.32,05/03/26 17:35
