Symbol,Company,Weight,Price,Chg,% Chg,Timestamp
NVDA,Nvidia,7.19%,182.87,-0.17,-0.09%,2026-03-05T21:30:34.105Z
AAPL,Apple Inc.,6.16%,259.30,-3.22,-1.23%,2026-03-05T21:30:34.105Z
MSFT,Microsoft,4.93%,410.26,5.06,1.25%,2026-03-05T21:30:34.105Z
AMZN,Amazon,3.80%,218.60,1.78,0.82%,2026-03-05T21:30:34.105Z
GOOGL,Alphabet Inc. (Class A),3.04%,300.34,-2.79,-0.92%,2026-03-05T21:30:34.105Z
GOOG,Alphabet Inc. (Class C),2.84%,300.45,-3.00,-0.99%,2026-03-05T21:30:34.105Z
META,Meta Platforms,2.70%,659.81,-7.92,-1.19%,2026-03-05T21:30:34.105Z
AVGO,Broadcom,2.54%,331.08,13.55,4.27%,2026-03-05T21:30:34.105Z
TSLA,"Tesla, Inc.",2.46%,404.95,-0.99,-0.24%,2026-03-05T21:30:34.105Z
BRK.B,Berkshire Hathaway,1.75%,500.48,13.00,2.67%,2026-03-05T21:30:34.105Z
WMT,Walmart,1.59%,123.24,-4.57,-3.57%,2026-03-05T21:30:34.105Z
LLY,Lilly (Eli),1.42%,980.45,-23.12,-2.30%,2026-03-05T21:30:34.105Z
JPM,JPMorgan Chase,1.28%,293.33,-6.06,-2.03%,2026-03-05T21:30:34.105Z
XOM,ExxonMobil,1.01%,150.36,0.54,0.36%,2026-03-05T21:30:34.105Z
V,Visa Inc.,0.99%,318.22,-2.25,-0.70%,2026-03-05T21:30:34.105Z
JNJ,Johnson & Johnson,0.93%,238.38,-6.92,-2.82%,2026-03-05T21:30:34.105Z
MA,Mastercard,0.75%,521.48,-1.44,-0.28%,2026-03-05T21:30:34.105Z
ORCL,Oracle Corporation,0.73%,156.75,4.38,2.87%,2026-03-05T21:30:34.105Z
MU,Micron Technology,0.72%,395.55,-5.22,-1.30%,2026-03-05T21:30:34.105Z
COST,Costco,0.70%,980.75,-25.99,-2.58%,2026-03-05T21:30:34.105Z
NFLX,Netflix,0.68%,98.99,0.33,0.33%,2026-03-05T21:30:34.105Z
ABBV,AbbVie,0.66%,230.11,-6.08,-2.57%,2026-03-05T21:30:34.105Z
CVX,Chevron Corporation,0.61%,189.24,3.21,1.72%,2026-03-05T21:30:34.105Z
PLTR,Palantir Technologies,0.59%,152.15,-1.04,-0.68%,2026-03-05T21:30:34.105Z
HD,Home Depot (The),0.58%,361.23,-7.88,-2.14%,2026-03-05T21:30:34.105Z
BAC,Bank of America,0.58%,49.79,-0.51,-1.01%,2026-03-05T21:30:34.105Z
PG,Procter & Gamble,0.58%,153.88,-4.42,-2.79%,2026-03-05T21:30:34.105Z
GE,GE Aerospace,0.56%,327.07,-12.74,-3.75%,2026-03-05T21:30:34.105Z
KO,Coca-Cola Company (The),0.54%,76.97,-1.13,-1.45%,2026-03-05T21:30:34.105Z
CAT,Caterpillar Inc.,0.53%,705.60,-26.37,-3.60%,2026-03-05T21:30:34.105Z
AMD,Advanced Micro Devices,0.52%,198.95,-3.12,-1.54%,2026-03-05T21:30:34.105Z
CSCO,Cisco,0.51%,80.02,-0.85,-1.05%,2026-03-05T21:30:34.105Z
MRK,Merck & Co.,0.46%,115.75,-4.53,-3.77%,2026-03-05T21:30:34.105Z
AMAT,Applied Materials,0.45%,346.50,-11.25,-3.15%,2026-03-05T21:30:34.105Z
RTX,RTX Corporation,0.44%,203.65,-5.17,-2.48%,2026-03-05T21:30:34.105Z
LRCX,Lam Research,0.43%,214.66,-8.34,-3.74%,2026-03-05T21:30:34.105Z
PM,Philip Morris International,0.43%,169.88,-9.16,-5.12%,2026-03-05T21:30:34.105Z
UNH,UnitedHealth Group,0.42%,288.63,-3.33,-1.14%,2026-03-05T21:30:34.105Z
MS,Morgan Stanley,0.42%,162.28,-5.30,-3.16%,2026-03-05T21:30:34.105Z
WFC,Wells Fargo,0.41%,81.97,-1.96,-2.33%,2026-03-05T21:30:34.105Z
GS,Goldman Sachs,0.41%,834.50,-32.75,-3.78%,2026-03-05T21:30:34.105Z
IBM,IBM,0.39%,256.65,6.59,2.63%,2026-03-05T21:30:34.105Z
TMUS,T-Mobile US,0.39%,216.91,-2.80,-1.27%,2026-03-05T21:30:34.105Z
MCD,McDonald's,0.38%,327.44,-4.31,-1.30%,2026-03-05T21:30:34.105Z
INTC,Intel,0.37%,45.97,0.39,0.85%,2026-03-05T21:30:34.105Z
LIN,Linde plc,0.37%,489.99,-9.20,-1.84%,2026-03-05T21:30:34.105Z
GEV,GE Vernova,0.36%,815.46,-25.81,-3.07%,2026-03-05T21:30:34.105Z
PEP,PepsiCo,0.36%,160.69,-3.22,-1.97%,2026-03-05T21:30:34.105Z
VZ,Verizon,0.35%,51.19,-0.01,-0.02%,2026-03-05T21:30:34.105Z
AXP,American Express,0.34%,306.82,-4.38,-1.41%,2026-03-05T21:30:34.105Z
T,AT&T,0.33%,28.89,-0.09,-0.33%,2026-03-05T21:30:34.105Z
AMGN,Amgen,0.32%,367.92,-11.35,-2.99%,2026-03-05T21:30:34.105Z
TMO,Thermo Fisher Scientific,0.32%,519.00,6.31,1.23%,2026-03-05T21:30:34.105Z
ABT,Abbott Laboratories,0.31%,110.96,-2.14,-1.89%,2026-03-05T21:30:34.105Z
C,Citigroup,0.31%,108.94,-2.38,-2.13%,2026-03-05T21:30:34.105Z
NEE,NextEra Energy,0.31%,91.07,-1.53,-1.65%,2026-03-05T21:30:34.105Z
CRM,Salesforce,0.31%,201.97,8.89,4.61%,2026-03-05T21:30:34.105Z
KLAC,KLA Corporation,0.30%,1427.67,-48.24,-3.27%,2026-03-05T21:30:34.105Z
DIS,Walt Disney Company (The),0.29%,102.35,-0.69,-0.67%,2026-03-05T21:30:34.105Z
GILD,Gilead Sciences,0.29%,145.15,-3.07,-2.07%,2026-03-05T21:30:34.105Z
TXN,Texas Instruments,0.29%,197.83,-4.56,-2.25%,2026-03-05T21:30:34.105Z
TJX,TJX Companies,0.29%,160.90,-0.83,-0.52%,2026-03-05T21:30:34.105Z
ISRG,Intuitive Surgical,0.29%,496.50,-4.68,-0.93%,2026-03-05T21:30:34.105Z
ANET,Arista Networks,0.28%,138.78,3.95,2.93%,2026-03-05T21:30:34.105Z
BA,Boeing,0.28%,221.28,-6.03,-2.65%,2026-03-05T21:30:34.105Z
APP,AppLovin Corporation,0.28%,508.21,25.40,5.26%,2026-03-05T21:30:34.105Z
SCHW,Charles Schwab Corporation,0.27%,95.41,-0.63,-0.66%,2026-03-05T21:30:34.105Z
APH,Amphenol,0.27%,136.00,3.25,2.45%,2026-03-05T21:30:34.105Z
ADI,Analog Devices,0.26%,327.54,-13.97,-4.09%,2026-03-05T21:30:34.105Z
BLK,BlackRock,0.26%,1030.50,-18.73,-1.79%,2026-03-05T21:30:34.105Z
DE,Deere & Company,0.26%,589.37,-24.67,-4.02%,2026-03-05T21:30:34.105Z
UBER,Uber,0.25%,75.56,-1.09,-1.42%,2026-03-05T21:30:34.105Z
UNP,Union Pacific Corporation,0.25%,260.31,-6.38,-2.39%,2026-03-05T21:30:34.105Z
HON,Honeywell,0.25%,239.88,-6.09,-2.48%,2026-03-05T21:30:34.105Z
PFE,Pfizer,0.24%,26.57,-0.05,-0.19%,2026-03-05T21:30:34.105Z
LMT,Lockheed Martin,0.24%,655.02,-9.46,-1.42%,2026-03-05T21:30:34.105Z
QCOM,Qualcomm,0.24%,136.99,-2.52,-1.81%,2026-03-05T21:30:34.105Z
BKNG,Booking Holdings,0.24%,4599.98,346.40,8.14%,2026-03-05T21:30:34.105Z
WELL,Welltower,0.23%,205.78,-1.07,-0.52%,2026-03-05T21:30:34.105Z
