Name,Last Price,% Diff,Date,Time,Timestamp
ACCIONA,216.0000,-2.35%,05/03/2026,17:35:12,2026-03-05T17:05:34.338Z
ACCIONA ENER,20.1400,-2.71%,05/03/2026,17:35:12,2026-03-05T17:05:34.338Z
ACERINOX,12.6200,-1.48%,05/03/2026,17:35:44,2026-03-05T17:05:34.338Z
ACS,105.4000,-2.23%,05/03/2026,17:39:58,2026-03-05T17:05:34.338Z
AENA,25.4800,-1.66%,05/03/2026,17:37:48,2026-03-05T17:05:34.338Z
AMADEUS,53.7400,1.86%,05/03/2026,17:36:06,2026-03-05T17:05:34.338Z
ARCELORMIT.,49.4100,-6.56%,05/03/2026,17:41:29,2026-03-05T17:05:34.338Z
B.SANTANDER,9.7010,-2.82%,05/03/2026,17:43:55,2026-03-05T17:05:34.338Z
BA.SABADELL,3.0090,-1.54%,05/03/2026,17:37:06,2026-03-05T17:05:34.338Z
BANKINTER,13.4450,-0.70%,05/03/2026,17:35:12,2026-03-05T17:05:34.338Z
BBVA,18.5500,-1.51%,05/03/2026,17:43:41,2026-03-05T17:05:34.338Z
CAIXABANK,10.0450,-0.84%,05/03/2026,17:41:45,2026-03-05T17:05:34.338Z
CELLNEX,29.8600,-1.97%,05/03/2026,17:35:12,2026-03-05T17:05:34.338Z
COLONIAL SFL,5.2800,-0.85%,05/03/2026,17:35:12,2026-03-05T17:05:34.338Z
ENAGAS,14.6500,0.51%,05/03/2026,17:38:16,2026-03-05T17:05:34.338Z
ENDESA,33.0300,-0.78%,05/03/2026,17:37:50,2026-03-05T17:05:34.338Z
FERROVIAL SE,58.0400,-2.62%,05/03/2026,17:39:01,2026-03-05T17:05:34.338Z
FLUIDRA,21.8800,0.18%,05/03/2026,17:35:12,2026-03-05T17:05:34.338Z
GRIFOLS CL.A,10.4100,1.96%,05/03/2026,17:35:13,2026-03-05T17:05:34.338Z
IAG,4.2800,-3.58%,05/03/2026,17:43:02,2026-03-05T17:05:34.338Z
IBERDROLA,19.3000,-0.34%,05/03/2026,17:37:50,2026-03-05T17:05:34.338Z
INDITEX,53.0200,-0.45%,05/03/2026,17:37:50,2026-03-05T17:05:34.338Z
INDRA A,61.8500,-4.11%,05/03/2026,17:42:27,2026-03-05T17:05:34.338Z
LOGISTA,30.5000,-1.49%,05/03/2026,17:40:03,2026-03-05T17:05:34.338Z
MAPFRE,3.6960,-2.01%,05/03/2026,17:35:12,2026-03-05T17:05:34.338Z
MERLIN,14.5000,-0.48%,05/03/2026,17:39:21,2026-03-05T17:05:34.338Z
NATURGY,24.5200,-1.29%,05/03/2026,17:40:53,2026-03-05T17:05:34.338Z
PUIG BRANDS,15.2400,-0.33%,05/03/2026,17:35:15,2026-03-05T17:05:34.338Z
REDEIA,14.8600,0.27%,05/03/2026,17:38:16,2026-03-05T17:05:34.338Z
REPSOL,20.2200,0.55%,05/03/2026,17:44:47,2026-03-05T17:05:34.338Z
ROVI,80.7000,-0.68%,05/03/2026,17:35:12,2026-03-05T17:05:34.338Z
SACYR,4.2040,-1.31%,05/03/2026,17:36:14,2026-03-05T17:05:34.338Z
SOLARIA,19.5750,-1.19%,05/03/2026,17:35:13,2026-03-05T17:05:34.338Z
TELEFONICA,3.5680,-0.97%,05/03/2026,17:42:53,2026-03-05T17:05:34.338Z
UNICAJA,2.5320,-0.94%,05/03/2026,17:35:12,2026-03-05T17:05:34.338Z
