msci_index,last,day,previous_price
USA,39443.795,-0.0021,39526.801282693654
CANADA,24251.531,-0.006500000000000001,24410.197282335175
SWITZERLAND,45466.961,-0.0028000000000000004,45594.62595266747
UNITED KINGDOM,22918.355,0.0028000000000000004,22854.36278420423
JAPAN,22872.541,0.0040999999999999995,22779.146499352657
PACIFIC ex JAPAN,19706.703,0.0052,19604.75825706327
GERMANY,19462.199,0.0066,19334.590701370955
NORDIC COUNTRIES,66821.507,0.0022,66674.82239074037
FRANCE,20632.331,0.0074,20480.773277744687
ITALY,4231.322,0.005600000000000001,4207.758552108194
SPAIN,16020.482,0.0078000000000000005,15896.48938281405
EUROPE,24423.798,0.0036,24336.187724192903
WORLD,28509.256,-0.0008,28532.08166533227
EM (EMERGING MARKETS),1048.343,0.0003,1048.0285914225733
WORLD SMALL CAP,1096.65,-0.0077,1105.159729920387
WORLD ENHANCED VALUE,3964.924,0.0018,3957.7999600718704
WORLD MOMENTUM,7609.7,-0.0089,7678.034507113309
WORLD SECTOR NEUTRAL QUALITY,4504.608,-0.001,4509.117117117117
EUROPE SECTOR NEUTRAL QUALITY,2740.039,0.0027,2732.6608157973474
USA SECTOR NEUTRAL QUALITY,12528.79,-0.004,12579.106425702812
WORLD MINIMUM VOLATILITY (GBP),6681.003,0.0002,6679.667066586682
