msci_index,last,day,previous_price
USA,38879.04,-0.0019,38953.05079651338
CANADA,23598.121,0.0026,23536.924995012967
SWITZERLAND,45424.083,-0.0019,45510.553050796516
UNITED KINGDOM,22581.626,0.013300000000000001,22285.23240896082
JAPAN,22258.589,0.0045000000000000005,22158.874066699853
PACIFIC ex JAPAN,19062.028,0.0029,19006.907966896
GERMANY,18236.247,0.0016,18207.115615015973
NORDIC COUNTRIES,64338.224,0.0018,64222.623278099425
FRANCE,20629.573,0.009300000000000001,20439.485782225303
ITALY,4184.204,0.0097,4144.00713083094
SPAIN,15507.17,0.0105,15346.036615536863
EUROPE,23988.873,0.005699999999999999,23852.911404991548
WORLD,28038.333,-0.0001,28041.13711371137
EM (EMERGING MARKETS),1020.162,0.0004,1019.7540983606558
WORLD SMALL CAP,1084.301,-0.0009,1085.2777499749775
WORLD ENHANCED VALUE,3887.089,0.0037,3872.759788781508
WORLD MOMENTUM,7852.261,0.0016,7839.717452076678
WORLD SECTOR NEUTRAL QUALITY,4435.066,-0.002,4443.953907815631
EUROPE SECTOR NEUTRAL QUALITY,2694.382,0.0055000000000000005,2679.643958229736
USA SECTOR NEUTRAL QUALITY,12358.235,-0.0042,12410.358505724042
WORLD MINIMUM VOLATILITY (GBP),6458.668,0.0003,6456.730980705788
