msci_index,last,day,previous_price
USA,38371.305,-0.0024,38463.61768243785
CANADA,22807.558,-0.0016,22844.10857371795
SWITZERLAND,43586.018,0.0067,43295.93523393265
UNITED KINGDOM,21453.871,-0.0181,21849.344128730012
JAPAN,21821.864,0.0014000000000000002,21791.356101457957
PACIFIC ex JAPAN,18777.045,0.0012,18754.539552536953
GERMANY,17967.952,-0.013600000000000001,18215.685320356857
NORDIC COUNTRIES,63620.898,0.0034999999999999996,63399.00149476831
FRANCE,19687.085,-0.009899999999999999,19883.935966064033
ITALY,3918.644,-0.0116,3964.633751517604
SPAIN,14027.189,-0.0036,14077.869329586512
EUROPE,22843.138,-0.0087,23043.617472006456
WORLD,27493.134,-0.0031,27578.627746012637
EM (EMERGING MARKETS),1025.337,-0.0178,1043.9187538179597
WORLD SMALL CAP,1050.642,-0.0051,1056.027741481556
WORLD ENHANCED VALUE,3659.95,-0.0109,3700.283085633404
WORLD MOMENTUM,7605.127,-0.0138,7711.546339484892
WORLD SECTOR NEUTRAL QUALITY,4300.942,-0.0002,4301.802360472095
EUROPE SECTOR NEUTRAL QUALITY,2585.415,-0.0034999999999999996,2594.4957350727545
USA SECTOR NEUTRAL QUALITY,11972.809,0.0012,11958.45884938074
WORLD MINIMUM VOLATILITY (GBP),6354.433,0.0021,6341.116655024449
