msci_index,last,day,previous_price
USA,38743.912,-0.0049,38934.6919907547
CANADA,23441.11,0.0032,23366.337719298244
SWITZERLAND,44738.868,0.0025,44627.299750623446
UNITED KINGDOM,22070.595,0.0058,21943.323722410023
JAPAN,22560.227,-0.0013,22589.593471512966
PACIFIC ex JAPAN,18715.987,0.0012,18693.554734318815
GERMANY,18438.996,0.0013,18415.05642664536
NORDIC COUNTRIES,64000.649,-0.0038,64244.77916081108
FRANCE,20850.352,0.0084,20676.667988893296
ITALY,4162.221,0.016399999999999998,4095.061983471074
SPAIN,15159.04,0.0103,15004.493714738197
EUROPE,23860.412,0.0034000000000000002,23779.561490930835
WORLD,27948.283,-0.003,28032.380140421265
EM (EMERGING MARKETS),1087.066,0.0074,1079.080802064721
WORLD SMALL CAP,1089.679,-0.0052,1095.374949738641
WORLD ENHANCED VALUE,3928.412,-0.0129,3979.750785128153
WORLD MOMENTUM,8080.181,-0.0124,8181.6332523288775
WORLD SECTOR NEUTRAL QUALITY,4409.393,-0.0022,4419.115053116857
EUROPE SECTOR NEUTRAL QUALITY,2682.664,0.0032,2674.1068580542264
USA SECTOR NEUTRAL QUALITY,12327.308,-0.0059,12400.470777587769
WORLD MINIMUM VOLATILITY (GBP),6402.961,-0.0021,6416.435514580619
