msci_index,last,day,previous_price
USA,39146.042,0.005600000000000001,38928.04494828958
CANADA,23138.362,-0.0027,23201.004712724356
SWITZERLAND,43578.352,-0.0216,44540.42518397383
UNITED KINGDOM,21748.19,-0.0068000000000000005,21897.09021345147
JAPAN,22180.922,-0.0012,22207.57108530236
PACIFIC ex JAPAN,18675.136,-0.0024,18720.064153969524
GERMANY,18613.217,-0.0034000000000000002,18676.71784065824
NORDIC COUNTRIES,64815.728,-0.0103,65490.27786197838
FRANCE,20110.994,-0.0058,20228.31824582579
ITALY,3964.661,-0.0072,3993.4135777598713
SPAIN,14349.883,-0.009899999999999999,14493.367336632664
EUROPE,23290.25,-0.008,23478.074596774193
WORLD,28014.55,0.0025,27944.688279301747
EM (EMERGING MARKETS),1083.297,0.0152,1067.0774231678486
WORLD SMALL CAP,1077.801,-0.0007000000000000001,1078.5559891924347
WORLD ENHANCED VALUE,3951.013,0.009899999999999999,3912.281414001386
WORLD MOMENTUM,7805.279,0.0014000000000000002,7794.366886359097
WORLD SECTOR NEUTRAL QUALITY,4334.436,-0.0002,4335.303060612122
EUROPE SECTOR NEUTRAL QUALITY,2594.519,-0.0128,2628.1594408427877
USA SECTOR NEUTRAL QUALITY,12201.544,0.005,12140.839800995025
WORLD MINIMUM VOLATILITY (GBP),6376.883,0.0017000000000000001,6366.060696815413
