msci_index,last,day,previous_price
USA,38684.619,0.0027,38580.45178019348
CANADA,23786.041,0.006500000000000001,23632.430203676107
SWITZERLAND,45653.271,0.0064,45362.94813195549
UNITED KINGDOM,22723.663,0.0038,22637.63996812114
JAPAN,22342.634,0.0129,22058.08470727614
PACIFIC ex JAPAN,19340.112,0.0127,19097.572825120966
GERMANY,18437.886,0.0116,18226.459074733095
NORDIC COUNTRIES,64489.651,0.0032,64283.942384370006
FRANCE,20599.859,0.0054,20489.21722697434
ITALY,4175.317,0.0069,4146.704737312544
SPAIN,15683.749,0.011000000000000001,15513.10484668645
EUROPE,23955.212,0.0016,23916.944888178914
WORLD,27954.598,0.0034000000000000002,27859.874426948376
EM (EMERGING MARKETS),1019.02,0.011399999999999999,1007.5341111330828
WORLD SMALL CAP,1085.741,0.0067,1078.5149498360981
WORLD ENHANCED VALUE,3892.299,0.0074,3863.7075640262055
WORLD MOMENTUM,7652.117,-0.0109,7736.444242240421
WORLD SECTOR NEUTRAL QUALITY,4441.215,0.0024,4430.58160415004
EUROPE SECTOR NEUTRAL QUALITY,2693.828,-0.0009,2696.2546291662497
USA SECTOR NEUTRAL QUALITY,12424.023,0.0040999999999999995,12373.292500746937
WORLD MINIMUM VOLATILITY (GBP),6583.099,0.0102,6516.629380320729
