msci_index,last,day,previous_price
USA,36747.697,0.0011,36707.318949155924
CANADA,22628.746,-0.0049,22740.172846950056
SWITZERLAND,42408.653,-0.008,42750.65826612903
UNITED KINGDOM,21748.229,0.0001,21746.054394560542
JAPAN,21010.185,0.0023,20961.972463334332
PACIFIC ex JAPAN,18462.96,0.0017000000000000001,18431.626235399817
GERMANY,17787.648,-0.0137,18034.72371489405
NORDIC COUNTRIES,62998.512,-0.0048,63302.36334405145
FRANCE,19453.016,-0.016,19769.325203252032
ITALY,3770.895,-0.0182,3840.797514768792
SPAIN,13681.147,-0.0258,14043.468486963664
EUROPE,22489.802,-0.009899999999999999,22714.677305322693
WORLD,26505.957,-0.0007000000000000001,26524.524166916843
EM (EMERGING MARKETS),996.928,0.0349,963.3085322253359
WORLD SMALL CAP,1032.406,0.0007000000000000001,1031.6838213250726
WORLD ENHANCED VALUE,3413.134,0.0023,3405.301805846553
WORLD MOMENTUM,7179.249,0.0009,7172.793485862724
WORLD SECTOR NEUTRAL QUALITY,4163.282,-0.0021,4172.043290910913
WORLD MINIMUM VOLATILITY (GBP),6251.305,0.0008,6246.3079536370915
