msci_index,last,day,previous_price
USA,38433.694,0.0235,37551.23986321446
CANADA,23140.096,0.0131,22840.880465896753
SWITZERLAND,43949.441,0.0068000000000000005,43652.60329757648
UNITED KINGDOM,21697.743,0.0052,21585.498408276955
JAPAN,21605.71,0.002,21562.58483033932
PACIFIC ex JAPAN,18164.39,0.0037,18097.42951081
GERMANY,17949.523,0.003,17895.835493519444
NORDIC COUNTRIES,63339.739,0.002,63213.3123752495
FRANCE,20253.13,0.0075,20102.36228287841
ITALY,4000.183,0.0097,3961.7539863325737
SPAIN,14413.844,0.0101,14269.719829719828
EUROPE,23316.87,0.0085,23120.347050074368
WORLD,27585.511,0.0191,27068.502600333628
EM (EMERGING MARKETS),1026.623,0.0045000000000000005,1022.0238924838229
WORLD SMALL CAP,1078.426,0.0242,1052.9447373559851
WORLD ENHANCED VALUE,3877.989,0.0276,3773.8312572985596
WORLD MOMENTUM,7885.94,0.04,7582.634615384614
WORLD SECTOR NEUTRAL QUALITY,4368.972,0.018600000000000002,4289.193010013744
EUROPE SECTOR NEUTRAL QUALITY,2638.164,0.0096,2613.0784469096675
USA SECTOR NEUTRAL QUALITY,12304.934,0.022799999999999997,12030.635510363707
WORLD MINIMUM VOLATILITY (GBP),6409.651,0.0073,6363.199642608954
