msci_index,last,day,previous_price
USA,39817.55,-0.0027,39925.348440790134
CANADA,24210.781,0.0,24210.781
SWITZERLAND,46360.662,0.0017000000000000001,46281.9826295298
UNITED KINGDOM,22938.981,-0.0037,23024.170430593196
JAPAN,22907.269,-0.0007000000000000001,22923.31532072451
PACIFIC ex JAPAN,19621.531,-0.004699999999999999,19714.187682105898
GERMANY,19136.81,-0.0027,19188.619272034495
NORDIC COUNTRIES,65488.334,-0.0029,65678.80252732926
FRANCE,21368.684,-0.0017000000000000001,21405.072623459884
ITALY,4299.919,-0.0034999999999999996,4315.0215755143
SPAIN,16064.857,-0.0025,16105.119799498745
EUROPE,24538.234,-0.0019,24584.945396252882
WORLD,28723.504,-0.0024,28792.60625501203
EM (EMERGING MARKETS),1019.777,0.0051,1014.6025271117301
WORLD SMALL CAP,1099.609,-0.0058,1106.0239388453026
WORLD ENHANCED VALUE,3910.954,-0.006,3934.5613682092558
WORLD MOMENTUM,7686.953,-0.0042,7719.374372363929
WORLD SECTOR NEUTRAL QUALITY,4534.438,-0.0006,4537.160296177707
EUROPE SECTOR NEUTRAL QUALITY,2739.529,-0.0014000000000000002,2743.369717604646
USA SECTOR NEUTRAL QUALITY,12698.933,-0.0023,12728.207878119676
WORLD MINIMUM VOLATILITY (GBP),6649.79,-0.0033,6671.8069629778265
