msci_index,last,day,previous_price
USA,39168.442,0.005699999999999999,38946.447250671175
CANADA,23124.339,0.0012,23096.623052337192
SWITZERLAND,46009.751,-0.0017000000000000001,46088.10077131123
UNITED KINGDOM,22067.501,0.001,22045.455544455548
JAPAN,22482.347,-0.0008,22500.34727782226
PACIFIC ex JAPAN,18439.465,-0.0025,18485.679197994985
GERMANY,18361.702,0.013500000000000002,18117.120868278245
NORDIC COUNTRIES,64295.991,0.0097,63678.311379617706
FRANCE,20742.296,0.005,20639.100497512438
ITALY,4103.783,0.0086,4068.791394011502
SPAIN,15462.537,0.0048,15388.671377388537
EUROPE,24067.433,0.008199999999999999,23871.685181511606
WORLD,28177.723,0.0054,28026.380545056694
EM (EMERGING MARKETS),1068.421,0.0076,1060.3622469233824
WORLD SMALL CAP,1113.274,0.0045000000000000005,1108.2867098058734
WORLD ENHANCED VALUE,3958.723,-0.0024,3968.2467923015233
WORLD MOMENTUM,8447.88,0.0149,8323.854566952408
WORLD SECTOR NEUTRAL QUALITY,4476.322,0.0089,4436.834175835068
EUROPE SECTOR NEUTRAL QUALITY,2720.839,0.0088,2697.1044805709757
USA SECTOR NEUTRAL QUALITY,12595.539,0.009000000000000001,12483.190287413283
WORLD MINIMUM VOLATILITY (GBP),6454.236,-0.0023,6469.114964418161
