msci_index,last,day,previous_price
USA,38398.333,0.0034000000000000002,38268.22104843531
CANADA,23130.527,0.0062,22988.001391373484
SWITZERLAND,43992.719,0.0021,43900.527891428
UNITED KINGDOM,21977.769,0.0021,21931.7124039517
JAPAN,21664.588,0.0178,21285.7024955787
PACIFIC ex JAPAN,18635.559,0.009399999999999999,18462.016049138103
GERMANY,18348.963,-0.0034999999999999996,18413.4099347717
NORDIC COUNTRIES,64865.944,0.0103,64204.636246659415
FRANCE,19902.801,-0.0040999999999999995,19984.738427552966
ITALY,3932.243,0.0003,3931.0636808957315
SPAIN,14209.086,-0.0051,14281.923811438335
EUROPE,23222.877,0.0016,23185.779752396167
WORLD,27575.501,0.0042,27460.168293168692
EM (EMERGING MARKETS),1025.098,0.0253,999.8029844923435
WORLD SMALL CAP,1055.684,0.0083,1046.9939502132302
WORLD ENHANCED VALUE,3714.946,0.0132,3666.5475720489535
WORLD MOMENTUM,7636.942,0.011899999999999999,7547.131139440656
WORLD SECTOR NEUTRAL QUALITY,4318.652,0.0034000000000000002,4304.018337651983
EUROPE SECTOR NEUTRAL QUALITY,2621.972,0.0019,2616.9997005689193
USA SECTOR NEUTRAL QUALITY,12044.789,0.0043,11993.218161903815
WORLD MINIMUM VOLATILITY (GBP),6406.656,0.0015,6397.060409385921
