msci_index,last,day,previous_price
USA,40095.525,0.0062,39848.46451997615
CANADA,24448.901,0.0025,24387.931172069828
SWITZERLAND,45804.517,0.0021,45708.52908891328
UNITED KINGDOM,22806.266,-0.0024,22861.13271852446
JAPAN,23339.519,0.0096,23117.590134706814
PACIFIC ex JAPAN,19592.134,-0.0005,19601.93496748374
GERMANY,19124.002,-0.001,19143.145145145147
NORDIC COUNTRIES,65531.617,0.0002,65518.513297340534
FRANCE,21197.981,-0.0027,21255.37050035095
ITALY,4302.46,0.0,4302.46
SPAIN,16074.121,-0.0017000000000000001,16101.493539016328
EUROPE,24530.258,0.0007000000000000001,24513.09883081843
WORLD,28908.218,0.0052,28758.67290091524
EM (EMERGING MARKETS),1036.461,0.008100000000000001,1028.1331217141158
WORLD SMALL CAP,1115.949,0.0063,1108.9625360230548
WORLD ENHANCED VALUE,3991.336,0.0101,3951.426591426591
WORLD MOMENTUM,7885.071,0.0053,7843.5004476275735
WORLD SECTOR NEUTRAL QUALITY,4559.88,0.006500000000000001,4530.43219076006
EUROPE SECTOR NEUTRAL QUALITY,2735.025,0.0016,2730.655950479233
USA SECTOR NEUTRAL QUALITY,12786.349,0.0073,12693.685098778913
WORLD MINIMUM VOLATILITY (GBP),6677.863,0.004,6651.25796812749
