Index,Source,Total,Up,Down,Unchanged,Unknown,InputFile,DateUK,Timestamp
CAC 40,Euronext,40,29,11,0,0,cac40-constituents-260828.json,2026-08-28,2026-08-28T21:52:00.768Z
DAX,MarketScreener,39,29,10,0,0,dax_ms-constituents-260828.json,2026-08-28,2026-08-28T21:52:00.768Z
FTSE 100,LSE,100,61,34,0,5,ftse100-lse-constituents-260828.json,2026-08-28,2026-08-28T21:52:00.768Z
IBEX 35,BME Exchange,35,22,12,0,1,ibex35-constituents-260828.json,2026-08-28,2026-08-28T21:52:00.768Z
S&P 500,Barchart (Download),500,226,272,0,2,sp500-barchart-download-components-260828.json,2026-08-28,2026-08-28T21:52:00.768Z
Nasdaq,TradingView (tvDatafeed),3120,1007,2023,90,0,nasdaq-breadth-tv-260828.json,2026-08-28,2026-08-28T21:52:00.768Z
NYSE,TradingView (tvDatafeed),1837,789,1048,0,0,nyse-breadth-tv-260828.json,2026-08-28,2026-08-28T21:52:00.768Z
TSX,TradingView (tvDatafeed),2304,811,1364,129,0,tsx-breadth-tv-260828.json,2026-08-28,2026-08-28T21:52:00.768Z
