System,Date,IndexPrice,ETFPrice,Indicator,Signal,RawWeight,VolScale,FinalWeight,Position,DeltaPosition,NAV,Drawdown
NDX,2026-06-11,28853.78,52883.9,0.32,2,0,0.49,0,0,0,40.41,-0.023
SPX,2026-06-11,7306.91,5456.25,0.32,5,0.9,0.46,0.41,0.59,0,14.3,-0.019
TSX,2026-06-11,34494.62,22458,,5,1,0.38,0.38,0.17,0,3.38,-0.01
