msci_index,last,day,previous_price
USA,39328.12,-0.0060999999999999995,39569.4939128685
CANADA,24192.377,-0.0104,24446.62186742118
SWITZERLAND,44461.122,-0.0116,44982.923917442335
UNITED KINGDOM,22931.93,-0.0012,22959.481377653185
JAPAN,23340.391,-0.0171,23746.455387119746
PACIFIC ex JAPAN,19658.97,-0.0088,19833.504842615013
GERMANY,19081.453,-0.0013,19106.291178532094
NORDIC COUNTRIES,66658.337,0.0009,66598.39844140275
FRANCE,20470.981,0.0014000000000000002,20442.361693628918
ITALY,4196.172,-0.0003,4197.43122936881
SPAIN,16070.995,-0.0009,16085.47192473226
EUROPE,24279.179,-0.0011,24305.91550705776
WORLD,28452.761,-0.0062,28630.268665727508
EM (EMERGING MARKETS),1068.707,-0.0031,1072.0302939111245
WORLD SMALL CAP,1093.588,-0.0078000000000000005,1102.1850433380366
WORLD ENHANCED VALUE,4037.755,-0.0096,4076.89317447496
WORLD MOMENTUM,7821.937,0.004699999999999999,7785.345874390366
WORLD SECTOR NEUTRAL QUALITY,4454.096,-0.009000000000000001,4494.546922300706
EUROPE SECTOR NEUTRAL QUALITY,2701.826,-0.0032,2710.499598715891
USA SECTOR NEUTRAL QUALITY,12387.572,-0.0088,12497.550443906377
WORLD MINIMUM VOLATILITY (GBP),6609.118,-0.008,6662.417338709678
