Name,Capi. USD,Change,5d. change,Varia. Jan 1.,Timestamp
SAP SE,224B,+1.15%,+0.36%,-19.66%,2026-03-04T17:15:19.064Z
SIEMENS AG,204B,+2.85%,-4.59%,-2.61%,2026-03-04T17:15:19.064Z
DEUTSCHE TELEKOM AG,183B,+1.16%,-1.96%,+19.31%,2026-03-04T17:15:19.064Z
AIRBUS SE,160B,+1.01%,-3.95%,-10.69%,2026-03-04T17:15:19.064Z
ALLIANZ SE,157B,+1.01%,-5.90%,-8.07%,2026-03-04T17:15:19.064Z
SIEMENS ENERGY AG,154B,+4.73%,-3.93%,+35.17%,2026-03-04T17:15:19.064Z
RHEINMETALL AG,84.06B,+3.70%,-2.59%,+4.96%,2026-03-04T17:15:19.064Z
MUNICH RE,77.46B,+1.91%,-3.26%,-4.91%,2026-03-04T17:15:19.064Z
INFINEON TECHNOLOGIES AG,62.91B,+5.43%,-6.65%,+16.47%,2026-03-04T17:15:19.064Z
DEUTSCHE BANK AG,61.75B,+2.22%,-6.50%,-13.59%,2026-03-04T17:15:19.064Z
MERCEDES-BENZ GROUP AG,61.48B,+1.40%,-4.19%,-5.91%,2026-03-04T17:15:19.064Z
MERCK KGAA,61.18B,+1.40%,-2.19%,+0.37%,2026-03-04T17:15:19.064Z
BMW AG,58.95B,+0.15%,-6.22%,-11.27%,2026-03-04T17:15:19.064Z
DHL GROUP,57.96B,+2.93%,-2.67%,+2.97%,2026-03-04T17:15:19.064Z
EON SE,56.59B,+1.07%,-2.68%,+17.05%,2026-03-04T17:15:19.064Z
VOLKSWAGEN AG,54.64B,+0.92%,-5.50%,-8.80%,2026-03-04T17:15:19.064Z
SIEMENS HEALTHINEERS AG,51.84B,+3.34%,-0.79%,-7.81%,2026-03-04T17:15:19.064Z
DEUTSCHE B&Ouml;RSE AG,50.62B,+1.05%,+10.11%,+7.60%,2026-03-04T17:15:19.064Z
BASF SE,46.32B,+1.58%,-5.68%,+3.87%,2026-03-04T17:15:19.064Z
RWE AG,43.86B,+0.26%,-1.88%,+17.85%,2026-03-04T17:15:19.064Z
BAYER AG,43.64B,-2.38%,-12.18%,+1.05%,2026-03-04T17:15:19.064Z
COMMERZBANK AG,40.02B,+1.39%,-10.58%,-11.08%,2026-03-04T17:15:19.064Z
HEIDELBERG MATERIALS AG,36.87B,+1.25%,-8.70%,-18.16%,2026-03-04T17:15:19.064Z
DAIMLER TRUCK HOLDING AG,35.35B,+5.52%,-0.40%,+12.59%,2026-03-04T17:15:19.064Z
HENKEL AG & CO. KGAA,34.69B,0.00%,-7.28%,+10.98%,2026-03-04T17:15:19.064Z
HANNOVER RE,34.56B,+1.70%,-0.63%,-5.56%,2026-03-04T17:15:19.064Z
FRESENIUS SE & CO. KGAA,31.49B,-0.06%,-5.71%,-1.63%,2026-03-04T17:15:19.064Z
ADIDAS AG,30.18B,-3.60%,-10.54%,-16.12%,2026-03-04T17:15:19.064Z
VONOVIA SE,26.28B,-1.24%,-5.75%,+7.54%,2026-03-04T17:15:19.064Z
MTU AERO ENGINES AG,21.67B,+2.45%,-6.69%,+0.17%,2026-03-04T17:15:19.064Z
BEIERSDORF,21.2B,+0.07%,-20.76%,-10.63%,2026-03-04T17:15:19.064Z
CONTINENTAL AG,15.6B,-0.45%,-10.41%,-1.47%,2026-03-04T17:15:19.064Z
FRESENIUS MEDICAL CARE AG,12.6B,-0.91%,+2.38%,-3.95%,2026-03-04T17:15:19.064Z
PORSCHE AUTOMOBIL HOLDING SE,12.03B,+0.94%,-4.84%,-14.33%,2026-03-04T17:15:19.064Z
SYMRISE AG,11.82B,-3.09%,-6.58%,+2.99%,2026-03-04T17:15:19.064Z
GEA GROUP AG,11.76B,+0.88%,-3.90%,+8.74%,2026-03-04T17:15:19.064Z
QIAGEN N.V.,9.82B,-0.76%,-2.74%,-0.10%,2026-03-04T17:15:19.064Z
BRENNTAG SE,8.23B,-4.33%,-9.52%,-5.06%,2026-03-04T17:15:19.064Z
ZALANDO SE,5.67B,+2.64%,-4.03%,-22.40%,2026-03-04T17:15:19.064Z
SCOUT24 SE,5.65B,+2.97%,+2.53%,-17.19%,2026-03-04T17:15:19.064Z
