Code,Name,Currency,Market cap (m),Price,Change,Change %,Timestamp
BT.A,BT GROUP PLC ORD 5P,GBX,"20,832.37",206.50,-2.50,-1.20%,2026-03-04T22:14:56.748Z
RKT,RECKITT BENCKISER GROUP PLC ORD 10 5/12P,GBX,"39,536.17","6,050.00",-80.00,-1.31%,2026-03-04T22:14:56.748Z
CCEP,COCA-COLA EUROPACIFIC PARTNERS PLC ORD EUR0.01 (DI),GBX,"35,343.47","7,760.00",-110.00,-1.40%,2026-03-04T22:14:56.748Z
BNZL,BUNZL PLC ORD 32 1/7P,GBX,"7,184.53","2,184.00",-32.00,-1.44%,2026-03-04T22:14:56.748Z
PSN,PERSIMMON PLC ORD 10P,GBX,"4,407.07","1,354.00",-20.00,-1.46%,2026-03-04T22:14:56.748Z
SHEL,SHELL PLC ORD EUR0.07,GBX,"176,281.38","3,063.50",-49.50,-1.59%,2026-03-04T22:14:56.748Z
SGE,THE SAGE GROUP PLC ORD 1 4/77P,GBX,"7,948.60",833.40,-14.00,-1.65%,2026-03-04T22:14:56.748Z
HWDN,HOWDEN JOINERY GROUP PLC ORD 10P,GBX,"4,889.07",892.00,-15.00,-1.65%,2026-03-04T22:14:56.748Z
REL,RELX PLC ORD 14 51/116P,GBX,"46,817.22","2,553.00",-43.00,-1.66%,2026-03-04T22:14:56.748Z
SN.,SMITH & NEPHEW PLC ORD USD0.20,GBX,"11,558.49","1,336.00",-24.00,-1.76%,2026-03-04T22:14:56.748Z
BP.,BP PLC $0.25,GBX,"77,428.37",481.25,-11.75,-2.38%,2026-03-04T22:14:56.748Z
DGE,DIAGEO PLC ORD 28 101/108P,GBX,"34,843.98","1,520.00",-45.00,-2.88%,2026-03-04T22:14:56.748Z
BTRW,BARRATT REDROW PLC ORD 10P,GBX,"4,823.88",329.10,-10.40,-3.06%,2026-03-04T22:14:56.748Z
WEIR,WEIR GROUP PLC ORD 12.5P,GBX,"8,832.00","3,040.00",-362.00,-10.64%,2026-03-04T22:14:56.748Z
