Name,Last Price,% Diff,Date,Time,Timestamp
ACCIONA,221.2000,1.75%,04/03/2026,17:35:32,2026-03-04T17:15:28.440Z
ACCIONA ENER,20.7000,4.23%,04/03/2026,17:35:24,2026-03-04T17:15:28.440Z
ACERINOX,12.8100,5.35%,04/03/2026,17:35:24,2026-03-04T17:15:28.440Z
ACS,107.8000,2.76%,04/03/2026,17:35:24,2026-03-04T17:15:28.440Z
AENA,25.9100,1.81%,04/03/2026,17:35:27,2026-03-04T17:15:28.440Z
AMADEUS,52.7600,5.56%,04/03/2026,17:35:24,2026-03-04T17:15:28.440Z
ARCELORMIT.,52.8800,4.96%,04/03/2026,17:35:24,2026-03-04T17:15:28.440Z
B.SANTANDER,9.9820,3.88%,04/03/2026,17:44:12,2026-03-04T17:15:28.440Z
BA.SABADELL,3.0560,1.33%,04/03/2026,17:38:10,2026-03-04T17:15:28.440Z
BANKINTER,13.5400,0.63%,04/03/2026,17:38:10,2026-03-04T17:15:28.440Z
BBVA,18.8350,4.26%,04/03/2026,17:40:59,2026-03-04T17:15:28.440Z
CAIXABANK,10.1300,1.46%,04/03/2026,17:39:26,2026-03-04T17:15:28.440Z
CELLNEX,30.4600,0.49%,04/03/2026,17:39:01,2026-03-04T17:15:28.440Z
COLONIAL SFL,5.3250,1.43%,04/03/2026,17:36:18,2026-03-04T17:15:28.440Z
ENAGAS,14.5750,-0.72%,04/03/2026,17:35:24,2026-03-04T17:15:28.440Z
ENDESA,33.2900,2.05%,04/03/2026,17:35:24,2026-03-04T17:15:28.440Z
FERROVIAL SE,59.6000,0.07%,04/03/2026,17:35:24,2026-03-04T17:15:28.440Z
FLUIDRA,21.8400,0.74%,04/03/2026,17:39:27,2026-03-04T17:15:28.440Z
GRIFOLS CL.A,10.2100,2.39%,04/03/2026,17:35:28,2026-03-04T17:15:28.440Z
IAG,4.4390,4.32%,04/03/2026,17:37:50,2026-03-04T17:15:28.440Z
IBERDROLA,19.3650,1.57%,04/03/2026,17:42:01,2026-03-04T17:15:28.440Z
INDITEX,53.2600,3.02%,04/03/2026,17:35:24,2026-03-04T17:15:28.440Z
INDRA A,64.5000,5.22%,04/03/2026,17:40:41,2026-03-04T17:15:28.440Z
LOGISTA,30.9600,1.31%,04/03/2026,17:35:24,2026-03-04T17:15:28.440Z
MAPFRE,3.7720,2.17%,04/03/2026,17:35:24,2026-03-04T17:15:28.440Z
MERLIN,14.5700,3.11%,04/03/2026,17:35:24,2026-03-04T17:15:28.440Z
NATURGY,24.8400,0.24%,04/03/2026,17:43:45,2026-03-04T17:15:28.440Z
PUIG BRANDS,15.2900,2.62%,04/03/2026,17:35:24,2026-03-04T17:15:28.440Z
REDEIA,14.8200,-0.20%,04/03/2026,17:35:24,2026-03-04T17:15:28.440Z
REPSOL,20.1100,-2.85%,04/03/2026,17:39:24,2026-03-04T17:15:28.440Z
ROVI,81.2500,-0.31%,04/03/2026,17:42:32,2026-03-04T17:15:28.440Z
SACYR,4.2600,1.91%,04/03/2026,17:36:09,2026-03-04T17:15:28.440Z
SOLARIA,19.8100,4.90%,04/03/2026,17:38:53,2026-03-04T17:15:28.440Z
TELEFONICA,3.6030,1.12%,04/03/2026,17:35:24,2026-03-04T17:15:28.440Z
UNICAJA,2.5560,2.82%,04/03/2026,17:35:24,2026-03-04T17:15:28.440Z
