Ticker,Name,Price,Change,% Change,Volume,Time,Timestamp
AV/:LN,Aviva PLC,667.4,+15.80,+2.42%,7.234 M,11:37 AM,2026-03-04T17:27:56.756Z
BATS:LN,British American Tobacco PLC,4527,+63.00,+1.41%,2.661 M,11:37 AM,2026-03-04T17:27:56.756Z
CNA:LN,Centrica PLC,193.05,+0.80,+0.42%,10.532 M,11:38 AM,2026-03-04T17:27:56.756Z
BBOX:LN,Tritax Big Box REIT PLC,168.2,+3.10,+1.88%,9.649 M,11:35 AM,2026-03-04T17:27:56.756Z
AZN:LN,AstraZeneca PLC,15088,+156.00,+1.04%,1.517 M,11:37 AM,2026-03-04T17:27:56.756Z
BNZL:LN,Bunzl PLC,2184,-32.00,-1.44%,1.335 M,11:35 AM,2026-03-04T17:27:56.756Z
BT/A:LN,BT Group PLC,206.5,-2.50,-1.20%,9.848 M,11:35 AM,2026-03-04T17:27:56.756Z
BRBY:LN,Burberry Group PLC,1090,+16.50,+1.54%,842.829 K,11:38 AM,2026-03-04T17:27:56.756Z
ADM:LN,Admiral Group PLC,2860,-22.00,-0.76%,724.707 K,11:35 AM,2026-03-04T17:27:56.756Z
BEZ:LN,Beazley PLC,1289,-1.00,-0.08%,9.598 M,11:38 AM,2026-03-04T17:27:56.756Z
BAB:LN,Babcock International Group PLC,1400,+20.00,+1.45%,1.275 M,11:38 AM,2026-03-04T17:27:56.756Z
BARC:LN,Barclays PLC,430.6,+8.05,+1.91%,40.394 M,11:38 AM,2026-03-04T17:27:56.756Z
BA/:LN,BAE Systems PLC,2269,+49.00,+2.21%,6.647 M,11:38 AM,2026-03-04T17:27:56.756Z
CCH:LN,Coca-Cola HBC AG,4566,-30.00,-0.65%,396.894 K,11:35 AM,2026-03-04T17:27:56.756Z
AUTO:LN,Autotrader Group PLC,472.1,-2.40,-0.51%,6.413 M,11:35 AM,2026-03-04T17:27:56.756Z
BLND:LN,British Land Co PLC/The,389,+6.60,+1.73%,2.769 M,11:38 AM,2026-03-04T17:27:56.756Z
ANTO:LN,Antofagasta PLC,4045,+130.00,+3.32%,886.193 K,11:35 AM,2026-03-04T17:27:56.756Z
AAF:LN,Airtel Africa PLC,360,+7.40,+2.10%,3.199 M,11:35 AM,2026-03-04T17:27:56.756Z
ALW:LN,Alliance Witan PLC,1262,+20.00,+1.61%,1.09 M,11:38 AM,2026-03-04T17:27:56.756Z
