Name,Bid/Ask,Last,% Change,Date/Time,Turnover,Market Cap,YTD%,Timestamp
ACCOR,45.11/45.60,EUR45.45,4.32%,17:39 CET,"58,209,848.18","10,667M",-9.64%,2026-03-04T17:16:03.626Z
AIR LIQUIDE,172.36/173.50,EUR172.36,-0.77%,17:38 CET,"183,225,559.28","99,847M",8.39%,2026-03-04T17:16:03.626Z
AIRBUS,177.18/177.20,EUR177.20,1.02%,17:35 CET,"237,345,247.09","140,393M",-11.58%,2026-03-04T17:16:03.626Z
ARCELORMITTAL SA,52.74/53.32,EUR52.90,5.00%,17:35 CET,"151,553,638.64","40,998M",28.88%,2026-03-04T17:16:03.626Z
AXA,38.75/39.23,EUR38.76,-0.51%,17:39 CET,"227,661,586.63","81,033M",-4.88%,2026-03-04T17:16:03.626Z
BNP PARIBAS ACT.A,89.20/90.30,EUR89.32,1.14%,17:39 CET,"234,384,678.65","98,395M",9.31%,2026-03-04T17:16:03.626Z
BOUYGUES,50.20/50.80,EUR50.22,-1.53%,17:35 CET,"45,916,374.57","19,351M",14.99%,2026-03-04T17:16:03.626Z
BUREAU VERITAS,28.92/29.10,EUR29.04,2.25%,17:35 CET,"41,557,379.77","13,180M",4.49%,2026-03-04T17:16:03.626Z
CAPGEMINI,106.00/107.20,EUR107.10,0.28%,17:35 CET,"75,920,107.63","18,199M",-24.92%,2026-03-04T17:16:03.626Z
CARREFOUR,15.18/15.50,EUR15.22,-0.39%,17:35 CET,"41,780,153.44","11,207M",7.38%,2026-03-04T17:16:03.626Z
CREDIT AGRICOLE,17.55/17.70,EUR17.60,0.11%,17:38 CET,"76,026,951.18","53,256M",0.17%,2026-03-04T17:16:03.626Z
DANONE,70.60/72.00,EUR70.94,1.43%,17:35 CET,"127,593,171.73","48,338M",-8.91%,2026-03-04T17:16:03.626Z
DASSAULT SYSTEMES,18.17/18.18,EUR18.18,-0.87%,17:35 CET,"70,423,923.39","24,381M",-23.09%,2026-03-04T17:16:03.626Z
EIFFAGE,140.20/141.00,EUR140.35,0.36%,17:35 CET,"39,597,469.50","13,754M",14.26%,2026-03-04T17:16:03.626Z
ENGIE,27.25/27.60,EUR27.26,0.93%,17:36 CET,"256,577,714.60","69,307M",20.53%,2026-03-04T17:16:03.626Z
ESSILORLUXOTTICA,219.10/222.30,EUR219.30,2.29%,17:35 CET,"212,590,857.60","101,599M",-20.56%,2026-03-04T17:16:03.626Z
EUROFINS SCIENT.,65.66/68.48,EUR66.84,1.09%,17:35 CET,"15,651,246.22","12,176M",5.96%,2026-03-04T17:16:03.626Z
EURONEXT,138.00/141.00,EUR139.20,1.02%,17:37 CET,"51,449,559.30","14,434M",7.66%,2026-03-04T17:16:03.626Z
HERMES INTL,"1,918.00/1,948.00","EUR1,930.00",1.71%,17:35 CET,"110,610,648.75","203,749M",-10.58%,2026-03-04T17:16:03.626Z
KERING,254.15/260.00,EUR256.90,1.04%,17:38 CET,"66,546,621.40","31,707M",-15.53%,2026-03-04T17:16:03.626Z
L'OREAL,371.90/375.00,EUR374.30,2.90%,17:38 CET,"156,774,467.48","199,795M",-0.78%,2026-03-04T17:16:03.626Z
LEGRAND,141.50/145.00,EUR141.60,0.00%,17:35 CET,"101,534,429.93","37,134M",11.28%,2026-03-04T17:16:03.626Z
LVMH,507.00/510.00,EUR507.40,1.04%,17:38 CET,"275,009,032.65","252,526M",-22.14%,2026-03-04T17:16:03.626Z
MICHELIN,31.90/32.25,EUR31.92,0.89%,17:35 CET,"51,179,149.94","21,948M",11.76%,2026-03-04T17:16:03.626Z
ORANGE,17.61/17.74,EUR17.65,-0.93%,17:37 CET,"62,814,183.65","46,937M",25.42%,2026-03-04T17:16:03.626Z
PERNOD RICARD,72.64/72.88,EUR72.64,-3.04%,17:35 CET,"70,429,092.59","18,325M",2.49%,2026-03-04T17:16:03.626Z
PUBLICIS GROUPE SA,73.50/75.00,EUR74.10,0.93%,17:35 CET,"48,245,791.21","18,845M",-17.15%,2026-03-04T17:16:03.626Z
RENAULT,29.00/29.16,EUR29.01,-1.23%,17:35 CET,"68,382,895.78","8,579M",-17.08%,2026-03-04T17:16:03.626Z
SAFRAN,326.50/327.30,EUR327.00,1.71%,17:38 CET,"161,355,564.80","136,799M",8.10%,2026-03-04T17:16:03.626Z
SAINT GOBAIN,77.12/78.06,EUR77.16,-1.18%,17:35 CET,"167,879,547.46","38,181M",-10.21%,2026-03-04T17:16:03.626Z
SANOFI,79.20/79.99,EUR79.23,-0.79%,17:38 CET,"181,695,833.50","96,621M",-3.46%,2026-03-04T17:16:03.626Z
SCHNEIDER ELECTRIC,257.60/261.00,EUR258.05,1.78%,17:38 CET,"253,738,232.30","148,926M",7.94%,2026-03-04T17:16:03.626Z
SOCIETE GENERALE,70.00/70.90,EUR70.38,3.84%,17:39 CET,"238,554,783.12","52,906M",-1.37%,2026-03-04T17:16:03.626Z
STELLANTIS NV,6.48/6.56,EUR6.50,4.91%,17:35 CET,"32,997,870.64","18,863M",-34.13%,2026-03-04T17:16:03.626Z
STMICROELECTRONICS,27.75/27.75,EUR27.75,2.31%,17:35 CET,"60,179,039.58","25,284M",20.86%,2026-03-04T17:16:03.626Z
THALES,250.50/251.50,EUR250.70,0.44%,17:39 CET,"116,357,249.40","51,630M",8.62%,2026-03-04T17:16:03.626Z
TOTALENERGIES,66.80/67.00,EUR66.86,-1.82%,17:39 CET,"490,904,849.39","146,316M",22.50%,2026-03-04T17:16:03.626Z
UNIBAIL-RODAMCO-WE,98.80/100.00,EUR99.34,1.20%,17:35 CET,"32,097,588.53","14,239M",5.82%,2026-03-04T17:16:03.626Z
VEOLIA ENVIRON.,33.40/33.52,EUR33.43,0.54%,17:36 CET,"55,490,320.66","24,796M",11.88%,2026-03-04T17:16:03.626Z
VINCI,133.90/135.00,EUR134.15,0.68%,17:35 CET,"133,568,072.45","78,110M",11.00%,2026-03-04T17:16:03.626Z
