Name,Last Price,Volume,+/-,Timestamp
SAP SE,167.70,409.18 m,1.34,04/03/26 17:40
adidas AG,142.00,408.89 m,-3.47,04/03/26 17:56
Siemens AG,233.35,354.47 m,3.05,04/03/26 17:56
Rheinmetall AG,"1,645.00",353.38 m,4.11,04/03/26 17:57
Siemens Energy AG,162.75,351.94 m,4.73,04/03/26 17:58
Bayer AG,37.52,337.06 m,-2.08,04/03/26 17:56
Allianz SE,359.90,299.67 m,1.27,04/03/26 17:59
Infineon Technologies AG,43.82,230.09 m,5.13,04/03/26 17:47
Deutsche Bank AG,28.57,207.39 m,2.05,04/03/26 17:56
BASF SE,46.08,186.72 m,1.43,04/03/26 17:48
Deutsche Telekom AG,33.12,185.01 m,1.53,04/03/26 17:58
Deutsche Börse AG,240.50,175.70 m,0.97,04/03/26 17:53
Münchener Rück AG,537.80,149.99 m,2.52,04/03/26 17:45
Mercedes Benz Group AG (former Daimler),56.75,122.08 m,1.81,04/03/26 17:57
Commerzbank AG,32.32,118.48 m,2.08,04/03/26 17:59
Heidelberg Materials AG,182.50,110.99 m,1.25,04/03/26 17:45
DHL Aktie (Deutsche Post),48.12,108.90 m,2.93,04/03/26 17:36
BMW AG St,82.86,88.80 m,0.41,04/03/26 17:43
E.ON SE,18.93,88.04 m,1.34,04/03/26 17:49
RWE AG St,53.50,85.60 m,0.56,04/03/26 17:52
Volkswagen AG Vz,94.80,80.95 m,1.30,04/03/26 18:00
Beiersdorf AG,83.96,76.93 m,0.36,04/03/26 17:45
DAIMLER TRUCK HLDG NA ON (EN),42.02,76.53 m,5.52,04/03/26 17:37
Vonovia SE,26.39,76.33 m,-1.24,04/03/26 17:35
Airbus SE,177.86,75.47 m,1.45,04/03/26 17:41
MTU Aero Engines AG,356.50,57.43 m,2.62,04/03/26 17:40
Fresenius SE & Co. KGaA,48.18,54.41 m,-0.06,04/03/26 17:35
Symrise AG,71.16,51.83 m,-2.79,04/03/26 17:55
Continental AG,67.20,48.69 m,-0.09,04/03/26 17:40
Merck KGaA,123.05,47.15 m,1.40,04/03/26 17:35
Siemens Healthineers AG,41.68,43.18 m,4.02,04/03/26 17:55
Fresenius Medical Care AG,39.15,42.71 m,-0.91,04/03/26 17:35
Henkel AG & Co. KGaA Vz,77.22,33.65 m,0.00,04/03/26 17:35
Hannover Rück SE,251.40,30.50 m,1.70,04/03/26 17:35
Zalando SE (EN),19.67,28.97 m,2.64,04/03/26 17:35
Brenntag SE,46.77,25.81 m,-4.90,04/03/26 17:40
Qiagen NV Registered Shs,40.88,19.68 m,0.43,04/03/26 17:37
GEA Group Aktiengesellschaft,62.85,19.48 m,0.88,04/03/26 17:35
Scout24 SE,71.05,17.54 m,2.97,04/03/26 17:35
Porsche Automobil Holding SE,34.38,14.26 m,1.48,04/03/26 17:58
