Symbol,Company,Weight,Price,Chg,% Chg,Timestamp
NVDA,Nvidia,7.14%,182.84,2.79,1.55%,2026-03-04T21:30:18.169Z
AAPL,Apple Inc.,6.20%,262.69,-1.06,-0.40%,2026-03-04T21:30:18.169Z
MSFT,Microsoft,4.84%,405.94,2.01,0.50%,2026-03-04T21:30:18.169Z
AMZN,Amazon,3.74%,216.69,7.96,3.81%,2026-03-04T21:30:18.169Z
GOOGL,Alphabet Inc. (Class A),3.05%,303.05,-0.53,-0.17%,2026-03-04T21:30:18.169Z
GOOG,Alphabet Inc. (Class C),2.85%,303.17,-0.39,-0.13%,2026-03-04T21:30:18.169Z
META,Meta Platforms,2.71%,667.01,11.93,1.82%,2026-03-04T21:30:18.169Z
TSLA,"Tesla, Inc.",2.44%,405.48,13.05,3.32%,2026-03-04T21:30:18.169Z
AVGO,Broadcom,2.42%,317.94,4.11,1.31%,2026-03-04T21:30:18.169Z
BRK.B,Berkshire Hathaway,1.69%,487.21,5.85,1.22%,2026-03-04T21:30:18.169Z
WMT,Walmart,1.64%,127.75,-0.16,-0.13%,2026-03-04T21:30:18.169Z
LLY,Lilly (Eli),1.44%,1005.98,-1.75,-0.17%,2026-03-04T21:30:18.169Z
JPM,JPMorgan Chase,1.30%,298.85,-1.41,-0.47%,2026-03-04T21:30:18.169Z
XOM,ExxonMobil,1.00%,149.94,-1.89,-1.24%,2026-03-04T21:30:18.169Z
V,Visa Inc.,0.99%,320.58,-0.25,-0.08%,2026-03-04T21:30:18.169Z
JNJ,Johnson & Johnson,0.95%,245.63,-1.13,-0.46%,2026-03-04T21:30:18.169Z
MA,Mastercard,0.75%,523.96,-0.36,-0.07%,2026-03-04T21:30:18.169Z
MU,Micron Technology,0.72%,400.90,21.22,5.59%,2026-03-04T21:30:18.169Z
COST,Costco,0.72%,1005.90,-1.87,-0.19%,2026-03-04T21:30:18.169Z
ORCL,Oracle Corporation,0.70%,152.27,3.26,2.19%,2026-03-04T21:30:18.169Z
ABBV,AbbVie,0.67%,236.19,2.32,0.99%,2026-03-04T21:30:18.169Z
NFLX,Netflix,0.67%,98.58,0.88,0.90%,2026-03-04T21:30:18.169Z
CVX,Chevron Corporation,0.59%,186.23,-2.54,-1.35%,2026-03-04T21:30:18.169Z
PG,Procter & Gamble,0.59%,158.20,-1.52,-0.95%,2026-03-04T21:30:18.169Z
HD,Home Depot (The),0.59%,368.65,1.73,0.47%,2026-03-04T21:30:18.169Z
PLTR,Palantir Technologies,0.59%,153.10,5.88,4.00%,2026-03-04T21:30:18.169Z
BAC,Bank of America,0.58%,50.23,0.26,0.52%,2026-03-04T21:30:18.169Z
GE,GE Aerospace,0.57%,339.65,5.51,1.65%,2026-03-04T21:30:18.169Z
CAT,Caterpillar Inc.,0.55%,734.43,12.25,1.70%,2026-03-04T21:30:18.169Z
KO,Coca-Cola Company (The),0.54%,78.23,-1.11,-1.40%,2026-03-04T21:30:18.169Z
AMD,Advanced Micro Devices,0.53%,201.88,10.93,5.72%,2026-03-04T21:30:18.169Z
CSCO,Cisco,0.51%,80.79,1.83,2.32%,2026-03-04T21:30:18.169Z
MRK,Merck & Co.,0.48%,120.10,0.27,0.23%,2026-03-04T21:30:18.169Z
AMAT,Applied Materials,0.46%,358.11,6.79,1.93%,2026-03-04T21:30:18.169Z
RTX,RTX Corporation,0.45%,209.50,2.98,1.44%,2026-03-04T21:30:18.169Z
LRCX,Lam Research,0.45%,223.30,6.03,2.78%,2026-03-04T21:30:18.169Z
PM,Philip Morris International,0.45%,178.00,0.07,0.04%,2026-03-04T21:30:18.169Z
MS,Morgan Stanley,0.43%,167.66,1.71,1.03%,2026-03-04T21:30:18.169Z
UNH,UnitedHealth Group,0.42%,291.45,2.24,0.77%,2026-03-04T21:30:18.169Z
GS,Goldman Sachs,0.42%,868.00,5.42,0.63%,2026-03-04T21:30:18.169Z
WFC,Wells Fargo,0.42%,83.85,1.32,1.59%,2026-03-04T21:30:18.169Z
TMUS,T-Mobile US,0.39%,219.70,1.17,0.54%,2026-03-04T21:30:18.169Z
MCD,McDonald's,0.38%,330.73,-1.44,-0.44%,2026-03-04T21:30:18.169Z
IBM,IBM,0.38%,250.22,4.94,2.02%,2026-03-04T21:30:18.169Z
LIN,Linde plc,0.37%,499.44,-2.24,-0.45%,2026-03-04T21:30:18.169Z
INTC,Intel,0.37%,45.59,2.49,5.79%,2026-03-04T21:30:18.169Z
GEV,GE Vernova,0.36%,842.75,0.75,0.09%,2026-03-04T21:30:18.169Z
PEP,PepsiCo,0.36%,164.10,-0.81,-0.49%,2026-03-04T21:30:18.169Z
VZ,Verizon,0.35%,51.24,0.37,0.72%,2026-03-04T21:30:18.169Z
AXP,American Express,0.34%,308.93,1.11,0.36%,2026-03-04T21:30:18.169Z
AMGN,Amgen,0.33%,378.63,1.63,0.43%,2026-03-04T21:30:18.169Z
T,AT&T,0.33%,28.93,0.26,0.91%,2026-03-04T21:30:18.169Z
ABT,Abbott Laboratories,0.32%,113.17,-0.44,-0.39%,2026-03-04T21:30:18.169Z
C,Citigroup,0.31%,111.35,0.59,0.53%,2026-03-04T21:30:18.169Z
KLAC,KLA Corporation,0.31%,1472.23,30.88,2.14%,2026-03-04T21:30:18.169Z
