Code,Name,Currency,Market cap (m),Price,Change,Change %,Timestamp
MTLN,METLEN ENERGY & METALS PLC ORD EUR1.00,EUR,"4,239.30",35.60,1.40,4.09%,2026-03-09T21:18:37.237Z
SHEL,SHELL PLC ORD EUR0.07,GBX,"177,253.53","3,207.00",74.00,2.36%,2026-03-09T21:18:37.237Z
BP.,BP PLC $0.25,GBX,"78,355.00",510.00,11.10,2.22%,2026-03-09T21:18:37.237Z
BA.,BAE SYSTEMS PLC ORD 2.5P,GBX,"66,384.52","2,259.00",45.00,2.03%,2026-03-09T21:18:37.237Z
BAB,BABCOCK INTERNATIONAL GROUP PLC ORD 60P,GBX,"6,830.69","1,391.00",23.00,1.68%,2026-03-09T21:18:37.237Z
ADM,ADMIRAL GROUP PLC ORD 0.1P,GBX,"9,440.31","3,120.00",38.00,1.23%,2026-03-09T21:18:37.237Z
PSH,PERSHING SQUARE HOLDINGS LTD ORD NPV,GBX,"6,957.34","4,004.00",38.00,0.96%,2026-03-09T21:18:37.237Z
CCEP,COCA-COLA EUROPACIFIC PARTNERS PLC ORD EUR0.01 (DI),GBX,"33,502.19","7,520.00",60.00,0.80%,2026-03-09T21:18:37.237Z
GLEN,GLENCORE PLC ORD USD0.01,GBX,"59,005.37",506.80,4.00,0.80%,2026-03-09T21:18:37.237Z
BATS,BRITISH AMERICAN TOBACCO PLC ORD 25P,GBX,"93,105.92","4,309.00",27.00,0.63%,2026-03-09T21:18:37.237Z
EXPN,EXPERIAN PLC ORD USD0.10,GBX,"25,070.37","2,775.00",16.00,0.58%,2026-03-09T21:18:37.237Z
BNZL,BUNZL PLC ORD 32 1/7P,GBX,"7,184.53","2,228.00",12.00,0.54%,2026-03-09T21:18:37.237Z
HSBA,HSBC HLDGS PLC ORD $0.50 (UK REG),GBX,"213,831.74","1,251.00",6.00,0.48%,2026-03-09T21:18:37.237Z
PRU,PRUDENTIAL PLC ORD 5P,GBX,"26,856.40","1,064.50",4.50,0.42%,2026-03-09T21:18:37.237Z
GSK,GSK PLC ORD 31 1/4P,GBX,"82,942.63","2,046.00",8.00,0.39%,2026-03-09T21:18:37.237Z
SSE,SSE PLC ORD 50P,GBX,"31,795.16","2,631.00",8.00,0.30%,2026-03-09T21:18:37.237Z
PSON,PEARSON PLC ORD 25P,GBX,"6,144.90",978.60,2.60,0.27%,2026-03-09T21:18:37.237Z
CNA,CENTRICA PLC ORD 6 14/81P,GBX,"8,929.18",194.40,0.50,0.26%,2026-03-09T21:18:37.237Z
REL,RELX PLC ORD 14 51/116P,GBX,"47,571.63","2,646.00",6.00,0.23%,2026-03-09T21:18:37.237Z
EDV,ENDEAVOUR MINING PLC ORD USD0.01,GBX,"11,153.83","4,634.00",10.00,0.22%,2026-03-09T21:18:37.237Z
CCH,COCA-COLA HBC AG ORD CHF6.70 (CDI),GBX,"16,344.17","4,500.00",4.00,0.09%,2026-03-09T21:18:37.237Z
FCIT,F&C INVESTMENT TRUST PLC ORD 25P,GBX,"5,748.67","1,215.00",1.00,0.08%,2026-03-09T21:18:37.237Z
NWG,NATWEST GROUP PLC ORD 107.69P,GBX,"45,890.07",575.80,0.20,0.03%,2026-03-09T21:18:37.237Z
BEZ,BEAZLEY PLC ORD 5P,GBX,"7,727.68","1,288.00",-1.00,-0.08%,2026-03-09T21:18:37.237Z
SDR,SCHRODERS PLC ORD 20P,GBX,"9,430.71",585.00,-0.50,-0.09%,2026-03-09T21:18:37.237Z
TSCO,TESCO PLC ORD 6 1/3P,GBX,"29,786.88",466.00,-0.50,-0.11%,2026-03-09T21:18:37.237Z
SGE,THE SAGE GROUP PLC ORD 1 4/77P,GBX,"7,900.61",841.80,-1.40,-0.17%,2026-03-09T21:18:37.237Z
CPG,COMPASS GROUP PLC ORD 11 1/20P,GBX,"38,888.85","2,283.00",-4.00,-0.17%,2026-03-09T21:18:37.237Z
FRES,FRESNILLO PLC ORD USD0.50,GBX,"25,909.18","3,508.00",-8.00,-0.23%,2026-03-09T21:18:37.237Z
LLOY,LLOYDS BANKING GROUP PLC ORD 10P,GBX,"56,209.59",95.16,-0.26,-0.27%,2026-03-09T21:18:37.237Z
DGE,DIAGEO PLC ORD 28 101/108P,GBX,"33,964.53","1,521.00",-4.50,-0.29%,2026-03-09T21:18:37.237Z
NG.,NATIONAL GRID PLC ORD 12 204/473P,GBX,"66,491.26","1,332.50",-5.00,-0.37%,2026-03-09T21:18:37.237Z
AZN,ASTRAZENECA PLC ORD SHS $0.25,GBX,"224,890.17","14,442.00",-58.00,-0.40%,2026-03-09T21:18:37.237Z
