Name,Last Price,Volume,+/-,Timestamp
Siemens Energy AG,152.15,470.07 m,2.29,09/03/26 21:41
SAP SE,173.34,342.17 m,0.85,09/03/26 21:57
Rheinmetall AG,"1,619.00",340.03 m,-0.37,09/03/26 21:09
Siemens AG,226.05,334.98 m,2.24,09/03/26 21:46
Allianz SE,351.20,271.36 m,2.03,09/03/26 21:53
Deutsche Bank AG,27.17,255.88 m,2.32,09/03/26 21:47
Infineon Technologies AG,40.01,216.07 m,2.71,09/03/26 21:58
Deutsche Telekom AG,32.44,185.31 m,-0.18,09/03/26 20:00
BASF SE,46.37,153.34 m,3.53,09/03/26 21:49
Bayer AG,38.22,136.45 m,1.66,09/03/26 21:54
DHL Aktie (Deutsche Post),46.39,132.50 m,1.93,09/03/26 21:45
Mercedes Benz Group AG (former Daimler),55.00,129.79 m,1.38,09/03/26 21:30
Volkswagen AG Vz,89.28,127.66 m,1.66,09/03/26 21:59
Münchener Rück AG,530.00,124.48 m,1.26,09/03/26 21:57
adidas AG,141.45,123.90 m,1.25,09/03/26 21:20
Commerzbank AG,30.90,123.80 m,1.78,09/03/26 21:39
Vonovia SE,25.29,111.84 m,1.28,09/03/26 21:19
Deutsche Börse AG,243.70,111.81 m,0.58,09/03/26 21:10
Heidelberg Materials AG,173.95,97.26 m,1.70,09/03/26 21:55
BMW AG St,80.16,95.42 m,1.78,09/03/26 21:54
RWE AG St,53.90,80.48 m,1.13,09/03/26 21:21
E.ON SE,18.75,75.77 m,1.65,09/03/26 20:56
Airbus SE,175.94,62.66 m,0.34,09/03/26 20:52
Merck KGaA,109.30,53.57 m,1.53,09/03/26 21:36
MTU Aero Engines AG,346.00,52.45 m,1.50,09/03/26 21:28
Siemens Healthineers AG,40.72,50.90 m,1.80,09/03/26 21:21
Fresenius SE & Co. KGaA,47.13,47.34 m,-0.02,09/03/26 18:51
DAIMLER TRUCK HLDG NA ON (EN),40.87,42.07 m,2.92,09/03/26 21:01
Henkel AG & Co. KGaA Vz,72.88,41.19 m,-2.36,09/03/26 17:39
Beiersdorf AG,81.94,37.95 m,1.19,09/03/26 21:33
Continental AG,61.52,37.34 m,1.12,09/03/26 21:34
GEA Group Aktiengesellschaft,62.20,29.99 m,0.16,09/03/26 19:01
Fresenius Medical Care AG,39.80,29.54 m,0.10,09/03/26 20:21
Scout24 SE,73.85,28.62 m,-0.47,09/03/26 19:41
Hannover Rück SE,250.60,28.12 m,1.70,09/03/26 20:59
Porsche Automobil Holding SE,33.09,26.80 m,1.91,09/03/26 21:49
Qiagen NV Registered Shs,37.43,25.63 m,0.69,09/03/26 21:43
Zalando SE (EN),20.29,25.24 m,2.27,09/03/26 21:05
Symrise AG,72.28,24.88 m,1.52,09/03/26 21:31
Brenntag SE,44.40,14.27 m,-1.42,09/03/26 17:35
