Name,Bid/Ask,Last,% Change,Date/Time,Turnover,Market Cap,YTD%,Timestamp
ACCOR,41.90/42.78,EUR42.45,-2.03%,17:35 CET,"45,524,160.53","9,963M",-10.14%,2026-03-09T21:19:02.339Z
AIR LIQUIDE,165.00/165.60,EUR165.38,-1.15%,17:35 CET,"115,718,482.57","95,804M",4.39%,2026-03-09T21:19:02.339Z
AIRBUS,175.00/177.00,EUR175.42,-0.05%,17:38 CET,"243,117,619.03","138,982M",-11.54%,2026-03-09T21:19:02.339Z
ARCELORMITTAL SA,45.50/46.10,EUR46.04,-3.88%,17:39 CET,"176,633,139.27","35,681M",22.54%,2026-03-09T21:19:02.339Z
AXA,37.30/37.80,EUR37.48,-1.08%,17:39 CET,"176,427,560.14","78,357M",-7.50%,2026-03-09T21:19:02.339Z
BNP PARIBAS ACT.A,85.20/85.49,EUR85.33,-1.18%,17:38 CET,"227,872,223.57","94,000M",6.88%,2026-03-09T21:19:02.339Z
BOUYGUES,47.70/48.26,EUR48.13,-1.58%,17:35 CET,"34,843,916.20","18,546M",10.26%,2026-03-09T21:19:02.339Z
BUREAU VERITAS,28.10/28.60,EUR28.50,-1.04%,17:35 CET,"28,865,820.98","12,935M",5.96%,2026-03-09T21:19:02.339Z
CAPGEMINI,107.80/108.80,EUR107.95,-1.64%,17:37 CET,"80,198,827.65","18,344M",-22.85%,2026-03-09T21:19:02.339Z
CARREFOUR,14.98/15.15,EUR15.14,-0.53%,17:35 CET,"27,664,599.42","11,148M",6.96%,2026-03-09T21:19:02.339Z
CREDIT AGRICOLE,16.48/16.60,EUR16.59,-1.19%,17:37 CET,"96,831,940.51","50,200M",-4.33%,2026-03-09T21:19:02.339Z
DANONE,69.00/70.00,EUR69.20,-1.43%,17:37 CET,"85,096,138.31","47,152M",-8.57%,2026-03-09T21:19:02.339Z
DASSAULT SYSTEMES,17.97/18.16,EUR18.10,-3.42%,17:35 CET,"58,473,651.34","24,274M",-21.41%,2026-03-09T21:19:02.339Z
EIFFAGE,132.50/134.70,EUR132.95,-1.63%,17:35 CET,"39,090,090.15","13,029M",10.42%,2026-03-09T21:19:02.339Z
ENGIE,26.20/26.35,EUR26.29,-0.23%,17:38 CET,"129,083,960.13","66,840M",17.58%,2026-03-09T21:19:02.339Z
ESSILORLUXOTTICA,208.00/210.20,EUR208.30,-2.12%,17:38 CET,"144,662,871.55","96,503M",-21.16%,2026-03-09T21:19:02.339Z
EUROFINS SCIENT.,62.60/64.00,EUR63.52,-1.64%,17:35 CET,"16,992,480.32","11,571M",3.49%,2026-03-09T21:19:02.339Z
EURONEXT,139.50/142.30,EUR141.10,-0.91%,17:35 CET,"36,084,290.05","14,631M",11.25%,2026-03-09T21:19:02.339Z
HERMES INTL,"1,886.00/1,913.00","EUR1,904.00",-0.08%,17:39 CET,"171,223,889.00","201,004M",-10.20%,2026-03-09T21:19:02.339Z
KERING,250.00/255.00,EUR254.75,-1.03%,17:38 CET,"52,236,413.60","31,441M",-14.49%,2026-03-09T21:19:02.339Z
L'OREAL,360.00/367.00,EUR362.90,-2.16%,17:36 CET,"169,346,040.13","193,710M",1.17%,2026-03-09T21:19:02.339Z
LEGRAND,133.20/137.50,EUR135.45,-1.53%,17:40 CET,"68,983,950.10","35,521M",8.09%,2026-03-09T21:19:02.339Z
LVMH,495.00/498.00,EUR497.70,-0.90%,17:35 CET,"278,345,099.23","247,699M",-22.14%,2026-03-09T21:19:02.339Z
MICHELIN,29.82/30.92,EUR30.09,-3.03%,17:35 CET,"55,632,744.54","20,690M",9.61%,2026-03-09T21:19:02.339Z
ORANGE,17.00/17.19,EUR17.13,-2.00%,17:37 CET,"81,279,771.23","45,553M",23.06%,2026-03-09T21:19:02.339Z
PERNOD RICARD,72.20/72.80,EUR72.34,-1.39%,17:39 CET,"37,971,549.63","18,249M",0.36%,2026-03-09T21:19:02.339Z
PUBLICIS GROUPE SA,75.00/76.42,EUR75.58,-0.40%,17:35 CET,"48,992,054.67","19,221M",-14.38%,2026-03-09T21:19:02.339Z
RENAULT,28.00/28.40,EUR28.06,-1.58%,17:39 CET,"38,964,726.05","8,298M",-19.51%,2026-03-09T21:19:02.339Z
SAFRAN,314.00/317.00,EUR314.70,-0.94%,17:37 CET,"333,014,205.25","131,653M",6.83%,2026-03-09T21:19:02.339Z
SAINT GOBAIN,73.00/73.58,EUR73.26,-1.08%,17:37 CET,"136,930,491.87","36,251M",-14.83%,2026-03-09T21:19:02.339Z
SANOFI,75.81/76.09,EUR75.81,-0.76%,17:36 CET,"174,108,976.02","92,450M",-7.65%,2026-03-09T21:19:02.339Z
SCHNEIDER ELECTRIC,244.00/247.00,EUR245.15,-1.68%,17:38 CET,"261,108,856.23","141,482M",6.15%,2026-03-09T21:19:02.339Z
SOCIETE GENERALE,64.50/65.64,EUR65.58,-1.41%,17:39 CET,"226,635,257.54","49,298M",-3.20%,2026-03-09T21:19:02.339Z
STELLANTIS NV,5.95/5.99,EUR5.98,-3.16%,17:35 CET,"50,452,882.09","17,356M",-34.34%,2026-03-09T21:19:02.339Z
STMICROELECTRONICS,27.20/27.73,EUR27.68,1.97%,17:40 CET,"83,579,241.45","25,224M",20.97%,2026-03-09T21:19:02.339Z
THALES,246.00/248.00,EUR247.50,2.57%,17:35 CET,"91,718,722.40","50,971M",5.00%,2026-03-09T21:19:02.339Z
TOTALENERGIES,68.64/68.96,EUR68.89,1.31%,17:38 CET,"531,814,438.84","150,759M",22.32%,2026-03-09T21:19:02.339Z
UNIBAIL-RODAMCO-WE,93.50/95.00,EUR94.44,-3.46%,17:35 CET,"53,417,876.85","13,536M",5.46%,2026-03-09T21:19:02.339Z
VEOLIA ENVIRON.,32.31/32.46,EUR32.40,-1.01%,17:39 CET,"84,813,649.28","24,032M",10.13%,2026-03-09T21:19:02.339Z
VINCI,127.30/128.50,EUR127.35,-1.28%,17:37 CET,"133,841,706.43","74,150M",7.46%,2026-03-09T21:19:02.339Z
