Symbol,Company,Weight,Price,Chg,% Chg,Timestamp
NVDA,Nvidia,7.19%,181.83,4.01,2.25%,2026-03-09T21:30:33.278Z
AAPL,Apple Inc.,6.20%,259.64,2.18,0.85%,2026-03-09T21:30:33.278Z
MSFT,Microsoft,4.95%,409.32,0.36,0.09%,2026-03-09T21:30:33.278Z
AMZN,Amazon,3.72%,213.20,-0.01,-0.00%,2026-03-09T21:30:33.278Z
GOOGL,Alphabet Inc. (Class A),3.11%,305.94,7.42,2.49%,2026-03-09T21:30:33.278Z
GOOG,Alphabet Inc. (Class C),2.90%,305.47,7.17,2.40%,2026-03-09T21:30:33.278Z
AVGO,Broadcom,2.66%,344.93,14.44,4.37%,2026-03-09T21:30:33.278Z
META,Meta Platforms,2.66%,646.10,1.24,0.19%,2026-03-09T21:30:33.278Z
TSLA,"Tesla, Inc.",2.43%,398.08,1.35,0.34%,2026-03-09T21:30:33.278Z
BRK.B,Berkshire Hathaway,1.74%,496.90,-2.08,-0.42%,2026-03-09T21:30:33.278Z
WMT,Walmart,1.61%,124.14,0.34,0.28%,2026-03-09T21:30:33.278Z
LLY,Lilly (Eli),1.46%,1006.45,16.12,1.63%,2026-03-09T21:30:33.278Z
JPM,JPMorgan Chase,1.27%,289.73,0.25,0.09%,2026-03-09T21:30:33.278Z
XOM,ExxonMobil,1.01%,149.57,-1.64,-1.08%,2026-03-09T21:30:33.278Z
V,Visa Inc.,0.99%,315.80,-1.56,-0.49%,2026-03-09T21:30:33.278Z
JNJ,Johnson & Johnson,0.96%,244.28,3.88,1.61%,2026-03-09T21:30:33.278Z
MA,Mastercard,0.74%,513.25,-9.09,-1.74%,2026-03-09T21:30:33.278Z
COST,Costco,0.73%,1004.43,6.33,0.63%,2026-03-09T21:30:33.278Z
MU,Micron Technology,0.71%,388.11,17.81,4.81%,2026-03-09T21:30:33.278Z
ORCL,Oracle Corporation,0.71%,151.57,-1.39,-0.91%,2026-03-09T21:30:33.278Z
NFLX,Netflix,0.68%,98.25,-0.77,-0.77%,2026-03-09T21:30:33.278Z
ABBV,AbbVie,0.66%,227.68,-2.44,-1.06%,2026-03-09T21:30:33.278Z
PLTR,Palantir Technologies,0.61%,155.56,-1.60,-1.02%,2026-03-09T21:30:33.278Z
CVX,Chevron Corporation,0.60%,187.52,-2.42,-1.27%,2026-03-09T21:30:33.278Z
PG,Procter & Gamble,0.59%,155.63,2.00,1.30%,2026-03-09T21:30:33.278Z
HD,Home Depot (The),0.57%,354.05,-3.88,-1.08%,2026-03-09T21:30:33.278Z
BAC,Bank of America,0.56%,47.78,-0.86,-1.76%,2026-03-09T21:30:33.278Z
GE,GE Aerospace,0.55%,322.63,-0.49,-0.15%,2026-03-09T21:30:33.278Z
KO,Coca-Cola Company (The),0.54%,77.80,0.75,0.98%,2026-03-09T21:30:33.278Z
AMD,Advanced Micro Devices,0.54%,201.97,9.54,4.96%,2026-03-09T21:30:33.278Z
CAT,Caterpillar Inc.,0.53%,705.75,24.85,3.65%,2026-03-09T21:30:33.278Z
CSCO,Cisco,0.49%,76.03,-2.61,-3.31%,2026-03-09T21:30:33.278Z
MRK,Merck & Co.,0.47%,117.16,1.36,1.18%,2026-03-09T21:30:33.278Z
RTX,RTX Corporation,0.45%,207.99,-1.77,-0.85%,2026-03-09T21:30:33.278Z
AMAT,Applied Materials,0.44%,338.46,13.72,4.22%,2026-03-09T21:30:33.278Z
PM,Philip Morris International,0.43%,171.09,1.12,0.66%,2026-03-09T21:30:33.278Z
LRCX,Lam Research,0.43%,210.72,11.38,5.71%,2026-03-09T21:30:33.278Z
UNH,UnitedHealth Group,0.42%,284.13,-2.36,-0.82%,2026-03-09T21:30:33.278Z
MS,Morgan Stanley,0.41%,160.44,0.17,0.11%,2026-03-09T21:30:33.278Z
GS,Goldman Sachs,0.40%,830.33,8.91,1.08%,2026-03-09T21:30:33.278Z
WFC,Wells Fargo,0.40%,78.73,-1.69,-2.10%,2026-03-09T21:30:33.278Z
TMUS,T-Mobile US,0.39%,218.25,-3.32,-1.50%,2026-03-09T21:30:33.278Z
IBM,IBM,0.39%,253.02,-5.83,-2.25%,2026-03-09T21:30:33.278Z
MCD,McDonald's,0.38%,330.50,2.44,0.74%,2026-03-09T21:30:33.278Z
INTC,Intel,0.37%,45.40,1.98,4.56%,2026-03-09T21:30:33.278Z
LIN,Linde plc,0.36%,483.23,-1.51,-0.31%,2026-03-09T21:30:33.278Z
GEV,GE Vernova,0.36%,829.22,39.99,5.07%,2026-03-09T21:30:33.278Z
PEP,PepsiCo,0.36%,161.14,1.71,1.07%,2026-03-09T21:30:33.278Z
VZ,Verizon,0.35%,50.47,-0.65,-1.28%,2026-03-09T21:30:33.278Z
AXP,American Express,0.34%,304.50,3.50,1.16%,2026-03-09T21:30:33.278Z
AMGN,Amgen,0.33%,377.16,7.63,2.06%,2026-03-09T21:30:33.278Z
ABT,Abbott Laboratories,0.32%,111.64,2.08,1.90%,2026-03-09T21:30:33.278Z
T,AT&T,0.31%,27.63,-1.02,-3.54%,2026-03-09T21:30:33.278Z
NEE,NextEra Energy,0.31%,91.85,0.83,0.91%,2026-03-09T21:30:33.278Z
TMO,Thermo Fisher Scientific,0.31%,511.52,9.55,1.90%,2026-03-09T21:30:33.278Z
KLAC,KLA Corporation,0.30%,1428.50,83.95,6.24%,2026-03-09T21:30:33.278Z
C,Citigroup,0.30%,106.45,-0.08,-0.08%,2026-03-09T21:30:33.278Z
CRM,Salesforce,0.30%,198.57,-3.54,-1.75%,2026-03-09T21:30:33.278Z
GILD,Gilead Sciences,0.29%,146.01,2.08,1.45%,2026-03-09T21:30:33.278Z
DIS,Walt Disney Company (The),0.29%,101.33,-0.21,-0.20%,2026-03-09T21:30:33.278Z
TXN,Texas Instruments,0.29%,195.72,2.50,1.29%,2026-03-09T21:30:33.278Z
BA,Boeing,0.29%,224.52,-6.59,-2.85%,2026-03-09T21:30:33.278Z
ISRG,Intuitive Surgical,0.28%,492.53,2.37,0.48%,2026-03-09T21:30:33.278Z
TJX,TJX Companies,0.28%,157.39,-1.94,-1.22%,2026-03-09T21:30:33.278Z
APP,AppLovin Corporation,0.28%,517.25,15.11,3.01%,2026-03-09T21:30:33.278Z
ANET,Arista Networks,0.28%,136.99,4.10,3.09%,2026-03-09T21:30:33.278Z
APH,Amphenol,0.27%,135.67,3.80,2.88%,2026-03-09T21:30:33.278Z
SCHW,Charles Schwab Corporation,0.27%,94.20,-1.03,-1.08%,2026-03-09T21:30:33.278Z
DE,Deere & Company,0.26%,597.36,7.59,1.29%,2026-03-09T21:30:33.278Z
ADI,Analog Devices,0.25%,320.63,4.82,1.53%,2026-03-09T21:30:33.278Z
LMT,Lockheed Martin,0.25%,661.69,-10.08,-1.50%,2026-03-09T21:30:33.278Z
UBER,Uber,0.25%,73.90,-1.23,-1.64%,2026-03-09T21:30:33.278Z
PFE,Pfizer,0.25%,26.74,-0.31,-1.14%,2026-03-09T21:30:33.278Z
UNP,Union Pacific Corporation,0.24%,253.53,-0.58,-0.23%,2026-03-09T21:30:33.278Z
HON,Honeywell,0.24%,236.66,1.37,0.58%,2026-03-09T21:30:33.278Z
BLK,BlackRock,0.24%,954.90,-0.55,-0.06%,2026-03-09T21:30:33.278Z
QCOM,Qualcomm,0.24%,138.12,2.43,1.79%,2026-03-09T21:30:33.278Z
WELL,Welltower,0.24%,207.70,3.41,1.67%,2026-03-09T21:30:33.278Z
COP,ConocoPhillips,0.23%,116.57,-0.50,-0.43%,2026-03-09T21:30:33.278Z
BKNG,Booking Holdings,0.23%,4439.50,-110.93,-2.44%,2026-03-09T21:30:33.278Z
DHR,Danaher Corporation,0.23%,198.79,3.29,1.69%,2026-03-09T21:30:33.278Z
LOW,Lowe's,0.23%,250.25,-1.63,-0.65%,2026-03-09T21:30:33.278Z
SYK,Stryker Corporation,0.23%,365.63,1.07,0.29%,2026-03-09T21:30:33.278Z
ETN,Eaton Corporation,0.22%,355.25,7.50,2.16%,2026-03-09T21:30:33.278Z
PANW,Palo Alto Networks,0.22%,165.09,0.04,0.02%,2026-03-09T21:30:33.278Z
SPGI,S&P Global,0.22%,444.27,-8.09,-1.79%,2026-03-09T21:30:33.278Z
INTU,Intuit,0.21%,472.50,-8.67,-1.80%,2026-03-09T21:30:33.278Z
ACN,Accenture,0.21%,209.01,-5.99,-2.79%,2026-03-09T21:30:33.278Z
NOW,ServiceNow,0.21%,121.79,-2.55,-2.05%,2026-03-09T21:30:33.278Z
NEM,Newmont,0.21%,116.91,0.61,0.53%,2026-03-09T21:30:33.278Z
CB,Chubb Limited,0.20%,322.50,-5.50,-1.68%,2026-03-09T21:30:33.278Z
VRTX,Vertex Pharmaceuticals,0.20%,492.47,35.78,7.83%,2026-03-09T21:30:33.278Z
PLD,Prologis,0.20%,133.63,-0.91,-0.67%,2026-03-09T21:30:33.278Z
BMY,Bristol Myers Squibb,0.20%,60.18,-0.11,-0.18%,2026-03-09T21:30:33.278Z
PGR,Progressive Corporation,0.20%,207.59,-3.01,-1.43%,2026-03-09T21:30:33.278Z
HCA,HCA Healthcare,0.20%,542.28,9.47,1.78%,2026-03-09T21:30:33.278Z
MDT,Medtronic,0.19%,91.72,0.82,0.91%,2026-03-09T21:30:33.278Z
PH,Parker Hannifin,0.19%,931.50,7.78,0.84%,2026-03-09T21:30:33.278Z
CEG,Constellation Energy,0.19%,322.45,3.39,1.06%,2026-03-09T21:30:33.278Z
ADBE,Adobe Inc.,0.19%,282.66,-0.96,-0.34%,2026-03-09T21:30:33.278Z
COF,Capital One,0.19%,186.18,-1.53,-0.82%,2026-03-09T21:30:33.278Z
MCK,McKesson Corporation,0.19%,941.10,21.84,2.38%,2026-03-09T21:30:33.278Z
SBUX,Starbucks,0.18%,99.48,0.49,0.49%,2026-03-09T21:30:33.278Z
CME,CME Group,0.18%,314.48,-2.62,-0.83%,2026-03-09T21:30:33.278Z
GLW,Corning Inc.,0.18%,130.85,7.56,6.13%,2026-03-09T21:30:33.278Z
MO,Altria,0.18%,67.03,0.52,0.77%,2026-03-09T21:30:33.278Z
CMCSA,Comcast,0.18%,30.98,-0.93,-2.91%,2026-03-09T21:30:33.278Z
CRWD,CrowdStrike,0.18%,433.61,4.62,1.08%,2026-03-09T21:30:33.278Z
SO,Southern Company,0.18%,97.14,-0.34,-0.35%,2026-03-09T21:30:33.278Z
BSX,Boston Scientific,0.17%,71.46,0.11,0.16%,2026-03-09T21:30:33.278Z
NOC,Northrop Grumman,0.17%,746.25,-9.88,-1.31%,2026-03-09T21:30:33.278Z
DUK,Duke Energy,0.17%,131.09,-1.41,-1.06%,2026-03-09T21:30:33.278Z
HWM,Howmet Aerospace,0.16%,251.47,1.34,0.54%,2026-03-09T21:30:33.278Z
CVS,CVS Health,0.16%,78.33,0.41,0.52%,2026-03-09T21:30:33.278Z
WM,Waste Management,0.16%,244.25,-1.80,-0.73%,2026-03-09T21:30:33.278Z
GD,General Dynamics,0.16%,362.00,-1.49,-0.41%,2026-03-09T21:30:33.278Z
DELL,Dell Technologies,0.16%,146.41,-0.06,-0.04%,2026-03-09T21:30:33.278Z
TT,Trane Technologies,0.15%,428.13,5.00,1.18%,2026-03-09T21:30:33.278Z
ICE,Intercontinental Exchange,0.15%,165.13,-1.06,-0.63%,2026-03-09T21:30:33.278Z
EQIX,Equinix,0.15%,944.13,6.92,0.74%,2026-03-09T21:30:33.278Z
ADP,Automatic Data Processing,0.15%,222.70,-3.54,-1.56%,2026-03-09T21:30:33.278Z
WMB,Williams Companies,0.15%,72.97,-1.27,-1.72%,2026-03-09T21:30:33.278Z
WDC,Western Digital,0.14%,260.68,15.43,6.29%,2026-03-09T21:30:33.278Z
FCX,Freeport-McMoRan,0.14%,60.66,1.30,2.20%,2026-03-09T21:30:33.278Z
AMT,American Tower,0.14%,186.62,-1.97,-1.04%,2026-03-09T21:30:33.278Z
MRSH,"Marsh & McLennan Companies, Inc.",0.14%,179.56,-3.52,-1.92%,2026-03-09T21:30:33.278Z
BX,Blackstone Inc.,0.14%,110.80,0.39,0.36%,2026-03-09T21:30:33.278Z
SNDK,Sandisk Corporation,0.14%,587.47,60.13,11.40%,2026-03-09T21:30:33.278Z
MAR,Marriott International,0.14%,324.34,0.54,0.17%,2026-03-09T21:30:33.278Z
FDX,FedEx,0.14%,362.56,3.45,0.96%,2026-03-09T21:30:33.278Z
PWR,Quanta Services,0.14%,567.55,27.36,5.07%,2026-03-09T21:30:33.278Z
UPS,United Parcel Service,0.14%,99.80,-2.56,-2.50%,2026-03-09T21:30:33.278Z
NKE,"Nike, Inc.",0.14%,56.58,-0.43,-0.76%,2026-03-09T21:30:33.278Z
STX,Seagate Technology,0.14%,373.49,20.69,5.86%,2026-03-09T21:30:33.278Z
SNPS,Synopsys,0.14%,436.35,-1.06,-0.24%,2026-03-09T21:30:33.278Z
SHW,Sherwin-Williams,0.13%,333.35,3.47,1.05%,2026-03-09T21:30:33.278Z
PNC,PNC Financial Services,0.13%,204.67,-1.45,-0.70%,2026-03-09T21:30:33.278Z
MCO,Moody's Corporation,0.13%,462.85,-9.12,-1.93%,2026-03-09T21:30:33.278Z
CDNS,Cadence Design Systems,0.13%,297.19,0.25,0.08%,2026-03-09T21:30:33.278Z
REGN,Regeneron Pharmaceuticals,0.13%,772.80,12.94,1.70%,2026-03-09T21:30:33.278Z
JCI,Johnson Controls,0.13%,133.19,0.79,0.60%,2026-03-09T21:30:33.278Z
KKR,KKR,0.13%,91.10,-0.23,-0.25%,2026-03-09T21:30:33.278Z
CTAS,Cintas,0.13%,200.66,-2.95,-1.45%,2026-03-09T21:30:33.278Z
ABNB,Airbnb,0.13%,133.71,0.48,0.36%,2026-03-09T21:30:33.278Z
EMR,Emerson Electric,0.13%,142.19,3.83,2.77%,2026-03-09T21:30:33.278Z
USB,U.S. Bancorp,0.13%,51.41,-0.96,-1.84%,2026-03-09T21:30:33.278Z
ORLY,O'Reilly Auto Parts,0.13%,95.02,0.42,0.45%,2026-03-09T21:30:33.278Z
ECL,Ecolab,0.13%,282.56,-0.13,-0.04%,2026-03-09T21:30:33.278Z
MMM,3M,0.13%,151.10,-2.31,-1.51%,2026-03-09T21:30:33.278Z
ITW,Illinois Tool Works,0.13%,275.61,-1.55,-0.56%,2026-03-09T21:30:33.278Z
RCL,Royal Caribbean Group,0.13%,289.74,11.66,4.19%,2026-03-09T21:30:33.278Z
BK,BNY Mellon,0.13%,113.50,-1.73,-1.51%,2026-03-09T21:30:33.278Z
DASH,DoorDash,0.12%,176.25,-2.92,-1.63%,2026-03-09T21:30:33.278Z
