Name,Last Price,% Diff,Date,Time,Timestamp
ACCIONA,208.4000,-0.67%,09/03/2026,Close,2026-03-09T21:18:45.272Z
ACCIONA ENER,19.6600,-1.21%,09/03/2026,Close,2026-03-09T21:18:45.272Z
ACERINOX,12.1200,-2.42%,09/03/2026,Close,2026-03-09T21:18:45.272Z
ACS,103.5000,0.78%,09/03/2026,Close,2026-03-09T21:18:45.272Z
AENA,25.2200,-0.94%,09/03/2026,Close,2026-03-09T21:18:45.272Z
AMADEUS,53.8600,-1.39%,09/03/2026,Close,2026-03-09T21:18:45.272Z
ARCELORMIT.,46.0300,-3.90%,09/03/2026,Close,2026-03-09T21:18:45.272Z
B.SANTANDER,9.4690,-1.18%,09/03/2026,Close,2026-03-09T21:18:45.272Z
BA.SABADELL,3.0240,1.10%,09/03/2026,Close,2026-03-09T21:18:45.272Z
BANKINTER,13.3550,0.79%,09/03/2026,Close,2026-03-09T21:18:45.272Z
BBVA,18.2200,-0.82%,09/03/2026,Close,2026-03-09T21:18:45.272Z
CAIXABANK,9.9520,0.83%,09/03/2026,Close,2026-03-09T21:18:45.272Z
CELLNEX,29.2400,-0.17%,09/03/2026,Close,2026-03-09T21:18:45.272Z
COLONIAL SFL,5.1800,-1.99%,09/03/2026,Close,2026-03-09T21:18:45.272Z
ENAGAS,14.5550,-1.42%,09/03/2026,Close,2026-03-09T21:18:45.272Z
ENDESA,33.6000,1.02%,09/03/2026,Close,2026-03-09T21:18:45.272Z
FERROVIAL SE,56.0000,-1.86%,09/03/2026,Close,2026-03-09T21:18:45.272Z
FLUIDRA,20.1600,-5.08%,09/03/2026,Close,2026-03-09T21:18:45.272Z
GRIFOLS CL.A,9.9220,-1.37%,09/03/2026,Close,2026-03-09T21:18:45.272Z
IAG,4.1300,-1.69%,09/03/2026,Close,2026-03-09T21:18:45.272Z
IBERDROLA,19.1200,-0.49%,09/03/2026,Close,2026-03-09T21:18:45.272Z
INDITEX,50.8000,-2.08%,09/03/2026,Close,2026-03-09T21:18:45.272Z
INDRA A,60.0000,0.08%,09/03/2026,Close,2026-03-09T21:18:45.272Z
LOGISTA,29.9600,-1.19%,09/03/2026,Close,2026-03-09T21:18:45.272Z
MAPFRE,3.6320,-0.66%,09/03/2026,Close,2026-03-09T21:18:45.272Z
MERLIN,13.7100,-3.59%,09/03/2026,Close,2026-03-09T21:18:45.272Z
NATURGY,24.9600,0.00%,09/03/2026,Close,2026-03-09T21:18:45.272Z
PUIG BRANDS,14.9300,-0.93%,09/03/2026,Close,2026-03-09T21:18:45.272Z
REDEIA,14.7600,-0.74%,09/03/2026,Close,2026-03-09T21:18:45.272Z
REPSOL,20.9700,1.01%,09/03/2026,Close,2026-03-09T21:18:45.272Z
ROVI,80.3000,-0.68%,09/03/2026,Close,2026-03-09T21:18:45.272Z
SACYR,4.1120,-1.11%,09/03/2026,Close,2026-03-09T21:18:45.272Z
SOLARIA,19.1400,-0.93%,09/03/2026,Close,2026-03-09T21:18:45.272Z
TELEFONICA,3.5830,-2.40%,09/03/2026,Close,2026-03-09T21:18:45.272Z
UNICAJA,2.5120,0.40%,09/03/2026,Close,2026-03-09T21:18:45.272Z
