Name,Capi. USD,Change,5d. change,Varia. Jan 1.,Timestamp
SAP SE,234B,-0.50%,+0.54%,-17.50%,2026-03-09T21:18:39.991Z
SIEMENS AG,202B,-1.65%,-10.63%,-7.55%,2026-03-09T21:18:39.991Z
DEUTSCHE TELEKOM AG,184B,-1.10%,-4.66%,+17.50%,2026-03-09T21:18:39.991Z
AIRBUS SE,160B,-0.05%,-4.79%,-11.58%,2026-03-09T21:18:39.991Z
ALLIANZ SE,153B,-0.98%,-9.94%,-11.86%,2026-03-09T21:18:39.991Z
SIEMENS ENERGY AG,149B,-0.67%,-10.63%,+23.55%,2026-03-09T21:18:39.991Z
RHEINMETALL AG,84.74B,+2.04%,-2.31%,+4.10%,2026-03-09T21:18:39.991Z
MUNICH RE,77.46B,-0.34%,-5.80%,-6.90%,2026-03-09T21:18:39.991Z
MERCEDES-BENZ GROUP AG,60.45B,-0.97%,-8.05%,-9.69%,2026-03-09T21:18:39.991Z
DHL GROUP,59.81B,-1.43%,-9.16%,-2.61%,2026-03-09T21:18:39.991Z
INFINEON TECHNOLOGIES AG,59.45B,-1.19%,-15.00%,+3.23%,2026-03-09T21:18:39.991Z
DEUTSCHE BANK AG,59.37B,-1.39%,-12.36%,-19.81%,2026-03-09T21:18:39.991Z
BMW AG,57.01B,-1.30%,-11.96%,-15.44%,2026-03-09T21:18:39.991Z
EON SE,56.58B,-1.21%,-6.33%,+14.33%,2026-03-09T21:18:39.991Z
MERCK KGAA,55.54B,-2.27%,-16.10%,-12.19%,2026-03-09T21:18:39.991Z
VOLKSWAGEN AG,52.77B,-2.40%,-13.22%,-15.19%,2026-03-09T21:18:39.991Z
SIEMENS HEALTHINEERS AG,52.29B,-1.01%,-5.08%,-10.95%,2026-03-09T21:18:39.991Z
DEUTSCHE B&Ouml;RSE AG,51.46B,+0.08%,+4.26%,+8.31%,2026-03-09T21:18:39.991Z
BASF SE,46.13B,-1.06%,-8.03%,+0.81%,2026-03-09T21:18:39.991Z
RWE AG,43.51B,+0.91%,-2.27%,+17.76%,2026-03-09T21:18:39.991Z
BAYER AG,41.46B,+3.30%,-10.52%,+1.57%,2026-03-09T21:18:39.991Z
COMMERZBANK AG,38.52B,-0.69%,-12.38%,-15.90%,2026-03-09T21:18:39.991Z
DAIMLER TRUCK HOLDING AG,35.89B,-1.76%,-7.72%,+6.40%,2026-03-09T21:18:39.991Z
HEIDELBERG MATERIALS AG,35.62B,-1.75%,-9.76%,-23.30%,2026-03-09T21:18:39.991Z
HANNOVER RE,34.8B,-0.96%,-4.42%,-7.44%,2026-03-09T21:18:39.991Z
HENKEL AG & CO. KGAA,33.72B,-2.36%,-12.38%,+4.74%,2026-03-09T21:18:39.991Z
FRESENIUS SE & CO. KGAA,30.53B,+0.88%,-7.39%,-3.76%,2026-03-09T21:18:39.991Z
ADIDAS AG,29.27B,-2.10%,-11.69%,-17.36%,2026-03-09T21:18:39.991Z
VONOVIA SE,25.38B,-3.22%,-12.97%,+1.75%,2026-03-09T21:18:39.991Z
MTU AERO ENGINES AG,21.9B,-2.88%,-6.70%,-4.05%,2026-03-09T21:18:39.991Z
BEIERSDORF,21.32B,-3.71%,-24.77%,-13.56%,2026-03-09T21:18:39.991Z
CONTINENTAL AG,14.73B,-4.22%,-16.79%,-10.48%,2026-03-09T21:18:39.991Z
FRESENIUS MEDICAL CARE AG,12.54B,+0.71%,+0.79%,-2.45%,2026-03-09T21:18:39.991Z
PORSCHE AUTOMOBIL HOLDING SE,11.91B,-3.13%,-9.88%,-18.66%,2026-03-09T21:18:39.991Z
SYMRISE AG,11.6B,-0.92%,-8.22%,+3.37%,2026-03-09T21:18:39.991Z
GEA GROUP AG,11.49B,+2.05%,-5.77%,+7.44%,2026-03-09T21:18:39.991Z
QIAGEN N.V.,9.18B,-2.74%,-11.26%,-8.46%,2026-03-09T21:18:39.991Z
BRENNTAG SE,7.54B,-1.42%,-15.11%,-10.41%,2026-03-09T21:18:39.991Z
SCOUT24 SE,6.1B,-0.34%,+2.70%,-13.52%,2026-03-09T21:18:39.991Z
ZALANDO SE,6.01B,-2.36%,-4.39%,-21.70%,2026-03-09T21:18:39.991Z
