System,Date,IndexPrice,ETFPrice,Indicator,Signal,RawWeight,VolScale,FinalWeight,Position,DeltaPosition,NAV,Drawdown
DAX,2026-06-11,24282.81,37085,-0.23,5,1,0.86,0.86,1,0,8.5,-0.04
IBEX,2026-06-11,18365.5,40578.33,-0.17,5,0.92,1,0.92,0.92,0,3.2,-0.005
CAC,2026-06-11,8231.97,7143,0.03,5,1,1,1,1,0,2.87,-0.003
UKX,2026-06-11,10352.56,1019.8,0.27,3,0.02,1,0.02,0.02,0,11.93,-0.002
