msci_index,last,day,previous_price
USA,38932.802,0.0151,38353.6617082061
CANADA,23366.146,0.006,23226.785288270377
SWITZERLAND,44629.464,0.0039000000000000003,44456.08526745692
UNITED KINGDOM,21943.871,-0.0048,22049.709606109325
JAPAN,22589.543,0.0332,21863.669183120408
PACIFIC ex JAPAN,18693.902,0.0125,18463.11308641975
GERMANY,18414.765,0.0106,18221.61587175935
NORDIC COUNTRIES,64242.32,-0.0024,64396.87249398556
FRANCE,20676.843,0.0046,20582.165040812266
ITALY,4094.895,0.0074,4064.815366289458
SPAIN,15004.261,0.0171,14752.001769737491
EUROPE,23779.17,0.003,23708.045862412764
WORLD,28031.121,0.0138,27649.55711185638
EM (EMERGING MARKETS),1079.094,0.026099999999999998,1051.646038397817
WORLD SMALL CAP,1095.337,0.0085,1086.1051065939514
WORLD ENHANCED VALUE,3979.649,0.0207,3898.9409228960517
WORLD MOMENTUM,8181.749,0.023799999999999998,7991.550107442859
WORLD SECTOR NEUTRAL QUALITY,4419.281,0.009399999999999999,4378.126609867248
EUROPE SECTOR NEUTRAL QUALITY,2674.229,0.0016,2669.9570686900956
USA SECTOR NEUTRAL QUALITY,12400.997,0.0098,12280.646662705485
WORLD MINIMUM VOLATILITY (GBP),6416.565,0.0,6416.565
