msci_index,last,day,previous_price
USA,38926.743,-0.0013,38977.41363772905
CANADA,23201.601,0.0067,23047.184861428428
SWITZERLAND,44540.253,0.0051,44314.250323350905
UNITED KINGDOM,21897.566,-0.0017000000000000001,21934.855253931684
JAPAN,22208.352,0.0124,21936.341367048597
PACIFIC ex JAPAN,18720.918,0.0131,18478.845128812554
GERMANY,18677.41,-0.0022,18718.590899979954
NORDIC COUNTRIES,65489.224,-0.0027,65666.52361375715
FRANCE,20227.914,-0.0018,20264.389901823284
ITALY,3993.322,0.0037,3978.601175650095
SPAIN,14493.628,0.0036,14441.638102829813
EUROPE,23478.165,-0.0004,23487.560024009603
WORLD,27945.53,0.0003,27937.148855343396
EM (EMERGING MARKETS),1067.039,0.0123,1054.0738911389903
WORLD SMALL CAP,1078.585,-0.0009,1079.556600940847
WORLD ENHANCED VALUE,3912.11,0.0087,3878.368196688808
WORLD MOMENTUM,7794.115,-0.0015,7805.823735603404
WORLD SECTOR NEUTRAL QUALITY,4335.122,-0.0046,4355.1557162949575
EUROPE SECTOR NEUTRAL QUALITY,2628.144,-0.0015,2632.0921382073107
USA SECTOR NEUTRAL QUALITY,12140.496,-0.0051,12202.729922605286
WORLD MINIMUM VOLATILITY (GBP),6366.23,-0.0027,6383.465356462449
