Name,Capi. USD,Change,5d. change,Varia. Jan 1.,Timestamp
SAP SE,236B,-0.73%,-1.63%,-17.95%,2026-03-01T21:58:51.282Z
SIEMENS AG,227B,-0.50%,+0.92%,+3.45%,2026-03-01T21:58:51.282Z
DEUTSCHE TELEKOM AG,195B,+3.59%,+4.19%,+23.25%,2026-03-01T21:58:51.282Z
ALLIANZ SE,172B,-0.65%,+0.79%,-2.13%,2026-03-01T21:58:51.282Z
AIRBUS SE,171B,-1.34%,-2.90%,-7.14%,2026-03-01T21:58:51.282Z
SIEMENS ENERGY AG,168B,+0.97%,+0.73%,+38.25%,2026-03-01T21:58:51.282Z
RHEINMETALL AG,90.18B,-0.63%,-4.40%,+6.57%,2026-03-01T21:58:51.282Z
MUNICH RE,83.6B,+1.28%,+2.51%,-1.17%,2026-03-01T21:58:51.282Z
INFINEON TECHNOLOGIES AG,70.49B,-2.02%,+1.38%,+21.46%,2026-03-01T21:58:51.282Z
DEUTSCHE BANK AG,68.11B,-2.40%,-2.43%,-8.50%,2026-03-01T21:58:51.282Z
MERCEDES-BENZ GROUP AG,66.31B,-.--%,-0.41%,-1.78%,2026-03-01T21:58:51.282Z
MERCK KGAA,65.91B,+2.11%,+0.12%,+4.65%,2026-03-01T21:58:51.282Z
BMW AG,65.06B,+0.70%,-0.95%,-3.95%,2026-03-01T21:58:51.282Z
DHL GROUP,63.29B,+0.56%,+0.30%,+7.21%,2026-03-01T21:58:51.282Z
EON SE,60.76B,-0.46%,+5.64%,+22.05%,2026-03-01T21:58:51.282Z
VOLKSWAGEN AG,60.15B,-0.34%,-1.27%,-2.27%,2026-03-01T21:58:51.282Z
SIEMENS HEALTHINEERS AG,55.56B,-0.59%,-0.50%,-6.19%,2026-03-01T21:58:51.282Z
BASF SE,50.59B,-1.93%,-0.39%,+9.61%,2026-03-01T21:58:51.282Z
DEUTSCHE B&Ouml;RSE AG,50.33B,+2.60%,+5.68%,+3.89%,2026-03-01T21:58:51.282Z
BAYER AG,48.77B,+0.39%,-3.82%,+13.51%,2026-03-01T21:58:51.282Z
RWE AG,45.81B,+1.22%,+5.21%,+20.50%,2026-03-01T21:58:51.282Z
COMMERZBANK AG,44.64B,-3.70%,+0.46%,-4.02%,2026-03-01T21:58:51.282Z
HEIDELBERG MATERIALS AG,39.51B,-0.24%,-7.90%,-15.00%,2026-03-01T21:58:51.282Z
DAIMLER TRUCK HOLDING AG,38.93B,+1.32%,+0.70%,+15.30%,2026-03-01T21:58:51.282Z
HENKEL AG & CO. KGAA,37.98B,+0.14%,+0.63%,+19.55%,2026-03-01T21:58:51.282Z
HANNOVER RE,36.73B,+1.34%,+2.63%,-3.16%,2026-03-01T21:58:51.282Z
FRESENIUS SE & CO. KGAA,33.88B,-0.82%,-2.23%,+3.92%,2026-03-01T21:58:51.282Z
ADIDAS AG,33.21B,-2.65%,-0.32%,-6.42%,2026-03-01T21:58:51.282Z
VONOVIA SE,28.75B,+1.56%,+4.48%,+16.91%,2026-03-01T21:58:51.282Z
BEIERSDORF,27.8B,+1.70%,+1.08%,+14.91%,2026-03-01T21:58:51.282Z
MTU AERO ENGINES AG,23.22B,-1.11%,-9.10%,+2.84%,2026-03-01T21:58:51.282Z
CONTINENTAL AG,17.28B,-1.54%,-0.41%,+7.59%,2026-03-01T21:58:51.282Z
PORSCHE AUTOMOBIL HOLDING SE,13.04B,-0.72%,-2.12%,-9.74%,2026-03-01T21:58:51.282Z
FRESENIUS MEDICAL CARE AG,12.82B,+0.59%,-4.18%,-3.21%,2026-03-01T21:58:51.282Z
SYMRISE AG,12.77B,+1.28%,+2.32%,+12.63%,2026-03-01T21:58:51.282Z
GEA GROUP AG,12.68B,+1.23%,+1.00%,+14.01%,2026-03-01T21:58:51.282Z
QIAGEN N.V.,10.26B,+1.47%,+2.53%,+5.20%,2026-03-01T21:58:51.282Z
BRENNTAG SE,8.92B,-0.04%,-3.26%,+5.53%,2026-03-01T21:58:51.282Z
ZALANDO SE,6.25B,+0.53%,+0.29%,-18.11%,2026-03-01T21:58:51.282Z
SCOUT24 SE,6.04B,+4.71%,+2.19%,-15.79%,2026-03-01T21:58:51.282Z
