Symbol,Company,Weight,Price,Chg,% Chg,Timestamp
NVDA,Nvidia,6.90%,177.19,-7.70,(-4.16%),2026-03-01T23:17:49.378Z
AAPL,Apple Inc.,6.22%,264.18,-8.77,(-3.21%),2026-03-01T23:17:49.378Z
MSFT,Microsoft,4.68%,392.74,-8.98,(-2.24%),2026-03-01T23:17:49.378Z
AMZN,Amazon,3.61%,210.00,2.08,(1.00%),2026-03-01T23:17:49.378Z
GOOGL,Alphabet Inc. (Class A),3.13%,311.76,4.38,(1.42%),2026-03-01T23:17:49.378Z
GOOG,Alphabet Inc. (Class C),2.92%,311.43,4.28,(1.39%),2026-03-01T23:17:49.378Z
META,Meta Platforms,2.63%,648.18,-8.83,(-1.34%),2026-03-01T23:17:49.378Z
AVGO,Broadcom,2.43%,319.55,-2.15,(-0.67%),2026-03-01T23:17:49.378Z
TSLA,"Tesla, Inc.",2.42%,402.51,-6.07,(-1.49%),2026-03-01T23:17:49.378Z
BRK.B,Berkshire Hathaway,1.75%,504.95,2.28,(0.45%),2026-03-01T23:17:49.378Z
WMT,Walmart,1.64%,127.95,3.53,(2.84%),2026-03-01T23:17:49.378Z
LLY,Lilly (Eli),1.59%,1051.99,29.97,(2.93%),2026-03-01T23:17:49.378Z
JPM,JPMorgan Chase,1.30%,300.30,-5.83,(-1.90%),2026-03-01T23:17:49.378Z
XOM,ExxonMobil,1.02%,152.50,3.96,(2.67%),2026-03-01T23:17:49.378Z
V,Visa Inc.,0.99%,320.14,3.44,(1.09%),2026-03-01T23:17:49.378Z
JNJ,Johnson & Johnson,0.96%,248.43,4.96,(2.04%),2026-03-01T23:17:49.378Z
MU,Micron Technology,0.74%,412.37,-3.19,(-0.77%),2026-03-01T23:17:49.378Z
MA,Mastercard,0.74%,517.21,2.44,(0.47%),2026-03-01T23:17:49.378Z
COST,Costco,0.72%,1010.79,24.05,(2.44%),2026-03-01T23:17:49.378Z
ORCL,Oracle Corporation,0.67%,145.40,-4.91,(-3.27%),2026-03-01T23:17:49.378Z
ABBV,AbbVie,0.66%,232.08,7.39,(3.29%),2026-03-01T23:17:49.378Z
NFLX,Netflix,0.65%,96.24,11.65,(13.77%),2026-03-01T23:17:49.378Z
PG,Procter & Gamble,0.62%,167.20,3.45,(2.11%),2026-03-01T23:17:49.378Z
HD,Home Depot (The),0.61%,380.72,5.63,(1.50%),2026-03-01T23:17:49.378Z
CVX,Chevron Corporation,0.59%,186.76,2.60,(1.41%),2026-03-01T23:17:49.378Z
BAC,Bank of America,0.58%,49.83,-2.47,(-4.72%),2026-03-01T23:17:49.378Z
GE,GE Aerospace,0.58%,342.26,1.42,(0.42%),2026-03-01T23:17:49.378Z
KO,Coca-Cola Company (The),0.56%,81.56,1.06,(1.32%),2026-03-01T23:17:49.378Z
CAT,Caterpillar Inc.,0.55%,742.83,-10.10,(-1.34%),2026-03-01T23:17:49.378Z
PLTR,Palantir Technologies,0.53%,137.19,1.25,(0.92%),2026-03-01T23:17:49.378Z
AMD,Advanced Micro Devices,0.52%,200.21,-3.47,(-1.70%),2026-03-01T23:17:49.378Z
CSCO,Cisco,0.50%,79.46,1.36,(1.74%),2026-03-01T23:17:49.378Z
MRK,Merck & Co.,0.49%,123.82,4.52,(3.79%),2026-03-01T23:17:49.378Z
AMAT,Applied Materials,0.47%,372.30,-3.42,(-0.91%),2026-03-01T23:17:49.378Z
LRCX,Lam Research,0.47%,233.89,-5.18,(-2.17%),2026-03-01T23:17:49.378Z
PM,Philip Morris International,0.47%,186.83,-0.67,(-0.36%),2026-03-01T23:17:49.378Z
RTX,RTX Corporation,0.44%,202.62,4.99,(2.52%),2026-03-01T23:17:49.378Z
UNH,UnitedHealth Group,0.43%,293.27,6.61,(2.31%),2026-03-01T23:17:49.378Z
MS,Morgan Stanley,0.42%,166.51,-10.98,(-6.19%),2026-03-01T23:17:49.378Z
GS,Goldman Sachs,0.41%,859.57,-69.43,(-7.47%),2026-03-01T23:17:49.378Z
WFC,Wells Fargo,0.40%,81.45,-4.85,(-5.62%),2026-03-01T23:17:49.378Z
MCD,McDonald's,0.39%,341.06,6.53,(1.95%),2026-03-01T23:17:49.378Z
TMUS,T-Mobile US,0.38%,217.09,3.94,(1.85%),2026-03-01T23:17:49.378Z
GEV,GE Vernova,0.38%,873.60,-2.86,(-0.33%),2026-03-01T23:17:49.378Z
LIN,Linde plc,0.38%,508.08,9.57,(1.92%),2026-03-01T23:17:49.378Z
PEP,PepsiCo,0.37%,169.74,2.16,(1.29%),2026-03-01T23:17:49.378Z
INTC,Intel,0.37%,45.61,0.15,(0.33%),2026-03-01T23:17:49.378Z
IBM,IBM,0.36%,240.21,-1.80,(-0.74%),2026-03-01T23:17:49.378Z
AXP,American Express,0.34%,308.90,-26.42,(-7.88%),2026-03-01T23:17:49.378Z
VZ,Verizon,0.34%,50.14,1.25,(2.56%),2026-03-01T23:17:49.378Z
AMGN,Amgen,0.34%,388.16,8.83,(2.33%),2026-03-01T23:17:49.378Z
ABT,Abbott Laboratories,0.32%,116.35,0.09,(0.08%),2026-03-01T23:17:49.378Z
KLAC,KLA Corporation,0.32%,1524.55,0.24,(0.02%),2026-03-01T23:17:49.378Z
T,AT&T,0.31%,28.01,0.55,(2.00%),2026-03-01T23:17:49.378Z
TMO,Thermo Fisher Scientific,0.31%,521.11,0.99,(0.19%),2026-03-01T23:17:49.378Z
NEE,NextEra Energy,0.31%,93.77,1.78,(1.93%),2026-03-01T23:17:49.378Z
C,Citigroup,0.31%,110.19,-6.00,(-5.16%),2026-03-01T23:17:49.378Z
TXN,Texas Instruments,0.31%,212.11,-0.52,(-0.24%),2026-03-01T23:17:49.378Z
DIS,Walt Disney Company (The),0.30%,106.04,0.49,(0.46%),2026-03-01T23:17:49.378Z
GILD,Gilead Sciences,0.30%,148.95,5.18,(3.60%),2026-03-01T23:17:49.378Z
CRM,Salesforce,0.29%,194.79,-4.68,(-2.35%),2026-03-01T23:17:49.378Z
APH,Amphenol,0.29%,146.06,-2.41,(-1.62%),2026-03-01T23:17:49.378Z
TJX,TJX Companies,0.29%,161.66,2.97,(1.87%),2026-03-01T23:17:49.378Z
ISRG,Intuitive Surgical,0.29%,503.51,-3.37,(-0.66%),2026-03-01T23:17:49.378Z
BA,Boeing,0.29%,227.53,-1.88,(-0.82%),2026-03-01T23:17:49.378Z
ADI,Analog Devices,0.28%,355.79,1.44,(0.41%),2026-03-01T23:17:49.378Z
DE,Deere & Company,0.27%,629.71,10.25,(1.65%),2026-03-01T23:17:49.378Z
SCHW,Charles Schwab Corporation,0.27%,95.20,-2.32,(-2.38%),2026-03-01T23:17:49.378Z
ANET,Arista Networks,0.27%,133.50,3.25,(2.50%),2026-03-01T23:17:49.378Z
BLK,BlackRock,0.26%,1063.23,-27.04,(-2.48%),2026-03-01T23:17:49.378Z
UNP,Union Pacific Corporation,0.25%,264.98,-0.47,(-0.18%),2026-03-01T23:17:49.378Z
PFE,Pfizer,0.25%,27.65,0.55,(2.03%),2026-03-01T23:17:49.378Z
UBER,Uber,0.25%,75.42,0.62,(0.83%),2026-03-01T23:17:49.378Z
HON,Honeywell,0.25%,243.59,2.71,(1.13%),2026-03-01T23:17:49.378Z
QCOM,Qualcomm,0.24%,142.36,-3.23,(-2.22%),2026-03-01T23:17:49.378Z
LMT,Lockheed Martin,0.24%,658.08,16.45,(2.56%),2026-03-01T23:17:49.378Z
DHR,Danaher Corporation,0.24%,210.64,1.28,(0.61%),2026-03-01T23:17:49.378Z
LOW,Lowe's,0.24%,264.57,0.18,(0.07%),2026-03-01T23:17:49.378Z
SYK,Stryker Corporation,0.24%,387.46,1.40,(0.36%),2026-03-01T23:17:49.378Z
APP,AppLovin Corporation,0.24%,434.77,-10.16,(-2.28%),2026-03-01T23:17:49.378Z
ETN,Eaton Corporation,0.23%,375.92,1.33,(0.36%),2026-03-01T23:17:49.378Z
WELL,Welltower,0.23%,207.12,-1.33,(-0.64%),2026-03-01T23:17:49.378Z
NEM,Newmont,0.23%,130.00,2.53,(1.98%),2026-03-01T23:17:49.378Z
COP,ConocoPhillips,0.22%,113.46,2.76,(2.49%),2026-03-01T23:17:49.378Z
BKNG,Booking Holdings,0.22%,4239.35,-10.91,(-0.26%),2026-03-01T23:17:49.378Z
CB,Chubb Limited,0.21%,340.86,2.94,(0.87%),2026-03-01T23:17:49.378Z
PLD,Prologis,0.21%,142.57,-0.09,(-0.06%),2026-03-01T23:17:49.378Z
SPGI,S&P Global,0.21%,441.88,4.39,(1.00%),2026-03-01T23:17:49.378Z
GLW,Corning Inc.,0.21%,150.38,0.08,(0.05%),2026-03-01T23:17:49.378Z
ACN,Accenture,0.21%,208.72,1.34,(0.65%),2026-03-01T23:17:49.378Z
PH,Parker Hannifin,0.20%,1009.18,-5.79,(-0.57%),2026-03-01T23:17:49.378Z
BMY,Bristol Myers Squibb,0.20%,62.37,1.27,(2.08%),2026-03-01T23:17:49.378Z
VRTX,Vertex Pharmaceuticals,0.20%,496.83,16.70,(3.48%),2026-03-01T23:17:49.378Z
MDT,Medtronic,0.20%,97.66,0.63,(0.65%),2026-03-01T23:17:49.378Z
PGR,Progressive Corporation,0.20%,213.66,1.93,(0.91%),2026-03-01T23:17:49.378Z
COF,Capital One,0.20%,195.64,-12.83,(-6.15%),2026-03-01T23:17:49.378Z
PANW,Palo Alto Networks,0.19%,148.92,-0.48,(-0.32%),2026-03-01T23:17:49.378Z
MCK,McKesson Corporation,0.19%,987.37,12.92,(1.33%),2026-03-01T23:17:49.378Z
