Name,Last Price,Volume,+/-,Timestamp
Deutsche Telekom AG,33.90,603.59 m,-0.56,27/02/26 21:55
Allianz SE,381.00,491.00 m,-0.31,27/02/26 21:15
SAP SE,170.24,456.95 m,-0.42,27/02/26 21:43
Rheinmetall AG,"1,666.00",446.64 m,0.15,27/02/26 21:03
Siemens Energy AG,165.05,385.25 m,-0.84,27/02/26 21:36
Deutsche Bank AG,29.89,280.98 m,-1.35,27/02/26 21:08
Siemens AG,245.55,275.47 m,-0.75,27/02/26 20:43
Münchener Rück AG,553.40,269.25 m,-0.40,27/02/26 21:40
MTU Aero Engines AG,365.40,268.02 m,-1.11,27/02/26 17:35
Infineon Technologies AG,45.58,264.62 m,-0.55,27/02/26 20:42
BASF SE,48.61,263.08 m,-0.18,27/02/26 21:19
DHL Aktie (Deutsche Post),49.91,242.58 m,-0.38,27/02/26 19:08
Mercedes Benz Group AG (former Daimler),58.84,236.04 m,-0.27,27/02/26 21:01
Heidelberg Materials AG,188.45,204.14 m,-0.58,27/02/26 20:20
adidas AG,158.25,200.17 m,0.03,27/02/26 21:24
Vonovia SE,28.51,167.27 m,-0.63,27/02/26 21:55
Deutsche Börse AG,231.70,147.97 m,2.30,27/02/26 18:01
Commerzbank AG,34.54,138.75 m,-0.32,27/02/26 21:19
Bayer AG,41.80,137.29 m,-0.51,27/02/26 21:50
RWE AG St,54.12,136.40 m,-0.77,27/02/26 21:04
Volkswagen AG Vz,101.10,108.14 m,-0.10,27/02/26 21:56
E.ON SE,19.67,99.12 m,-0.05,27/02/26 21:01
BMW AG St,89.04,94.92 m,0.23,27/02/26 17:56
DAIMLER TRUCK HLDG NA ON (EN),42.70,80.99 m,-0.77,27/02/26 20:44
GEA Group Aktiengesellschaft,65.30,73.70 m,-0.91,27/02/26 20:47
Symrise AG,77.48,71.00 m,-0.13,27/02/26 19:42
Scout24 SE,72.00,55.09 m,-0.35,27/02/26 21:52
Fresenius SE & Co. KGaA,51.06,53.82 m,0.31,27/02/26 18:39
Siemens Healthineers AG,42.14,53.32 m,-0.59,27/02/26 17:35
Henkel AG & Co. KGaA Vz,83.18,47.76 m,0.14,27/02/26 17:35
Merck KGaA,128.25,45.70 m,-0.04,27/02/26 20:40
Hannover Rück SE,257.00,43.39 m,-0.31,27/02/26 18:30
Airbus SE,183.74,39.63 m,-0.29,27/02/26 20:19
Continental AG,72.70,39.20 m,-0.57,27/02/26 18:38
Fresenius Medical Care AG,39.61,38.97 m,0.41,27/02/26 18:40
Beiersdorf AG,106.80,34.47 m,-0.79,27/02/26 21:23
Zalando SE (EN),20.75,34.21 m,0.53,27/02/26 18:28
Qiagen NV Registered Shs,42.21,32.12 m,1.97,27/02/26 18:03
Brenntag SE,52.30,26.10 m,-0.04,27/02/26 17:35
Porsche Automobil Holding SE,36.06,17.04 m,0.08,27/02/26 19:13
