System,Date,IndexPrice,ETFPrice,Indicator,Signal,RawWeight,VolScale,FinalWeight,Position,DeltaPosition,NAV,Drawdown
system_12,2026-06-11,27288.16790573967,10463,0.22,0.5,0.5,1,0.5,0.5,0,7.5,-0.006999999999999999
system_2a,2026-06-11,27288.16790573967,10463,,1,1,1,1,1,0,2.71,-0.025
