msci_index,last,day,previous_price
USA,37221.171,-0.0062,37453.38196820286
CANADA,22509.547,-0.008,22691.07560483871
SWITZERLAND,42995.396,-0.0097,43416.53640311017
UNITED KINGDOM,21538.092,-0.015700000000000002,21881.633648277966
JAPAN,21679.193,0.0304,21039.589479813665
PACIFIC ex JAPAN,18963.306,0.009399999999999999,18786.71091737666
GERMANY,18278.119,-0.0091,18445.97739428802
NORDIC COUNTRIES,63622.016,-0.014499999999999999,64558.10857432775
FRANCE,20057.164,-0.0121,20302.828221479907
ITALY,3913.568,-0.0083,3946.32247655541
SPAIN,14225.401,-0.0018,14251.05289521138
EUROPE,22927.987,-0.0111,23185.344321973913
WORLD,26896.052,-0.0046,27020.34558971268
EM (EMERGING MARKETS),1036.751,0.0124,1024.0527459502173
WORLD SMALL CAP,1046.972,-0.0063,1053.609741370635
WORLD ENHANCED VALUE,3514.956,-0.0066,3538.308838332998
WORLD MOMENTUM,7352.242,-0.0127,7446.816570444647
WORLD SECTOR NEUTRAL QUALITY,4216.969,-0.0043,4235.180275183288
WORLD MINIMUM VOLATILITY (GBP),6246.68,-0.0006,6250.430258154894
