msci_index,last,day,previous_price
USA,39741.87,0.0192,38993.20054945055
CANADA,24107.96,0.013600000000000001,23784.490923441197
SWITZERLAND,44014.738,0.0088,43630.787073750995
UNITED KINGDOM,22963.055,0.012199999999999999,22686.282355265757
JAPAN,23527.904,0.0105,23283.428005937654
PACIFIC ex JAPAN,19354.017,0.0097,19168.086560364463
GERMANY,18945.188,0.011000000000000001,18739.058358061324
NORDIC COUNTRIES,66023.246,0.0152,65034.71828211189
FRANCE,20190.451,0.0085,20020.278631631136
ITALY,4230.881,0.0116,4182.365559509688
SPAIN,16050.143,0.0149,15814.506847965318
EUROPE,24072.659,0.011699999999999999,23794.266086784617
WORLD,28631.02,0.0171,28149.660800314625
EM (EMERGING MARKETS),1045.912,0.0084,1037.1995239984135
WORLD SMALL CAP,1086.595,0.0137,1071.9098352569792
WORLD ENHANCED VALUE,4065.649,0.02,3985.9303921568626
WORLD MOMENTUM,7807.842,0.021400000000000002,7644.254944194242
WORLD SECTOR NEUTRAL QUALITY,4476.445,0.0144,4412.899250788643
EUROPE SECTOR NEUTRAL QUALITY,2682.056,0.0111,2652.6120067253482
USA SECTOR NEUTRAL QUALITY,12492.972,0.0151,12307.134272485471
WORLD MINIMUM VOLATILITY (GBP),6663.593,0.01,6597.616831683168
