Code,Name,Currency,Market cap (m),Price,Change,Change %,Timestamp
RMV,RIGHTMOVE PLC ORD 0.1P,GBX,"3,364.70",466.00,24.40,5.53%,2026-03-06T17:37:18.424Z
AUTO,AUTOTRADER GROUP PLC ORD 1P,GBX,"3,917.39",494.80,22.10,4.68%,2026-03-06T17:37:18.424Z
BA.,BAE SYSTEMS PLC ORD 2.5P,GBX,"64,467.67","2,214.00",64.00,2.98%,2026-03-06T17:37:18.424Z
III,3I GROUP PLC ORD 73 19/22P,GBX,"30,013.50","3,014.00",85.00,2.90%,2026-03-06T17:37:18.424Z
IMI,IMI PLC ORD 28 4/7P,GBX,"6,797.70","2,814.00",62.00,2.25%,2026-03-06T17:37:18.424Z
BP.,BP PLC $0.25,GBX,"77,263.46",498.90,6.95,1.41%,2026-03-06T17:37:18.424Z
EDV,ENDEAVOUR MINING PLC ORD USD0.01,GBX,"11,013.92","4,624.00",58.00,1.27%,2026-03-06T17:37:18.424Z
SGE,THE SAGE GROUP PLC ORD 1 4/77P,GBX,"7,819.95",843.20,9.00,1.08%,2026-03-06T17:37:18.424Z
BAB,BABCOCK INTERNATIONAL GROUP PLC ORD 60P,GBX,"6,760.89","1,368.00",14.00,1.03%,2026-03-06T17:37:18.424Z
SHEL,SHELL PLC ORD EUR0.07,GBX,"175,873.61","3,133.00",25.00,0.80%,2026-03-06T17:37:18.424Z
REL,RELX PLC ORD 14 51/116P,GBX,"47,278.04","2,640.00",17.00,0.65%,2026-03-06T17:37:18.424Z
LSEG,LONDON STOCK EXCHANGE GROUP PLC ORD SHS 6 79/86P,GBX,"44,080.69","8,792.00",48.00,0.55%,2026-03-06T17:37:18.424Z
CNA,CENTRICA PLC ORD 6 14/81P,GBX,"8,894.64",193.90,0.75,0.39%,2026-03-06T17:37:18.424Z
STJ,ST.JAMES'S PLACE PLC ORD 15P,GBX,"6,876.42","1,308.50",2.50,0.19%,2026-03-06T17:37:18.424Z
EXPN,EXPERIAN PLC ORD USD0.10,GBX,"25,040.86","2,759.00",4.00,0.15%,2026-03-06T17:37:18.424Z
ADM,ADMIRAL GROUP PLC ORD 0.1P,GBX,"9,428.06","3,082.00",4.00,0.13%,2026-03-06T17:37:18.424Z
BEZ,BEAZLEY PLC ORD 5P,GBX,"7,721.69","1,289.00",1.00,0.08%,2026-03-06T17:37:18.424Z
SDR,SCHRODERS PLC ORD 20P,GBX,"9,430.71",585.50,-,-,2026-03-06T17:37:18.424Z
MTLN,METLEN ENERGY & METALS PLC ORD EUR1.00,EUR,"4,252.68",34.20,-,-,2026-03-06T17:37:18.424Z
PSON,PEARSON PLC ORD 25P,GBX,"6,150.05",976.00,-0.60,-0.06%,2026-03-06T17:37:18.424Z
HIK,HIKMA PHARMACEUTICALS PLC ORD SHS 10P,GBX,"2,672.39","1,209.00",-1.00,-0.08%,2026-03-06T17:37:18.424Z
ENT,ENTAIN PLC ORD EUR0.01,GBX,"3,740.40",584.20,-0.60,-0.10%,2026-03-06T17:37:18.424Z
ITRK,INTERTEK GROUP PLC ORD 1P,GBX,"6,225.00","4,034.00",-10.00,-0.25%,2026-03-06T17:37:18.424Z
MNG,M&G PLC ORD £0.05,GBX,"7,337.08",303.50,-1.00,-0.33%,2026-03-06T17:37:18.424Z
BRBY,BURBERRY GROUP PLC ORD 0.05P,GBX,"3,976.36","1,097.50",-4.00,-0.36%,2026-03-06T17:37:18.424Z
