Name,Capi. USD,Change,5d. change,Varia. Jan 1.,Timestamp
SAP SE,231B,+1.03%,+1.04%,-17.09%,2026-03-06T17:00:29.072Z
SIEMENS AG,202B,0.00%,-9.14%,-6.00%,2026-03-06T17:00:29.072Z
DEUTSCHE TELEKOM AG,185B,-0.60%,-3.61%,+18.80%,2026-03-06T17:00:29.072Z
AIRBUS SE,160B,-0.22%,-4.74%,-11.54%,2026-03-06T17:00:29.072Z
ALLIANZ SE,155B,-1.59%,-9.05%,-10.99%,2026-03-06T17:00:29.072Z
SIEMENS ENERGY AG,151B,-2.19%,-10.03%,+24.38%,2026-03-06T17:00:29.072Z
RHEINMETALL AG,82.07B,+2.94%,-4.27%,+2.02%,2026-03-06T17:00:29.072Z
MUNICH RE,78.34B,-1.28%,-5.47%,-6.58%,2026-03-06T17:00:29.072Z
INFINEON TECHNOLOGIES AG,63.6B,-6.81%,-13.98%,+4.48%,2026-03-06T17:00:29.072Z
DEUTSCHE BANK AG,61.37B,-3.55%,-11.12%,-18.68%,2026-03-06T17:00:29.072Z
MERCEDES-BENZ GROUP AG,61.16B,-1.56%,-7.15%,-8.81%,2026-03-06T17:00:29.072Z
BMW AG,57.99B,-1.99%,-10.80%,-14.32%,2026-03-06T17:00:29.072Z
EON SE,57.2B,-1.37%,-5.18%,+15.72%,2026-03-06T17:00:29.072Z
MERCK KGAA,56.91B,-2.69%,-14.15%,-10.15%,2026-03-06T17:00:29.072Z
DHL GROUP,56.73B,+0.61%,-7.84%,-1.20%,2026-03-06T17:00:29.072Z
VOLKSWAGEN AG,54.24B,-3.04%,-11.09%,-13.10%,2026-03-06T17:00:29.072Z
SIEMENS HEALTHINEERS AG,52.25B,-0.22%,-4.11%,-10.04%,2026-03-06T17:00:29.072Z
DEUTSCHE B&Ouml;RSE AG,51.24B,+0.12%,+4.17%,+8.23%,2026-03-06T17:00:29.072Z
BASF SE,47.17B,-2.50%,-7.04%,+1.89%,2026-03-06T17:00:29.072Z
RWE AG,43.39B,+0.42%,-3.15%,+16.70%,2026-03-06T17:00:29.072Z
BAYER AG,42.91B,-3.67%,-13.38%,-1.68%,2026-03-06T17:00:29.072Z
COMMERZBANK AG,39.24B,-2.14%,-11.77%,-15.32%,2026-03-06T17:00:29.072Z
HEIDELBERG MATERIALS AG,36.72B,-3.30%,-8.15%,-21.93%,2026-03-06T17:00:29.072Z
DAIMLER TRUCK HOLDING AG,36.52B,-2.01%,-6.07%,+8.31%,2026-03-06T17:00:29.072Z
HANNOVER RE,35.14B,-1.27%,-3.49%,-6.54%,2026-03-06T17:00:29.072Z
HENKEL AG & CO. KGAA,34.09B,-1.40%,-10.27%,+7.27%,2026-03-06T17:00:29.072Z
FRESENIUS SE & CO. KGAA,30.22B,+0.71%,-8.19%,-4.59%,2026-03-06T17:00:29.072Z
ADIDAS AG,29.68B,-1.65%,-9.80%,-15.59%,2026-03-06T17:00:29.072Z
VONOVIA SE,25.43B,-0.50%,-10.07%,+5.13%,2026-03-06T17:00:29.072Z
MTU AERO ENGINES AG,21.66B,+0.78%,-3.94%,-1.21%,2026-03-06T17:00:29.072Z
BEIERSDORF,20.86B,+1.89%,-21.88%,-10.23%,2026-03-06T17:00:29.072Z
CONTINENTAL AG,15.19B,-3.26%,-13.13%,-6.53%,2026-03-06T17:00:29.072Z
FRESENIUS MEDICAL CARE AG,12.57B,-0.55%,+0.08%,-3.14%,2026-03-06T17:00:29.072Z
PORSCHE AUTOMOBIL HOLDING SE,12.07B,-1.67%,-6.97%,-16.03%,2026-03-06T17:00:29.072Z
SYMRISE AG,11.69B,-1.13%,-7.37%,+4.33%,2026-03-06T17:00:29.072Z
GEA GROUP AG,11.54B,-0.73%,-7.66%,+5.28%,2026-03-06T17:00:29.072Z
QIAGEN N.V.,9.57B,-2.00%,-9.04%,-4.30%,2026-03-06T17:00:29.072Z
BRENNTAG SE,7.73B,-2.66%,-13.88%,-9.12%,2026-03-06T17:00:29.072Z
ZALANDO SE,6.01B,-0.29%,-2.07%,-19.81%,2026-03-06T17:00:29.072Z
SCOUT24 SE,5.92B,+2.76%,+3.04%,-13.23%,2026-03-06T17:00:29.072Z
