Name,Bid/Ask,Last,% Change,Date/Time,Turnover,Market Cap,YTD%,Timestamp
ACCOR,43.14/43.16,EUR43.17,-2.77%,17:26 CET,"21,133,445.56","10,132M",-7.92%,2026-03-06T17:10:34.264Z
AIR LIQUIDE,166.54/166.58,EUR166.66,-2.14%,17:26 CET,"95,071,943.65","96,545M",6.27%,2026-03-06T17:10:34.264Z
AIRBUS,175.08/175.12,EUR175.12,-0.43%,17:26 CET,"146,939,295.78","138,745M",-11.35%,2026-03-06T17:10:34.264Z
ARCELORMITTAL SA,47.85/47.86,EUR47.85,-2.96%,17:26 CET,"84,168,825.35","37,084M",26.14%,2026-03-06T17:10:34.264Z
AXA,37.78/37.79,EUR37.75,-0.79%,17:26 CET,"105,665,145.57","78,921M",-7.10%,2026-03-06T17:10:34.264Z
BNP PARIBAS ACT.A,86.10/86.12,EUR86.09,-1.08%,17:26 CET,"175,629,266.44","94,837M",7.72%,2026-03-06T17:10:34.264Z
BOUYGUES,48.90/48.92,EUR48.88,-1.23%,17:25 CET,"11,012,836.83","18,835M",11.59%,2026-03-06T17:10:34.264Z
BUREAU VERITAS,28.78/28.80,EUR28.82,-0.35%,17:25 CET,"11,284,345.52","13,081M",6.40%,2026-03-06T17:10:34.264Z
CAPGEMINI,109.35/109.45,EUR109.50,-0.14%,17:26 CET,"42,242,999.30","18,607M",-22.92%,2026-03-06T17:10:34.264Z
CARREFOUR,15.16/15.17,EUR15.16,-0.46%,17:26 CET,"13,536,357.05","11,163M",7.03%,2026-03-06T17:10:34.264Z
CREDIT AGRICOLE,16.73/16.74,EUR16.74,-1.56%,17:26 CET,"46,004,155.03","50,654M",-3.11%,2026-03-06T17:10:34.264Z
DANONE,70.14/70.18,EUR70.14,0.14%,17:26 CET,"42,165,985.74","47,793M",-8.78%,2026-03-06T17:10:34.264Z
DASSAULT SYSTEMES,18.74/18.75,EUR18.76,0.59%,17:26 CET,"37,294,539.48","25,166M",-21.77%,2026-03-06T17:10:34.264Z
EIFFAGE,134.45/134.55,EUR134.55,-2.15%,17:25 CET,"20,326,242.25","13,186M",12.34%,2026-03-06T17:10:34.264Z
ENGIE,26.30/26.32,EUR26.31,-0.79%,17:26 CET,"82,729,497.92","66,891M",18.34%,2026-03-06T17:10:34.264Z
ESSILORLUXOTTICA,212.30/212.40,EUR212.20,-1.71%,17:26 CET,"80,735,925.85","98,310M",-20.01%,2026-03-06T17:10:34.264Z
EUROFINS SCIENT.,64.64/64.68,EUR64.64,-1.55%,17:26 CET,"8,716,843.09","11,775M",5.22%,2026-03-06T17:10:34.264Z
EURONEXT,141.40/141.60,EUR141.50,0.43%,17:26 CET,"14,549,735.30","14,672M",10.08%,2026-03-06T17:10:34.264Z
HERMES INTL,"1,900.50/1,901.00","EUR1,901.50",0.11%,17:26 CET,"98,235,990.75","200,740M",-10.49%,2026-03-06T17:10:34.264Z
KERING,256.70/256.85,EUR256.50,-0.56%,17:25 CET,"21,969,980.88","31,657M",-14.30%,2026-03-06T17:10:34.264Z
L'OREAL,369.60/369.70,EUR369.80,-0.44%,17:26 CET,"77,216,638.48","197,393M",1.32%,2026-03-06T17:10:34.264Z
