Name,Last Price,Volume,+/-,Timestamp
SAP SE,172.78,441.15 m,1.05,06/03/26 17:30
Siemens Energy AG,148.80,417.74 m,-2.81,06/03/26 17:30
Siemens AG,224.05,264.79 m,-0.33,06/03/26 17:30
Allianz SE,346.40,257.39 m,-1.93,06/03/26 17:30
Rheinmetall AG,"1,595.50",239.42 m,3.14,06/03/26 17:30
Deutsche Börse AG,243.20,217.47 m,0.58,06/03/26 17:29
Deutsche Bank AG,26.91,216.50 m,-3.62,06/03/26 17:29
Infineon Technologies AG,39.37,191.05 m,-6.93,06/03/26 17:30
Deutsche Telekom AG,32.77,186.71 m,-0.88,06/03/26 17:30
BASF SE,45.15,164.94 m,-2.76,06/03/26 17:29
Münchener Rück AG,524.60,135.01 m,-1.39,06/03/26 17:30
DHL Aktie (Deutsche Post),46.00,134.63 m,0.24,06/03/26 17:30
Bayer AG,36.30,108.89 m,-3.93,06/03/26 17:29
adidas AG,142.40,103.80 m,-1.86,06/03/26 17:30
Volkswagen AG Vz,89.88,96.38 m,-3.15,06/03/26 17:29
Mercedes Benz Group AG (former Daimler),54.78,94.23 m,-1.56,06/03/26 17:30
Vonovia SE,25.81,84.49 m,-0.46,06/03/26 17:29
Airbus SE,175.18,83.61 m,-0.45,06/03/26 17:29
Commerzbank AG,30.63,77.82 m,-1.95,06/03/26 17:29
BMW AG St,79.66,68.20 m,-2.16,06/03/26 17:29
RWE AG St,52.68,59.51 m,0.15,06/03/26 17:30
Heidelberg Materials AG,173.55,54.29 m,-3.61,06/03/26 17:29
E.ON SE,18.63,50.87 m,-1.56,06/03/26 17:29
Merck KGaA,110.15,45.81 m,-2.69,06/03/26 17:29
Beiersdorf AG,83.26,39.67 m,0.87,06/03/26 17:29
Fresenius SE & Co. KGaA,46.49,30.26 m,0.19,06/03/26 17:29
Siemens Healthineers AG,40.39,29.90 m,-0.27,06/03/26 17:29
Zalando SE (EN),20.38,27.09 m,0.00,06/03/26 17:29
DAIMLER TRUCK HLDG NA ON (EN),40.40,26.59 m,-2.06,06/03/26 17:29
MTU Aero Engines AG,350.10,25.89 m,0.52,06/03/26 17:29
Hannover Rück SE,248.60,25.68 m,-1.35,06/03/26 17:29
Symrise AG,71.50,22.35 m,-1.62,06/03/26 17:29
Fresenius Medical Care AG,39.51,22.30 m,-0.48,06/03/26 17:30
Henkel AG & Co. KGaA Vz,74.04,21.86 m,-2.19,06/03/26 17:29
Scout24 SE,74.25,20.46 m,2.48,06/03/26 17:29
Brenntag SE,45.06,15.41 m,-2.62,06/03/26 17:29
Continental AG,63.68,15.02 m,-3.02,06/03/26 17:29
Qiagen NV Registered Shs,39.08,14.34 m,-3.64,06/03/26 17:29
Porsche Automobil Holding SE,33.40,12.98 m,-2.02,06/03/26 17:29
GEA Group Aktiengesellschaft,60.90,9.82 m,-0.65,06/03/26 17:29
