Name,Last Price,% Diff,Date,Time,Timestamp
ACCIONA,209.8000,-2.87%,06/03/2026,17:35:30,2026-03-06T17:05:34.257Z
ACCIONA ENER,19.9000,-1.19%,06/03/2026,17:35:30,2026-03-06T17:05:34.257Z
ACERINOX,12.4200,-1.58%,06/03/2026,17:35:30,2026-03-06T17:05:34.257Z
ACS,102.7000,-2.56%,06/03/2026,17:35:30,2026-03-06T17:05:34.257Z
AENA,25.4600,-0.08%,06/03/2026,17:35:30,2026-03-06T17:05:34.257Z
AMADEUS,54.6200,1.64%,06/03/2026,17:38:42,2026-03-06T17:05:34.257Z
ARCELORMIT.,47.9000,-3.06%,06/03/2026,17:35:30,2026-03-06T17:05:34.257Z
B.SANTANDER,9.5820,-1.23%,06/03/2026,17:44:41,2026-03-06T17:05:34.257Z
BA.SABADELL,2.9910,-0.60%,06/03/2026,17:44:45,2026-03-06T17:05:34.257Z
BANKINTER,13.2500,-1.45%,06/03/2026,17:41:18,2026-03-06T17:05:34.257Z
BBVA,18.3700,-0.97%,06/03/2026,17:44:23,2026-03-06T17:05:34.257Z
CAIXABANK,9.8700,-1.74%,06/03/2026,17:38:26,2026-03-06T17:05:34.257Z
CELLNEX,29.2900,-1.91%,06/03/2026,17:35:30,2026-03-06T17:05:34.257Z
COLONIAL SFL,5.2850,0.09%,06/03/2026,17:35:32,2026-03-06T17:05:34.257Z
ENAGAS,14.7650,0.78%,06/03/2026,17:36:52,2026-03-06T17:05:34.257Z
ENDESA,33.2600,0.70%,06/03/2026,17:35:30,2026-03-06T17:05:34.257Z
FERROVIAL SE,57.0600,-1.69%,06/03/2026,17:35:58,2026-03-06T17:05:34.257Z
FLUIDRA,21.2400,-2.93%,06/03/2026,17:35:30,2026-03-06T17:05:34.257Z
GRIFOLS CL.A,10.0600,-3.36%,06/03/2026,17:43:42,2026-03-06T17:05:34.257Z
IAG,4.2010,-1.85%,06/03/2026,17:35:30,2026-03-06T17:05:34.257Z
IBERDROLA,19.2150,-0.44%,06/03/2026,17:35:30,2026-03-06T17:05:34.257Z
INDITEX,51.8800,-2.15%,06/03/2026,17:44:27,2026-03-06T17:05:34.257Z
INDRA A,59.9500,-3.07%,06/03/2026,17:36:19,2026-03-06T17:05:34.257Z
LOGISTA,30.3200,-0.59%,06/03/2026,17:35:30,2026-03-06T17:05:34.257Z
MAPFRE,3.6560,-1.08%,06/03/2026,17:39:38,2026-03-06T17:05:34.257Z
MERLIN,14.2200,-1.93%,06/03/2026,17:35:30,2026-03-06T17:05:34.257Z
NATURGY,24.9600,1.79%,06/03/2026,17:43:53,2026-03-06T17:05:34.257Z
PUIG BRANDS,15.0700,-1.12%,06/03/2026,17:35:33,2026-03-06T17:05:34.257Z
REDEIA,14.8700,0.07%,06/03/2026,17:35:30,2026-03-06T17:05:34.257Z
REPSOL,20.7600,2.67%,06/03/2026,17:44:19,2026-03-06T17:05:34.257Z
ROVI,80.8500,0.19%,06/03/2026,17:35:30,2026-03-06T17:05:34.257Z
SACYR,4.1580,-1.09%,06/03/2026,17:35:30,2026-03-06T17:05:34.257Z
SOLARIA,19.3200,-1.30%,06/03/2026,17:35:30,2026-03-06T17:05:34.257Z
TELEFONICA,3.6710,2.89%,06/03/2026,17:44:37,2026-03-06T17:05:34.257Z
UNICAJA,2.5020,-1.18%,06/03/2026,17:35:30,2026-03-06T17:05:34.257Z
