msci_index,last,day,previous_price
USA,38874.237,0.0012,38827.64382740711
CANADA,23186.305,0.0077,23009.134663094173
SWITZERLAND,46596.287,0.0053,46350.62866805928
UNITED KINGDOM,22451.907,0.0023,22400.38611194253
JAPAN,22787.096,0.0125,22505.773827160498
PACIFIC ex JAPAN,18552.804,0.0127,18320.138244297425
GERMANY,18798.701,0.0084,18642.107298690997
NORDIC COUNTRIES,65456.931,0.0098,64821.67855020796
FRANCE,20915.764,0.005600000000000001,20799.28798727128
ITALY,4180.32,0.0077,4148.3774933015775
SPAIN,15679.949,0.0102,15521.62839041774
EUROPE,24317.0,0.0077,24131.189838245507
WORLD,28098.488,0.0034000000000000002,28003.276858680485
EM (EMERGING MARKETS),1061.758,0.0235,1037.3795798729848
WORLD SMALL CAP,1102.388,0.0066,1095.1599443671766
WORLD ENHANCED VALUE,3875.882,0.006,3852.765407554672
WORLD MOMENTUM,7975.691,0.0060999999999999995,7927.334261007852
WORLD SECTOR NEUTRAL QUALITY,4464.032,0.0037,4447.5759689150145
EUROPE SECTOR NEUTRAL QUALITY,2743.004,0.0074,2722.854873932896
USA SECTOR NEUTRAL QUALITY,12448.173,0.0012,12433.253096284458
WORLD MINIMUM VOLATILITY (GBP),6530.84,0.0029,6511.955329544322
