msci_index,last,day,previous_price
USA,38980.15,-0.0033,39109.2103943012
CANADA,23774.971,-0.0085,23978.7907211296
SWITZERLAND,43418.679,-0.0063,43693.950890610846
UNITED KINGDOM,22511.465,-0.0054,22633.686909310276
JAPAN,23431.443,0.0011,23405.696733593046
PACIFIC ex JAPAN,19373.976,-0.013500000000000002,19639.103902686264
GERMANY,18641.929,-0.0078000000000000005,18788.47913727071
NORDIC COUNTRIES,65606.476,-0.0083,66155.56720782493
FRANCE,20006.24,-0.0040999999999999995,20088.603273421028
ITALY,4174.949,-0.0001,4175.366536653665
SPAIN,15853.799,-0.0003,15858.556566970092
EUROPE,23802.619,-0.0059,23943.88793883915
WORLD,28161.218,-0.004,28274.31526104418
EM (EMERGING MARKETS),1066.566,-0.0033,1070.0973211598275
WORLD SMALL CAP,1074.631,-0.008,1083.297379032258
WORLD ENHANCED VALUE,4004.419,-0.0074,4034.272617368527
WORLD MOMENTUM,7718.052,-0.012199999999999999,7813.375177161368
WORLD SECTOR NEUTRAL QUALITY,4410.972,-0.0025,4422.0270676691725
EUROPE SECTOR NEUTRAL QUALITY,2649.903,-0.0045000000000000005,2661.8814665996983
USA SECTOR NEUTRAL QUALITY,12275.988,-0.0024,12305.521251002405
WORLD MINIMUM VOLATILITY (GBP),6563.613,-0.0011,6570.840925017519
