msci_index,last,day,previous_price
USA,38795.69,0.0029,38683.50782730083
CANADA,23982.123,0.008199999999999999,23787.06903392184
SWITZERLAND,46179.428,0.0115,45654.40237271379
UNITED KINGDOM,22924.296,0.0088,22724.3219666931
JAPAN,21696.116,-0.028900000000000002,22341.793842034807
PACIFIC ex JAPAN,19402.981,0.0033,19339.16176617163
GERMANY,18554.728,0.0063,18438.565040246445
NORDIC COUNTRIES,65000.168,0.0079,64490.69153685881
FRANCE,20770.998,0.0083,20600.017851829813
ITALY,4161.069,-0.0034000000000000002,4175.264900662252
SPAIN,15691.523,0.0005,15683.68115942029
EUROPE,24090.352,0.005600000000000001,23956.197295147173
WORLD,28000.434,0.0016,27955.70487220447
EM (EMERGING MARKETS),982.08,-0.0363,1019.0723254124728
WORLD SMALL CAP,1082.665,-0.0028000000000000004,1085.7049739269955
WORLD ENHANCED VALUE,3856.306,-0.0092,3892.1134436818734
WORLD MOMENTUM,7428.907,-0.0292,7652.355789039967
WORLD SECTOR NEUTRAL QUALITY,4459.932,0.0042,4441.278629755028
EUROPE SECTOR NEUTRAL QUALITY,2720.028,0.0097,2693.897197187283
USA SECTOR NEUTRAL QUALITY,12496.416,0.0058,12424.354742493537
WORLD MINIMUM VOLATILITY (GBP),6651.924,0.0105,6582.80455220188
